NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:32 PM,,,,,
Jul 1991,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1862,,2673,,4535,,504,,1143,,1647,,270542
0100301 AL FSP BALDWIN CO FS OFF,2535,,4162,,6697,,653,,1619,,2272,,397799
0100501 AL FSP BARBOUR CO FS OFF,2689,,2533,,5222,,702,,1222,,1924,,307813
0100701 AL FSP BIBB CO FS OFF,861,,1503,,2364,,222,,599,,821,,128323
0100901 AL FSP BLOUNT CO FS OFF,1439,,1809,,3248,,444,,851,,1295,,190330
0101101 AL FSP BULLOCK CO FS OFF,1798,,813,,2611,,438,,436,,874,,152726
0101301 AL FSP BUTLER CO FSO,2212,,2404,,4616,,522,,1019,,1541,,263176
0101501 AL FSP CALHOUN CO FS OFF,5465,,6788,,12253,,1486,,3218,,4704,,798646
0101701 AL FSP CHAMBERS CO FS OFF,2254,,2434,,4688,,599,,1055,,1654,,295014
0101901 AL FSP CHEROKEE CO FS OFFICE,803,,1017,,1820,,256,,491,,747,,100975
0102101 AL FSP CHILTON CO FS OFF,1565,,2167,,3732,,471,,981,,1452,,223233
0102301 AL FSP CHOCTAW CO FS OFF,1646,,1556,,3202,,429,,714,,1143,,190985
0102501 AL WRI CLARKE CO FS OFF,3001,,2964,,5965,,900,,1098,,1998,,369644
0102701 AL FSP CLAY CO FS OFF,590,,527,,1117,,172,,277,,449,,54300
0102901 AL FSP CLEBURNE CO FS OFF,652,,551,,1203,,217,,294,,511,,71367
0103101 AL FSP COFFEE CO FS OFF,1866,,1477,,3343,,575,,746,,1321,,182139
0103301 AL FSP COLBERT CO FS OFF,1754,,2617,,4371,,532,,1103,,1635,,255861
0103501 AL FSP CONECUH CO FS OFF,1700,,1883,,3583,,463,,954,,1417,,214718
0103701 AL FSP COOSA CO FSO,520,,447,,967,,135,,234,,369,,52800
0103901 AL FSP COVINGTON CO FS OFF,2256,,3004,,5260,,676,,1411,,2087,,298013
0104101 AL FSP CRENSHAW CO FSO,1260,,880,,2140,,373,,503,,876,,119994
0104301 AL FSP CULLMAN CO FS OFF,2365,,3571,,5936,,797,,1557,,2354,,338024
0104501 AL FSP DALE CO FS OFF,1998,,3850,,5848,,543,,1465,,2008,,366197
0104701 AL FSP DALLAS CO FS OFF,9067,,5416,,14483,,2138,,2978,,5116,,922362
0104901 AL FSP DEKALB CO FS OFF,2510,,2976,,5486,,779,,1392,,2171,,315283
