NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:12 PM,,,,,
Jul 1997,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100002 AL EBT ALABAMA DHR,44258,,53837,,98095,,11641,,25813,,37454,,7080058
0100101 AL FSP AUTAUGA CO FS OFF,1294,,1565,,2859,,362,,783,,1145,,187142
0100301 AL FSP BALDWIN CO FS OFF,1654,,3712,,5366,,512,,1490,,2002,,332216
0100501 AL FSP BARBOUR CO FS OFF,2295,,2809,,5104,,628,,1336,,1964,,334689
0100701 AL FSP BIBB CO FS OFF,752,,1310,,2062,,202,,568,,770,,120759
0100901 AL FSP BLOUNT CO FS OFF,1305,,1714,,3019,,407,,812,,1219,,199522
0101101 AL FSP BULLOCK CO FS OFF,1332,,1001,,2333,,358,,500,,858,,148631
0101301 AL FSP BUTLER CO FSO,1482,,1872,,3354,,386,,912,,1298,,205446
0101501 AL FSP CALHOUN CO FS OFF,4578,,7163,,11741,,1268,,3327,,4595,,857774
0101701 AL FSP CHAMBERS CO FS OFF,1597,,2278,,3875,,461,,1055,,1516,,258008
0101901 AL FSP CHEROKEE CO FS OFFICE,837,,1196,,2033,,264,,550,,814,,130798
0102101 AL FSP CHILTON CO FS OFF,1310,,2264,,3574,,403,,1024,,1427,,235754
0102301 AL FSP CHOCTAW CO FS OFF,1064,,1498,,2562,,305,,725,,1030,,176159
0102502 AL FSP CLARKE CO FS OFF.,2041,,3266,,5307,,809,,1302,,2111,,345762
0102701 AL FSP CLAY CO FS OFF,469,,541,,1010,,149,,256,,405,,55657
0102901 AL FSP CLEBURNE CO FS OFF,430,,586,,1016,,139,,279,,418,,62366
0103101 AL FSP COFFEE CO FS OFF,1306,,1926,,3232,,409,,844,,1253,,199166
0103301 AL FSP COLBERT CO FS OFF,1350,,2671,,4021,,434,,1212,,1646,,262479
0103501 AL FSP CONECUH CO FS OFF,1735,,1995,,3730,,469,,1080,,1549,,263622
0103701 AL FSP COOSA CO FSO,483,,552,,1035,,133,,269,,402,,62865
0103901 AL FSP COVINGTON CO FS OFF,1837,,2831,,4668,,614,,1360,,1974,,298020
0104101 AL FSP CRENSHAW CO FSO,813,,847,,1660,,273,,449,,722,,101547
0104301 AL FSP CULLMAN CO FS OFF,1683,,2082,,3765,,608,,1080,,1688,,238908
0104501 AL FSP DALE CO FS OFF,2130,,4311,,6441,,575,,1898,,2473,,451943
0104701 AL FSP DALLAS CO FS OFF,6447,,6279,,12726,,1532,,3365,,4897,,873148
0104901 AL FSP DEKALB CO FS OFF,1883,,2333,,4216,,645,,1152,,1797,,267877
0105101 AL FSP ELMORE CO FS OFF,1547,,2601,,4148,,406,,1037,,1443,,258523
0105301 AL FSP ESCAMBIA CO FS OFF,1586,,2853,,4439,,475,,1258,,1733,,307803
0105501 AL FSP ETOWQH CO FS OFF,3778,,6243,,10021,,1262,,3043,,4305,,679709
0105701 AL FSP FAYETTE CO FS OFF,1005,,849,,1854,,358,,529,,887,,118005
0105901 AL FSP FRANKLIN CO FS OFF,1367,,1457,,2824,,443,,791,,1234,,180042
0106101 AL FSP GENEVA CO FS OFF,1106,,1582,,2688,,394,,753,,1147,,174088
0106301 AL FSP GREENE CO FS OFF,1246,,1897,,3143,,359,,838,,1197,,209714
0106501 AL FSP HALE CO FS OFF,1209,,2072,,3281,,339,,855,,1194,,200984
0106701 AL FSP HENRY CO FS OFF,1066,,1171,,2237,,350,,665,,1015,,143472
0106901 AL FSP HOUSTON CO FS OFF,3427,,5581,,9008,,1057,,2523,,3580,,591734
0107101 AL FSP JACKSON CO FS OFF,1751,,2367,,4118,,576,,1214,,1790,,261211
0107501 AL FSP LAMAR CO FS OFF,749,,997,,1746,,281,,517,,798,,110514
0107701 AL FSP LAUDERDALE CO FS OFF,2220,,3472,,5692,,690,,1600,,2290,,383000
