NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,04/10/2017,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2014,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,984,,6741,,7725,,345,,2868,,3213,,929605
0100301 AL EBT BALDWIN CO FS OFF,1823,,21830,,23653,,692,,8603,,9295,,2882396
0100501 AL EBT BARBOUR CO FS OFF,781,,5574,,6355,,282,,2394,,2676,,770839
0100701 AL EBT BIBB CO FS OFF,546,,3443,,3989,,196,,1397,,1593,,464412
0100901 AL EBT BLOUNT CO FS OFF,1112,,7206,,8318,,429,,2834,,3263,,982947
0100999 AL EBT AESAP - Alabama Dept. of HR,20323,,28636,,48959,,19284,,27138,,46422,,3378437
0101101 AL EBT BULLOCK CO FS OFF,441,,2394,,2835,,146,,1066,,1212,,339720
0101301 AL EBT BUTLER CO FSO,774,,4438,,5212,,284,,1990,,2274,,614332
0101501 AL EBT CALHOUN CO FS OFF,3011,,21266,,24277,,1320,,9660,,10980,,3053855
0101701 AL EBT CHAMBERS CO FS OFF,1068,,6332,,7400,,441,,2846,,3287,,907057
0101901 AL EBT CHEROKEE CO FS OFFICE,661,,4363,,5024,,285,,1866,,2151,,596055
0102101 AL EBT CHILTON CO FS OFF,999,,7449,,8448,,417,,3114,,3531,,1045594
0102301 AL EBT CHOCTAW CO FS OFF,497,,2725,,3222,,225,,1252,,1477,,389474
0102502 AL EBT CLARKE CO FS OFF.,923,,5579,,6502,,393,,2506,,2899,,766834
0102701 AL EBT CLAY CO FS OFF,264,,1816,,2080,,104,,706,,810,,216343
0102901 AL EBT CLEBURNE CO FS OFF,282,,2347,,2629,,130,,975,,1105,,307917
0103101 AL EBT COFFEE CO FS OFF,741,,6237,,6978,,299,,2461,,2760,,812000
0103301 AL EBT COLBERT CO FS OFF,1107,,7778,,8885,,541,,3486,,4027,,1038879
0103501 AL EBT CONECUH CO FS OFF,463,,3154,,3617,,197,,1384,,1581,,444762
0103701 AL EBT COOSA CO FSO,263,,1608,,1871,,104,,749,,853,,217247
0103901 AL EBT COVINGTON CO FS OFF,817,,6779,,7596,,347,,2803,,3150,,906224
0104101 AL EBT CRENSHAW CO FSO,385,,2479,,2864,,175,,1104,,1279,,356006
0104301 AL EBT CULLMAN CO FS OFF,1372,,10731,,12103,,576,,4276,,4852,,1385260
0104501 AL EBT DALE CO FS OFF,1270,,8927,,10197,,545,,3968,,4513,,1261698
0104701 AL EBT DALLAS CO FS OFF,3148,,13030,,16178,,1235,,6225,,7460,,2050941
0104901 AL EBT DEKALB CO FS OFF,1131,,13271,,14402,,431,,5011,,5442,,1697375
0105101 AL EBT ELMORE CO FS OFF,1354,,10856,,12210,,502,,4490,,4992,,1492228
0105301 AL EBT ESCAMBIA CO FS OFF,940,,8423,,9363,,392,,3429,,3821,,1166911
0105501 AL EBT ETOWQH CO FS OFF,2140,,14647,,16787,,1076,,6325,,7401,,1896320
0105701 AL EBT FAYETTE CO FS OFF,522,,3190,,3712,,250,,1456,,1706,,436065
0105901 AL EBT FRANKLIN CO FS OFF,734,,5720,,6454,,325,,2303,,2628,,765614
0106101 AL EBT GENEVA CO FS OFF,646,,5309,,5955,,241,,2112,,2353,,714042
0106301 AL EBT GREENE CO FS OFF,474,,2585,,3059,,212,,1193,,1405,,366602
0106501 AL EBT HALE CO FS OFF,748,,3371,,4119,,236,,1496,,1732,,444926
0106701 AL EBT HENRY CO FS OFF,367,,2824,,3191,,140,,1202,,1342,,374412
0106901 AL EBT HOUSTON CO FS OFF,2696,,16262,,18958,,1112,,7147,,8259,,2269685
0107101 AL EBT JACKSON CO FS OFF,826,,7834,,8660,,355,,3155,,3510,,1009469
0107301 AL EBT JEFFERSON CO FS OFF,18087,,99456,,117543,,7488,,47215,,54703,,14859549
0107501 AL EBT LAMAR CO FS OFF,418,,2475,,2893,,199,,1060,,1259,,336437
0107701 AL EBT LAUDERDALE CO FS OFF,1619,,11148,,12767,,746,,4888,,5634,,1482539
0107901 AL EBT LAWRENCE CO FS OFF,762,,5548,,6310,,319,,2382,,2701,,748065
0108101 AL EBT LEE CO FOOD STAMP OFF,1737,,15472,,17209,,725,,6499,,7224,,2077349
0108302 AL EBT LIMESTONE CO. FS OFF,1251,,10511,,11762,,579,,4415,,4994,,1420423
0108501 AL EBT LOWNDES CO FS OFF,679,,3331,,4010,,267,,1608,,1875,,491642
0108701 AL EBT MACON CO FS OFF,944,,5867,,6811,,380,,3235,,3615,,926825
0108902 AL EBT MADISON CO. FS OFF,3897,,36044,,39941,,1707,,16113,,17820,,5037569
0109101 AL EBT MARENGO CO FS OFC,947,,4256,,5203,,433,,1980,,2413,,590599
0109301 AL EBT MARION CO FS OFF,695,,5300,,5995,,316,,2210,,2526,,697620
0109501 AL EBT MARSHALL CO FS OFF,1532,,16330,,17862,,658,,6432,,7090,,2164924
0109701 AL EBT MOBILE CO FS OFF,11539,,78616,,90155,,4798,,34580,,39378,,11507045
0109901 AL EBT MONROE CO FS OFF,722,,4309,,5031,,265,,1807,,2072,,603347
0110101 AL EBT MONTGOMERY CO FS OFF,8228,,44296,,52524,,3032,,20584,,23616,,6861208
0110301 AL EBT MORGAN CO FS OFF,1681,,14679,,16360,,799,,6117,,6916,,1980061
0110501 AL EBT PERRY CO FS OFF,774,,3461,,4235,,331,,1719,,2050,,505315
0110701 AL EBT PICKENS CO FS OFF,644,,3550,,4194,,261,,1554,,1815,,476590
0110901 AL EBT PIKE CO FOOD STAMP OFC,1128,,6167,,7295,,483,,3056,,3539,,892631
0111101 AL EBT RANDOLPH CO FSO,779,,4587,,5366,,278,,1906,,2184,,645846
0111301 AL EBT RUSSELL CO FS OFF,1651,,12925,,14576,,569,,5517,,6086,,1865098
0111501 AL EBT ST CLAIR CO FS OFF,1373,,10495,,11868,,563,,4314,,4877,,1437861
0111701 AL EBT SHELBY CO FS OFF,1246,,12792,,14038,,511,,5398,,5909,,1763952
0111901 AL EBT SUMTER CO FS OFF,814,,3390,,4204,,347,,1728,,2075,,501288
0112101 AL EBT TALLADEGA CO FS OFF,2560,,13707,,16267,,1175,,6328,,7503,,1961248
0112301 AL EBT TALLAPOOSA CO FS OFF,1118,,7464,,8582,,478,,3334,,3812,,1040179
0112501 AL EBT TUSCALOOSA CO FS OFF,4303,,23738,,28041,,1701,,10420,,12121,,3328975
0112701 AL EBT WALKER CO FS OFF,1591,,11170,,12761,,655,,4736,,5391,,1533601
0112901 AL EBT WASHINGTON CO F S OFC,437,,2578,,3015,,212,,1161,,1373,,355930
0113101 AL EBT WILCOX CO FS OFF,937,,3610,,4547,,385,,1766,,2151,,553355
0113301 AL EBT WINSTON CO FS OFF,501,,3245,,3746,,194,,1286,,1480,,415916
0211005 AK EBT ALASKA,14125,,73916,,88041,,6881,,30461,,37342,,14378937
0400101 AZ EBT APACHE,72,,27336,,27408,,33,,10140,,10173,,3169364
0400301 AZ EBT COCHISE,628,,24190,,24818,,281,,10790,,11071,,2683446
0400501 AZ EBT COCONINO,95,,22362,,22457,,41,,8922,,8963,,2545960
0400701 AZ EBT GILA,685,,12520,,13205,,314,,5382,,5696,,1512786
0400901 AZ EBT GRAHAM,357,,6679,,7036,,168,,2794,,2962,,781851
0401101 AZ EBT GREENLEE,21,,800,,821,,10,,345,,355,,92197
0401301 AZ EBT MARICOPA,20679,,561398,,582077,,8415,,229303,,237718,,66351694
0401501 AZ EBT MOHAVE,1001,,43234,,44235,,446,,19713,,20159,,4875012
0401701 AZ EBT NAVAJO,499,,35178,,35677,,209,,13395,,13604,,4063825
0401901 AZ EBT PIMA,4518,,162191,,166709,,1960,,72734,,74694,,18978186
0402101 AZ EBT PINAL,1972,,56021,,57993,,829,,21380,,22209,,6447062
0402301 AZ EBT SANTA CRUZ,206,,12862,,13068,,86,,4697,,4783,,1369950
0402501 AZ EBT YAVAPAI,516,,28145,,28661,,234,,13490,,13724,,3013316
0402701 AZ EBT YUMA,811,,42926,,43737,,332,,15647,,15979,,4412302
0402901 AZ EBT LA PAZ CO DES,74,,4127,,4201,,33,,1916,,1949,,468164
0500101 AR EBT ARKANSAS COUNTY,114,,3360,,3474,,39,,1529,,1568,,396910
0500301 AR EBT ASHLEY COUNTY,97,,4126,,4223,,29,,1896,,1925,,478240
0500501 AR EBT BAXTER COUNTY,127,,5610,,5737,,43,,2387,,2430,,617650
0500701 AR EBT BENTON COUNTY,347,,20005,,20352,,104,,7129,,7233,,2233863
0500901 AR EBT BOONE COUNTY,280,,5862,,6142,,82,,2326,,2408,,668872
0501101 AR EBT BRADLEY COUNTY,118,,2317,,2435,,35,,1102,,1137,,275980
0501301 AR EBT CALHOUN COUNTY,25,,615,,640,,7,,302,,309,,71899
0501501 AR EBT CARROLL COUNTY,36,,3672,,3708,,11,,1400,,1411,,404284
0501701 AR EBT CHICOT COUNTY,149,,3091,,3240,,46,,1447,,1493,,356239
0501901 AR EBT CLARK COUNTY,46,,3007,,3053,,17,,1392,,1409,,344412
0502101 AR EBT CLAY COUNTY,66,,1979,,2045,,22,,800,,822,,212855
0502301 AR EBT CLEBURNE COUNTY,56,,2772,,2828,,18,,1174,,1192,,303307
0502501 AR EBT CLEVELAND COUNTY,73,,1341,,1414,,25,,602,,627,,167712
0502701 AR EBT COLUMBIA COUNTY,240,,4392,,4632,,70,,2118,,2188,,544254
0502901 AR EBT CONWAY COUNTY,127,,3693,,3820,,39,,1649,,1688,,415886
0503101 AR EBT CRAIGHEAD COUNTY,847,,15076,,15923,,258,,5758,,6016,,1802902
0503301 AR EBT CRAWFORD COUNTY,244,,9918,,10162,,71,,3720,,3791,,1122816
0503501 AR EBT CRITTENDEN COUNTY,924,,13427,,14351,,265,,5741,,6006,,1674041
0503701 AR EBT CROSS COUNTY,179,,2850,,3029,,54,,1218,,1272,,330647
0503901 AR EBT DALLAS COUNTY,60,,1390,,1450,,18,,660,,678,,157336
0504101 AR EBT DESHA COUNTY,133,,3331,,3464,,42,,1547,,1589,,397690
0504301 AR EBT DREW COUNTY,91,,3485,,3576,,32,,1658,,1690,,410895
0504501 AR EBT FAULKNER COUNTY,393,,13194,,13587,,125,,5710,,5835,,1545638
0504701 AR EBT FRANKLIN COUNTY,40,,3001,,3041,,13,,1185,,1198,,335583
0504901 AR EBT FULTON COUNTY,39,,1826,,1865,,11,,769,,780,,195874
0505101 AR EBT GARLAND COUNTY,366,,14734,,15100,,116,,6367,,6483,,1741997
0505301 AR EBT GRANT COUNTY,48,,1993,,2041,,14,,798,,812,,228389
0505501 AR EBT GREENE COUNTY,220,,7063,,7283,,65,,2865,,2930,,826323
0505701 AR EBT HEMPSTEAD COUNTY,179,,4286,,4465,,59,,1821,,1880,,470820
0505901 AR EBT HOT SPRING COUNTY,139,,5283,,5422,,44,,2322,,2366,,610956
0506101 AR EBT HOWARD COUNTY,67,,2523,,2590,,20,,1056,,1076,,279133
0506301 AR EBT INDEPENDENCE COUNTY,186,,5555,,5741,,56,,2230,,2286,,604533
0506501 AR EBT IZARD COUNTY,63,,2098,,2161,,20,,874,,894,,221272
0506701 AR EBT JACKSON COUNTY,153,,3475,,3628,,45,,1597,,1642,,413834
0506901 AR EBT JEFFERSON COUNTY,1195,,16804,,17999,,371,,8285,,8656,,2181229
0507101 AR EBT JOHNSON COUNTY,127,,4691,,4818,,34,,1840,,1874,,516313
0507301 AR EBT LAFAYETTE COUNTY,109,,1506,,1615,,31,,732,,763,,169733
0507501 AR EBT LAWRENCE COUNTY,100,,2882,,2982,,32,,1176,,1208,,307646
0507701 AR EBT LEE COUNTY,264,,2465,,2729,,88,,1365,,1453,,321739
0507901 AR EBT LINCOLN COUNTY,81,,2269,,2350,,25,,1051,,1076,,275569
0508101 AR EBT LITTLE RIVER COUNTY,107,,2065,,2172,,32,,891,,923,,241099
0508301 AR EBT LOGAN COUNTY,112,,4256,,4368,,35,,1781,,1816,,492014
0508501 AR EBT LONOKE COUNTY,397,,7944,,8341,,120,,3228,,3348,,933341
0508701 AR EBT MADISON COUNTY,54,,2266,,2320,,16,,840,,856,,248454
0508901 AR EBT MARION COUNTY,91,,2611,,2702,,26,,1096,,1122,,287477
0509101 AR EBT MILLER COUNTY,472,,7512,,7984,,142,,3329,,3471,,911603
0509301 AR EBT MISSISSIPPI COUNTY,520,,10293,,10813,,148,,4417,,4565,,1180703
0509501 AR EBT MONROE COUNTY,119,,1861,,1980,,36,,902,,938,,219587
0509701 AR EBT MONTGOMERY COUNTY,22,,1460,,1482,,7,,615,,622,,155033
0509901 AR EBT NEVADA COUNTY,43,,1618,,1661,,13,,666,,679,,177177
0510101 AR EBT NEWTON COUNTY,42,,1279,,1321,,11,,517,,528,,132243
0510301 AR EBT OUACHITA COUNTY,308,,5267,,5575,,96,,2464,,2560,,638091
0510501 AR EBT PERRY COUNTY,36,,1533,,1569,,12,,648,,660,,172999
0510701 AR EBT PHILLIPS COUNTY,780,,6934,,7714,,232,,3296,,3528,,902830
0510901 AR EBT PIKE COUNTY,32,,1848,,1880,,9,,763,,772,,204855
0511101 AR EBT POINSETT COUNTY,269,,5418,,5687,,79,,2261,,2340,,616168
0511301 AR EBT POLK COUNTY,104,,3800,,3904,,34,,1512,,1546,,444569
0511501 AR EBT POPE COUNTY,117,,7752,,7869,,36,,3200,,3236,,844898
0511701 AR EBT PRAIRIE COUNTY,45,,1190,,1235,,14,,536,,550,,131483
0511901 AR EBT PULASKI COUNTY,3749,,59843,,63592,,1159,,28285,,29444,,7714198
0512101 AR EBT RANDOLPH COUNTY,111,,3036,,3147,,32,,1291,,1323,,333429
0512301 AR EBT SAINT FRANCIS COUNTY,548,,6490,,7038,,164,,3033,,3197,,840372
0512501 AR EBT SALINE COUNTY,224,,10504,,10728,,67,,4313,,4380,,1253126
0512701 AR EBT SCOTT COUNTY,30,,2102,,2132,,11,,818,,829,,215220
0512901 AR EBT SEARCY COUNTY,18,,1252,,1270,,7,,514,,521,,116596
0513101 AR EBT SEBASTIAN COUNTY,404,,20003,,20407,,122,,8184,,8306,,2296024
0513301 AR EBT SEVIER COUNTY,98,,3306,,3404,,30,,1333,,1363,,379479
0513501 AR EBT SHARP COUNTY,160,,3078,,3238,,43,,1284,,1327,,357224
0513701 AR EBT STONE COUNTY,61,,2123,,2184,,17,,915,,932,,220748
0513901 AR EBT UNION COUNTY,218,,7516,,7734,,67,,3421,,3488,,914675
0514101 AR EBT VAN BUREN COUNTY,29,,2880,,2909,,10,,1226,,1236,,324854
0514301 AR EBT WASHINGTON COUNTY,730,,25566,,26296,,216,,9998,,10214,,2998470
0514501 AR EBT WHITE COUNTY,426,,10655,,11081,,125,,4409,,4534,,1237344
0514701 AR EBT WOODRUFF COUNTY,101,,1543,,1644,,34,,782,,816,,182054
0514901 AR EBT YELL COUNTY,22,,3285,,3307,,6,,1277,,1283,,343841
0515992 AR EBT 92-1 Field Operations,452,,26680,,27132,,159,,23042,,23201,,1639303
0515996 AR EBT 96-1 Field Operations,0,,0,,0,,0,,0,,0,,0
0600105 CA EBT ALAMEDA COUNTY DSS,23149,,102634,,125783,,9914,,53538,,63452,,18513758
0600302 CA EBT ALPINE COUNTY DSS,7,,169,,176,,3,,106,,109,,23451
0600501 CA EBT AMADOR COUNTY DSS,483,,2939,,3422,,184,,1565,,1749,,480860
0600702 CA EBT BUTTE COUNTY DSS,5018,,25255,,30273,,2028,,12869,,14897,,4216681
0600901 CA EBT CALAVERAS CO DSW,761,,4288,,5049,,293,,2356,,2649,,702800
0601101 CA EBT COLUSA COUNTY DSW,290,,1452,,1742,,110,,621,,731,,226220
0601302 CA EBT CONTRA COSTA COUNTY DSS,13481,,56985,,70466,,5645,,28513,,34158,,10295760
0601501 CA EBT DEL NORTE CO DSW,1166,,4026,,5192,,433,,2117,,2550,,718846
0601704 CA EBT EL DORADO COUNTY DSS,1388,,10470,,11858,,559,,5909,,6468,,1671702
0601904 CA EBT FRESNO COUNTY DSW,43122,,182428,,225550,,15910,,78710,,94620,,31877049
0602102 CA EBT GLENN CO WELFARE DEPT,655,,2940,,3595,,237,,1233,,1470,,472258
0602303 CA EBT HUMBOLDT CO DSW,2538,,14635,,17173,,1042,,8213,,9255,,2449020
0602501 CA EBT IMPERIAL CO DSW,5973,,32389,,38362,,2185,,12941,,15126,,5022400
0602701 CA EBT INYO COUNTY WELF DEPT,322,,1823,,2145,,116,,934,,1050,,265591
0602902 CA EBT KERN,31177,,115218,,146395,,11385,,49052,,60437,,20266467
0603101 CA EBT KINGS COUNTY DPW,4482,,19189,,23671,,1661,,8341,,10002,,3144599
0603301 CA EBT LAKE CO DEPT OF SOC SVCS,1763,,8824,,10587,,683,,4563,,5246,,1499336
0603501 CA EBT LASSEN CO DSW,761,,2387,,3148,,291,,1197,,1488,,448713
0603720 CA EBT LOS ANGELES COUNTY DPSS,202122,,961275,,1163397,,88644,,478438,,567082,,172267652
0603902 CA EBT MADERA CO DSW,5498,,22681,,28179,,2041,,9157,,11198,,3853304
0604102 CA EBT MARIN COUNTY DSW,1639,,8094,,9733,,748,,5075,,5823,,1456095
0604301 CA EBT MARIPOSA CO DSW,371,,1660,,2031,,133,,883,,1016,,281277
0604501 CA EBT MENDOCINO CO WELF DEPT,2159,,11208,,13367,,869,,6255,,7124,,1910380
0604701 CA EBT MERCED CO DPW,13146,,42595,,55741,,4803,,18530,,23333,,7734249
0604901 CA EBT MODOC COUNTY DSS,192,,771,,963,,72,,365,,437,,126511
0605101 CA EBT MONO CO WELFARE DEPT,40,,783,,823,,17,,505,,522,,117831
0605302 CA EBT MONTEREY CO DSW,10206,,40803,,51009,,4160,,18159,,22319,,7316554
0605502 CA EBT NAPA CO WELFARE DEPT,971,,6120,,7091,,393,,3004,,3397,,998553
0605701 CA EBT NEVADA CO DPSS,1080,,6500,,7580,,419,,3579,,3998,,1080530
0605903 CA EBT ORANGE CO DSW,33775,,207943,,241718,,13227,,98559,,111786,,33366049
0606101 CA EBT PLACER CO WELFARE DEPT,2472,,15907,,18379,,942,,8045,,8987,,2477695
0606301 CA EBT PLUMAS COUNTY DSS,298,,1545,,1843,,110,,798,,908,,251952
0606503 CA EBT RIVERSIDE COUNTY DSS,53661,,231950,,285611,,19658,,100799,,120457,,38868930
0606703 CA EBT SACRAMENTO CO DSW,45919,,164824,,210743,,18087,,78082,,96169,,30432632
