NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:35 PM,,,,,
Jan 1989,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1634,,2066,,3700,,442,,829,,1271,,178009
0100301 AL FSP BALDWIN CO FS OFF,2248,,3018,,5266,,606,,1144,,1750,,271359
0100501 AL FSP BARBOUR CO FS OFF,2588,,2339,,4927,,635,,1074,,1709,,238650
0100701 AL FSP BIBB CO FS OFF,856,,1260,,2116,,227,,493,,720,,96866
0100901 AL FSP BLOUNT CO FS OFF,1364,,1264,,2628,,444,,662,,1106,,122918
0101101 AL FSP BULLOCK CO FS OFF,1767,,803,,2570,,440,,424,,864,,127229
0101301 AL FSP BUTLER CO FSO,2105,,1818,,3923,,483,,750,,1233,,187452
0101501 AL FSP CALHOUN CO FS OFF,4895,,5169,,10064,,1306,,2447,,3753,,538876
0101701 AL FSP CHAMBERS CO FS OFF,1998,,1507,,3505,,529,,736,,1265,,175985
0101901 AL FSP CHEROKEE CO FS OFFICE,832,,872,,1704,,258,,441,,699,,74823
0102101 AL FSP CHILTON CO FS OFF,1336,,1927,,3263,,404,,839,,1243,,160390
0102301 AL FSP CHOCTAW CO FS OFF,1787,,1224,,3011,,447,,581,,1028,,149914
0102501 AL FSP CLARKE CO FS OFF,2497,,2643,,5140,,525,,949,,1474,,251377
0102701 AL FSP CLAY CO FS OFF,662,,428,,1090,,192,,235,,427,,44716
0102901 AL FSP CLEBURNE CO FS OFF,672,,289,,961,,223,,220,,443,,41374
0103101 AL FSP COFFEE CO FS OFF,1876,,1007,,2883,,558,,594,,1152,,128513
0103301 AL FSP COLBERT CO FS OFF,1767,,2155,,3922,,531,,995,,1526,,190236
0103501 AL FSP CONECUH CO FS OFF,1576,,1952,,3528,,435,,896,,1331,,173521
0103701 AL FSP COOSA CO FSO,555,,430,,985,,146,,219,,365,,43130
0103901 AL FSP COVINGTON CO FS OFF,2166,,2501,,4667,,674,,1188,,1862,,219234
0104101 AL FSP CRENSHAW CO FSO,1243,,643,,1886,,354,,390,,744,,87327
0104301 AL FSP CULLMAN CO FS OFF,2406,,2904,,5310,,827,,1355,,2182,,242717
0104501 AL FSP DALE CO FS OFF,1737,,2613,,4350,,474,,981,,1455,,226382
0104701 AL FSP DALLAS CO FS OFF,8432,,5129,,13561,,1951,,2537,,4488,,735830
0104901 AL FSP DEKALB CO FS OFF,2334,,2120,,4454,,674,,1101,,1775,,209507
0105101 AL FSP ELMORE CO FS OFF,1721,,1988,,3709,,408,,777,,1185,,164371
0105301 AL FSP ESCAMBIA CO FS OFF,2176,,3350,,5526,,541,,1354,,1895,,279811
0105501 AL FSP ETOWQH CO FS OFF,4120,,5383,,9503,,1297,,2622,,3919,,488681
0105701 AL FSP FAYETTE CO FS OFF,1312,,812,,2124,,415,,506,,921,,104767
0105901 AL FSP FRANKLIN CO FS OFF,1857,,1536,,3393,,621,,889,,1510,,165401
0106101 AL FSP GENEVA CO FS OFF,1612,,1148,,2760,,484,,645,,1129,,128324
0106301 AL FSP GREENE CO FS OFF,2311,,1191,,3502,,545,,606,,1151,,165481
0106501 AL FSP HALE CO FS OFF,1924,,2276,,4200,,442,,839,,1281,,199084
0106701 AL FSP HENRY CO FS OFF,1398,,773,,2171,,437,,487,,924,,99654
0106901 AL FSP HOUSTON CO FS OFF,3903,,4346,,8249,,1057,,1871,,2928,,412947
0107101 AL FSP JACKSON CO FS OFF,2146,,2904,,5050,,642,,1349,,1991,,246018
0107301 AL FSP JEFFERSON CO FS OFF,29945,,27938,,57883,,7998,,12826,,20824,,3314692
0107501 AL FSP LAMAR CO FS OFF,804,,616,,1420,,287,,357,,644,,63162
0107701 AL FSP LAUDERDALE CO FS OFF,2766,,3501,,6267,,820,,1569,,2389,,313829
0107901 AL FSP LAWRENCE CO FS OFF,1715,,1926,,3641,,490,,882,,1372,,172401
0108101 AL FSP LEE CO FOOD STAMP OFF,2904,,3243,,6147,,865,,1453,,2318,,323343
0108301 AL FSP LIMESTONE CO FS OFF,1740,,2211,,3951,,511,,977,,1488,,185443
0108501 AL FSP LOWNDES CO FS OFF,2109,,1558,,3667,,426,,565,,991,,184377
0108701 AL FSP MACON CO FS OFF,3187,,2627,,5814,,873,,1303,,2176,,325709
0108901 AL FSP MADISON CO FS OFF,6760,,7838,,14598,,2026,,3621,,5647,,817863
0109101 AL FSP MARENGO CO FS OFC,2755,,2259,,5014,,620,,962,,1582,,246161
0109301 AL FSP MARION CO FS OFF,1743,,1194,,2937,,601,,707,,1308,,129547
0109501 AL FSP MARSHALL CO FS OFF,3360,,2705,,6065,,1083,,1434,,2517,,289486
0109701 AL FSP MOBILE CO FS OFF,25290,,30843,,56133,,6401,,12516,,18917,,3348437
0109901 AL FSP MONROE CO FS OFF,1830,,2058,,3888,,409,,760,,1169,,184823
0110101 AL FSP MONTGOMERY CO FS OFF,13059,,13130,,26189,,3162,,5533,,8695,,1462918
0110301 AL FSP MORGAN CO FS OFF,2973,,3052,,6025,,885,,1395,,2280,,305945
0110501 AL FSP PERRY CO FS OFF,2722,,2013,,4735,,609,,891,,1500,,246162
0110701 AL FSP PICKENS CO FS OFF,2003,,1524,,3527,,468,,641,,1109,,164634
0110901 AL FSP PIKE CO FOOD STAMP OFC,2861,,2087,,4948,,854,,1048,,1902,,235922
0111101 AL FSP RANDOLPH CO FSO,1142,,940,,2082,,316,,454,,770,,97345
0111301 AL FSP RUSSELL CO FS OFF,2684,,2966,,5650,,769,,1268,,2037,,294209
0111501 AL FSP ST CLAIR CO FS OFF,1347,,2216,,3563,,317,,879,,1196,,180474
0111701 AL FSP SHELBY CO FS OFF,1622,,2025,,3647,,499,,861,,1360,,188598
0111901 AL FSP SUMTER CO FS OFF,2975,,1864,,4839,,716,,914,,1630,,245399
0112101 AL FSP TALLADEGA CO FS OFF,5335,,4693,,10028,,1384,,2198,,3582,,513484
0112301 AL FSP TALLAPOOSA CO FS OFF,2082,,2048,,4130,,592,,1013,,1605,,202646
0112501 AL FSP TUSCALOOSA CO FS OFF,8401,,8380,,16781,,2242,,3831,,6073,,915254
0112701 AL FSP WALKER CO FS OFF,2786,,2971,,5757,,760,,1320,,2080,,301960
0112901 AL FSP WASHINGTON CO F S OFC,1570,,1475,,3045,,412,,657,,1069,,159617
0113101 AL FSP WILCOX CO FS OFF,3366,,2032,,5398,,706,,1015,,1721,,270665
0113301 AL FSP WINSTON CO FS OFF,799,,962,,1761,,269,,470,,739,,80187
0211005 AK FSP ALASKA,10555,,15077,,25632,,3833,,4890,,8723,,1985861
0400101 AZ FSP APACHE,5449,,10744,,16193,,1319,,2763,,4082,,851421
0400301 AZ FSP COCHISE,4037,,5953,,9990,,1202,,2188,,3390,,522236
0400501 AZ FSP COCONINO,3012,,5963,,8975,,834,,1708,,2542,,476928
0400701 AZ FSP GILA,2106,,3575,,5681,,568,,1304,,1872,,305809
0400901 AZ FSP GRAHAM,1815,,2770,,4585,,476,,944,,1420,,230679
0401101 AZ FSP GREENLEE,338,,554,,892,,105,,215,,320,,46766
0401301 AZ FSP MARICOPA,55738,,56399,,112137,,16573,,23637,,40210,,6394097
0401501 AZ FSP MOHAVE,1704,,3831,,5535,,537,,1610,,2147,,309299
0401701 AZ FSP NAVAJO,5194,,9431,,14625,,1322,,2581,,3903,,792035
0401901 AZ FSP PIMA,19699,,27214,,46913,,5819,,11309,,17128,,2619861
0402101 AZ FSP PINAL,7440,,8072,,15512,,1976,,2924,,4900,,814974
