NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:26 PM,,,,,
Jul 1993,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1920,,2688,,4608,,512,,1217,,1729,,289732
0100301 AL FSP BALDWIN CO FS OFF,2775,,5278,,8053,,689,,2088,,2777,,502331
0100501 AL FSP BARBOUR CO FS OFF,2972,,2527,,5499,,781,,1284,,2065,,344461
0100701 AL FSP BIBB CO FS OFF,980,,1523,,2503,,265,,638,,903,,147151
0100901 AL FSP BLOUNT CO FS OFF,1588,,2077,,3665,,482,,976,,1458,,228197
0101101 AL FSP BULLOCK CO FS OFF,1774,,1127,,2901,,456,,555,,1011,,171779
0101301 AL FSP BUTLER CO FSO,2151,,2559,,4710,,544,,1134,,1678,,273789
0101501 AL FSP CALHOUN CO FS OFF,6624,,8013,,14637,,1800,,3919,,5719,,1021634
0101701 AL FSP CHAMBERS CO FS OFF,2320,,2833,,5153,,643,,1297,,1940,,337836
0101901 AL FSP CHEROKEE CO FS OFFICE,852,,1040,,1892,,259,,506,,765,,114263
0102101 AL FSP CHILTON CO FS OFF,1784,,2741,,4525,,536,,1243,,1779,,293808
0102301 AL FSP CHOCTAW CO FS OFF,1758,,1319,,3077,,426,,679,,1105,,175872
0102501 AL WRI CLARKE CO FS OFF,2758,,3217,,5975,,932,,1336,,2268,,404203
0102701 AL FSP CLAY CO FS OFF,629,,610,,1239,,180,,294,,474,,64405
0102901 AL FSP CLEBURNE CO FS OFF,623,,828,,1451,,189,,436,,625,,90295
0103101 AL FSP COFFEE CO FS OFF,1938,,1871,,3809,,595,,902,,1497,,227884
0103301 AL FSP COLBERT CO FS OFF,1751,,3293,,5044,,518,,1380,,1898,,317623
0103501 AL FSP CONECUH CO FS OFF,1825,,2066,,3891,,513,,1101,,1614,,253820
0103701 AL FSP COOSA CO FSO,597,,651,,1248,,154,,305,,459,,70469
0103901 AL FSP COVINGTON CO FS OFF,2337,,3505,,5842,,725,,1666,,2391,,366905
0104101 AL FSP CRENSHAW CO FSO,1331,,966,,2297,,384,,563,,947,,136838
0104301 AL FSP CULLMAN CO FS OFF,2511,,3759,,6270,,840,,1713,,2553,,373504
0104501 AL FSP DALE CO FS OFF,2678,,4116,,6794,,700,,1759,,2459,,446074
0104701 AL FSP DALLAS CO FS OFF,9369,,6181,,15550,,2242,,3514,,5756,,1026376
0104901 AL FSP DEKALB CO FS OFF,2478,,3080,,5558,,786,,1451,,2237,,343754
0105101 AL FSP ELMORE CO FS OFF,2315,,3013,,5328,,568,,1231,,1799,,329379
0105301 AL FSP ESCAMBIA CO FS OFF,2427,,3986,,6413,,659,,1762,,2421,,424588
0105501 AL FSP ETOWQH CO FS OFF,4926,,7329,,12255,,1519,,3600,,5119,,806208
0105701 AL FSP FAYETTE CO FS OFF,1282,,1236,,2518,,404,,721,,1125,,161187
0105901 AL FSP FRANKLIN CO FS OFF,1893,,1667,,3560,,609,,946,,1555,,210155
0106101 AL FSP GENEVA CO FS OFF,1650,,1836,,3486,,513,,885,,1398,,216954
0106301 AL FSP GREENE CO FS OFF,1945,,1687,,3632,,522,,815,,1337,,224436
0106501 AL FSP HALE CO FS OFF,1568,,2716,,4284,,431,,1046,,1477,,255094
0106701 AL FSP HENRY CO FS OFF,1597,,1126,,2723,,509,,693,,1202,,163386
0106901 AL FSP HOUSTON CO FS OFF,5047,,5945,,10992,,1425,,2782,,4207,,717000
0107101 AL FSP JACKSON CO FS OFF,2260,,2888,,5148,,706,,1449,,2155,,308074
0107301 AL FSP JEFFERSON CO FS OFF,39793,,39008,,78801,,10853,,20159,,31012,,5719332
0107501 AL FSP LAMAR CO FS OFF,870,,998,,1868,,309,,518,,827,,110651
0107701 AL FSP LAUDERDALE CO FS OFF,2970,,3682,,6652,,911,,1746,,2657,,420298
0107901 AL FSP LAWRENCE CO FS OFF,1813,,2093,,3906,,510,,971,,1481,,236958
0108101 AL FSP LEE CO FOOD STAMP OFF,3412,,5132,,8544,,977,,2264,,3241,,573948
0108301 AL WRI LIMESTONE CO FS OFF,1933,,3544,,5477,,897,,1388,,2285,,353644
0108501 AL FSP LOWNDES CO FS OFF,2467,,2055,,4522,,508,,970,,1478,,274558
0108701 AL FSP MACON CO FS OFF,3571,,3835,,7406,,981,,2087,,3068,,548688
0108901 AL WRI MADISON CO FS OFF,10177,,14567,,24744,,3979,,6846,,10825,,1866480
0109101 AL FSP MARENGO CO FS OFC,2754,,2675,,5429,,744,,1263,,2007,,337316
0109301 AL FSP MARION CO FS OFF,1645,,1707,,3352,,545,,905,,1450,,192624
0109501 AL FSP MARSHALL CO FS OFF,3534,,3316,,6850,,1182,,1683,,2865,,433495
0109701 AL FSP MOBILE CO FS OFF,31689,,40538,,72227,,7914,,19226,,27140,,5329604
0109901 AL FSP MONROE CO FS OFF,1896,,2378,,4274,,418,,981,,1399,,272485
0110101 AL FSP MONTGOMERY CO FS OFF,18180,,17459,,35639,,4226,,9000,,13226,,2494841
0110301 AL FSP MORGAN CO FS OFF,3122,,4372,,7494,,916,,1942,,2858,,495985
0110501 AL FSP PERRY CO FS OFF,2816,,2225,,5041,,693,,1218,,1911,,318335
0110701 AL FSP PICKENS CO FS OFF,2226,,2068,,4294,,583,,921,,1504,,266260
0110901 AL FSP PIKE CO FOOD STAMP OFC,3109,,2266,,5375,,874,,1312,,2186,,334562
0111101 AL FSP RANDOLPH CO FSO,1212,,1463,,2675,,344,,644,,988,,163795
0111301 AL FSP RUSSELL CO FS OFF,3327,,4940,,8267,,911,,2152,,3063,,576142
0111501 AL FSP ST CLAIR CO FS OFF,2137,,4007,,6144,,565,,1643,,2208,,402355
0111701 AL FSP SHELBY CO FS OFF,1857,,3596,,5453,,513,,1533,,2046,,357005
0111901 AL FSP SUMTER CO FS OFF,2972,,2038,,5010,,822,,1143,,1965,,325942
0112101 AL FSP TALLADEGA CO FS OFF,5981,,6516,,12497,,1629,,3163,,4792,,821157
0112301 AL FSP TALLAPOOSA CO FS OFF,2292,,3169,,5461,,656,,1497,,2153,,359981
0112501 AL FSP TUSCALOOSA CO FS OFF,8348,,10832,,19180,,2210,,5119,,7329,,1304151
0112701 AL FSP WALKER CO FS OFF,3384,,3751,,7135,,930,,1789,,2719,,476157
