NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:56 AM,,,,,
Jul 2005,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1022,,3448,,4470,,236,,1458,,1694,,398142
0100301 AL EBT BALDWIN CO FS OFF,1478,,6320,,7798,,431,,2338,,2769,,637511
0100501 AL EBT BARBOUR CO FS OFF,1545,,3585,,5130,,394,,1605,,1999,,451174
0100701 AL EBT BIBB CO FS OFF,636,,1762,,2398,,187,,728,,915,,197623
0100901 AL EBT BLOUNT CO FS OFF,1033,,3237,,4270,,296,,1252,,1548,,365367
0101101 AL EBT BULLOCK CO FS OFF,871,,1432,,2303,,228,,664,,892,,192109
0101301 AL EBT BUTLER CO FSO,1039,,2651,,3690,,270,,1206,,1476,,300713
0101501 AL EBT CALHOUN CO FS OFF,3680,,10539,,14219,,1060,,4649,,5709,,1326653
0101701 AL EBT CHAMBERS CO FS OFF,1330,,3861,,5191,,389,,1697,,2086,,461492
0101901 AL EBT CHEROKEE CO FS OFFICE,884,,2565,,3449,,258,,1074,,1332,,311458
0102101 AL EBT CHILTON CO FS OFF,1080,,3915,,4995,,317,,1607,,1924,,435873
0102301 AL EBT CHOCTAW CO FS OFF,748,,2068,,2816,,216,,939,,1155,,247386
0102502 AL EBT CLARKE CO FS OFF.,1202,,4012,,5214,,644,,1493,,2137,,462430
0102701 AL EBT CLAY CO FS OFF,325,,580,,905,,108,,265,,373,,65467
0102901 AL EBT CLEBURNE CO FS OFF,432,,994,,1426,,138,,443,,581,,126895
0103101 AL EBT COFFEE CO FS OFF,1158,,2978,,4136,,314,,1256,,1570,,345503
0103301 AL EBT COLBERT CO FS OFF,1433,,4830,,6263,,439,,2102,,2541,,547294
0103501 AL EBT CONECUH CO FS OFF,954,,2143,,3097,,297,,1014,,1311,,275218
0103701 AL EBT COOSA CO FSO,335,,828,,1163,,93,,377,,470,,92829
0103901 AL EBT COVINGTON CO FS OFF,1571,,4490,,6061,,493,,2032,,2525,,515110
0104101 AL EBT CRENSHAW CO FSO,688,,1352,,2040,,207,,682,,889,,175967
0104301 AL EBT CULLMAN CO FS OFF,1658,,4864,,6522,,515,,2058,,2573,,565314
0104501 AL EBT DALE CO FS OFF,1694,,5579,,7273,,502,,2372,,2874,,653202
0104701 AL EBT DALLAS CO FS OFF,4550,,8636,,13186,,1135,,4096,,5231,,1169932
0104901 AL EBT DEKALB CO FS OFF,1816,,5107,,6923,,531,,2102,,2633,,596176
0105101 AL EBT ELMORE CO FS OFF,1724,,4713,,6437,,470,,1854,,2324,,545087
0105301 AL EBT ESCAMBIA CO FS OFF,1607,,6665,,8272,,575,,2632,,3207,,660821
0105501 AL EBT ETOWQH CO FS OFF,2872,,7128,,10000,,938,,3273,,4211,,838253
0105701 AL EBT FAYETTE CO FS OFF,923,,1749,,2672,,329,,906,,1235,,226974
0105901 AL EBT FRANKLIN CO FS OFF,1124,,2924,,4048,,358,,1334,,1692,,346003
0106101 AL EBT GENEVA CO FS OFF,920,,2702,,3622,,269,,1168,,1437,,318624
0106301 AL EBT GREENE CO FS OFF,808,,1749,,2557,,234,,779,,1013,,215110
0106501 AL EBT HALE CO FS OFF,791,,2111,,2902,,199,,864,,1063,,230420
0106701 AL EBT HENRY CO FS OFF,760,,1823,,2583,,234,,880,,1114,,220037
0106901 AL EBT HOUSTON CO FS OFF,3492,,8225,,11717,,1049,,3596,,4645,,1023935
0107101 AL EBT JACKSON CO FS OFF,1544,,4899,,6443,,495,,2055,,2550,,546150
0107301 AL EBT JEFFERSON CO FS OFF,22923,,46964,,69887,,6667,,22535,,29202,,6406673
0107501 AL EBT LAMAR CO FS OFF,580,,1324,,1904,,198,,643,,841,,159040
0107701 AL EBT LAUDERDALE CO FS OFF,2272,,7026,,9298,,713,,3163,,3876,,826844
0107901 AL EBT LAWRENCE CO FS OFF,1056,,2662,,3718,,314,,1164,,1478,,309866
0108101 AL EBT LEE CO FOOD STAMP OFF,2248,,7631,,9879,,653,,3172,,3825,,875159
0108302 AL EBT LIMESTONE CO. FS OFF,1179,,4615,,5794,,693,,1758,,2451,,495893
0108501 AL EBT LOWNDES CO FS OFF,1171,,2423,,3594,,302,,1153,,1455,,315010
0108701 AL EBT MACON CO FS OFF,1665,,4621,,6286,,514,,2323,,2837,,588401
0108902 AL EBT MADISON CO. FS OFF,3989,,13618,,17607,,1994,,5231,,7225,,1614057
0109101 AL EBT MARENGO CO FS OFC,1508,,2708,,4216,,419,,1315,,1734,,335580
0109301 AL EBT MARION CO FS OFF,1074,,3059,,4133,,367,,1406,,1773,,355814
0109501 AL EBT MARSHALL CO FS OFF,2138,,6631,,8769,,704,,2738,,3442,,770014
0109701 AL EBT MOBILE CO FS OFF,17189,,49015,,66204,,4986,,20545,,25531,,6232988
0109901 AL EBT MONROE CO FS OFF,868,,2749,,3617,,246,,1094,,1340,,320046
0110101 AL EBT MONTGOMERY CO FS OFF,11896,,26407,,38303,,3167,,12021,,15188,,3645919
0110301 AL EBT MORGAN CO FS OFF,2070,,6359,,8429,,653,,2621,,3274,,744525
0110501 AL EBT PERRY CO FS OFF,1422,,2924,,4346,,383,,1407,,1790,,381621
0110701 AL EBT PICKENS CO FS OFF,1059,,2240,,3299,,283,,1001,,1284,,264921
