NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:49 AM,,,,,
Jan 2008,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1059,,3668,,4727,,279,,1543,,1822,,451618
0100301 AL EBT BALDWIN CO FS OFF,1659,,7710,,9369,,479,,2934,,3413,,867420
0100501 AL EBT BARBOUR CO FS OFF,1434,,3693,,5127,,403,,1624,,2027,,490967
0100701 AL EBT BIBB CO FS OFF,824,,1711,,2535,,227,,756,,983,,221708
0100901 AL EBT BLOUNT CO FS OFF,1146,,3767,,4913,,362,,1523,,1885,,469667
0101101 AL EBT BULLOCK CO FS OFF,843,,1470,,2313,,216,,705,,921,,216031
0101301 AL EBT BUTLER CO FSO,1041,,2852,,3893,,282,,1349,,1631,,352009
0101501 AL EBT CALHOUN CO FS OFF,3964,,12213,,16177,,1234,,5448,,6682,,1623333
0101701 AL EBT CHAMBERS CO FS OFF,1432,,4122,,5554,,435,,1815,,2250,,537891
0101901 AL EBT CHEROKEE CO FS OFFICE,965,,2814,,3779,,296,,1195,,1491,,364156
0102101 AL EBT CHILTON CO FS OFF,1331,,4597,,5928,,392,,1899,,2291,,574922
0102301 AL EBT CHOCTAW CO FS OFF,725,,2030,,2755,,221,,949,,1170,,261477
0102502 AL EBT CLARKE CO FS OFF.,1210,,3722,,4932,,627,,1444,,2071,,437248
0102701 AL EBT CLAY CO FS OFF,368,,823,,1191,,116,,349,,465,,96036
0102901 AL EBT CLEBURNE CO FS OFF,449,,1174,,1623,,151,,511,,662,,146859
0103101 AL EBT COFFEE CO FS OFF,981,,3171,,4152,,284,,1274,,1558,,368745
0103301 AL EBT COLBERT CO FS OFF,1430,,4681,,6111,,467,,2060,,2527,,574496
0103501 AL EBT CONECUH CO FS OFF,888,,2545,,3433,,281,,1188,,1469,,331261
0103701 AL EBT COOSA CO FSO,337,,920,,1257,,98,,421,,519,,112497
0103901 AL EBT COVINGTON CO FS OFF,1463,,4798,,6261,,473,,2105,,2578,,575197
0104101 AL EBT CRENSHAW CO FSO,725,,1561,,2286,,229,,772,,1001,,207171
0104301 AL EBT CULLMAN CO FS OFF,1888,,5965,,7853,,590,,2438,,3028,,719853
0104501 AL EBT DALE CO FS OFF,1710,,5863,,7573,,501,,2559,,3060,,717642
0104701 AL EBT DALLAS CO FS OFF,4323,,9172,,13495,,1085,,4355,,5440,,1320411
0104901 AL EBT DEKALB CO FS OFF,1708,,6053,,7761,,520,,2399,,2919,,717669
0105101 AL EBT ELMORE CO FS OFF,1606,,5180,,6786,,432,,2115,,2547,,627372
0105301 AL EBT ESCAMBIA CO FS OFF,1390,,5460,,6850,,412,,2226,,2638,,674549
0105501 AL EBT ETOWQH CO FS OFF,2758,,8583,,11341,,902,,3819,,4721,,1066993
