NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:20 PM,,,,,
Jan 1995,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1794,,2255,,4049,,499,,1074,,1573,,264049
0100301 AL FSP BALDWIN CO FS OFF,2401,,5428,,7829,,612,,2184,,2796,,518397
0100501 AL FSP BARBOUR CO FS OFF,2830,,2507,,5337,,758,,1316,,2074,,350629
0100701 AL FSP BIBB CO FS OFF,827,,1416,,2243,,232,,624,,856,,134834
0100901 AL FSP BLOUNT CO FS OFF,1529,,2138,,3667,,487,,989,,1476,,243298
0101101 AL FSP BULLOCK CO FS OFF,1690,,1020,,2710,,421,,525,,946,,176712
0101301 AL FSP BUTLER CO FSO,1882,,2168,,4050,,495,,1044,,1539,,250191
0101501 AL FSP CALHOUN CO FS OFF,5976,,7834,,13810,,1636,,3889,,5525,,1007486
0101701 AL FSP CHAMBERS CO FS OFF,2169,,2747,,4916,,602,,1323,,1925,,343539
0101901 AL FSP CHEROKEE CO FS OFFICE,849,,1126,,1975,,262,,558,,820,,128818
0102101 AL FSP CHILTON CO FS OFF,1681,,2616,,4297,,513,,1237,,1750,,295630
0102301 AL FSP CHOCTAW CO FS OFF,1405,,1139,,2544,,372,,615,,987,,163461
0102502 AL FSP CLARKE CO FS OFF.,2422,,3158,,5580,,858,,1360,,2218,,383213
0102701 AL FSP CLAY CO FS OFF,533,,470,,1003,,151,,250,,401,,52476
0102901 AL FSP CLEBURNE CO FS OFF,544,,755,,1299,,170,,360,,530,,85148
0103101 AL FSP COFFEE CO FS OFF,1988,,1515,,3503,,587,,843,,1430,,221583
