NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:46 AM,,,,,
Jul 2010,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,868,,6270,,7138,,305,,2568,,2873,,902573
0100301 AL EBT BALDWIN CO FS OFF,1671,,17697,,19368,,649,,6503,,7152,,2454339
0100501 AL EBT BARBOUR CO FS OFF,1041,,4904,,5945,,388,,2046,,2434,,754398
0100701 AL EBT BIBB CO FS OFF,582,,3321,,3903,,239,,1295,,1534,,461448
0100901 AL EBT BLOUNT CO FS OFF,984,,7445,,8429,,388,,2741,,3129,,1062600
0101101 AL EBT BULLOCK CO FS OFF,577,,2280,,2857,,187,,990,,1177,,346084
0101301 AL EBT BUTLER CO FSO,871,,4207,,5078,,321,,1856,,2177,,604408
0101501 AL EBT CALHOUN CO FS OFF,3670,,20067,,23737,,1531,,8679,,10210,,3136209
0101701 AL EBT CHAMBERS CO FS OFF,1270,,6709,,7979,,555,,2882,,3437,,1008127
0101901 AL EBT CHEROKEE CO FS OFFICE,728,,4393,,5121,,295,,1760,,2055,,654290
0102101 AL EBT CHILTON CO FS OFF,1107,,8257,,9364,,452,,3276,,3728,,1210226
0102301 AL EBT CHOCTAW CO FS OFF,503,,2659,,3162,,234,,1180,,1414,,396478
0102502 AL EBT CLARKE CO FS OFF.,1235,,4753,,5988,,572,,1861,,2433,,730614
0102701 AL EBT CLAY CO FS OFF,292,,1840,,2132,,106,,695,,801,,252206
0102901 AL EBT CLEBURNE CO FS OFF,322,,2162,,2484,,159,,832,,991,,308440
0103101 AL EBT COFFEE CO FS OFF,669,,5324,,5993,,280,,2030,,2310,,723187
0103301 AL EBT COLBERT CO FS OFF,1196,,7657,,8853,,569,,3159,,3728,,1082638
0103501 AL EBT CONECUH CO FS OFF,627,,3493,,4120,,270,,1523,,1793,,526815
0103701 AL EBT COOSA CO FSO,287,,1634,,1921,,115,,709,,824,,229721
0103901 AL EBT COVINGTON CO FS OFF,872,,6808,,7680,,430,,2725,,3155,,953879
0104101 AL EBT CRENSHAW CO FSO,436,,2448,,2884,,207,,1030,,1237,,349383
0104301 AL EBT CULLMAN CO FS OFF,1351,,9710,,11061,,631,,3741,,4372,,1321961
0104501 AL EBT DALE CO FS OFF,1518,,8356,,9874,,650,,3527,,4177,,1231921
0104701 AL EBT DALLAS CO FS OFF,3395,,13145,,16540,,1255,,5908,,7163,,2139778
0104901 AL EBT DEKALB CO FS OFF,1262,,11600,,12862,,463,,4316,,4779,,1597465
0105101 AL EBT ELMORE CO FS OFF,1402,,9537,,10939,,576,,3781,,4357,,1382237
0105301 AL EBT ESCAMBIA CO FS OFF,1119,,7995,,9114,,470,,3108,,3578,,1183373
0105501 AL EBT ETOWQH CO FS OFF,2202,,14728,,16930,,1097,,6055,,7152,,2069995
0105701 AL EBT FAYETTE CO FS OFF,712,,3043,,3755,,337,,1353,,1690,,454427
0105901 AL EBT FRANKLIN CO FS OFF,850,,5453,,6303,,383,,2197,,2580,,796602
0106101 AL EBT GENEVA CO FS OFF,690,,4625,,5315,,298,,1770,,2068,,665824
0106301 AL EBT GREENE CO FS OFF,598,,2657,,3255,,270,,1157,,1427,,409388
0106501 AL EBT HALE CO FS OFF,806,,3199,,4005,,257,,1320,,1577,,455621
0106701 AL EBT HENRY CO FS OFF,504,,2858,,3362,,205,,1233,,1438,,401968
0106901 AL EBT HOUSTON CO FS OFF,2929,,14980,,17909,,1206,,6229,,7435,,2249105
0107101 AL EBT JACKSON CO FS OFF,1121,,7787,,8908,,483,,2998,,3481,,1106048
0107301 AL EBT JEFFERSON CO FS OFF,19159,,88034,,107193,,7842,,40949,,48791,,14188035
0107501 AL EBT LAMAR CO FS OFF,479,,2422,,2901,,225,,1033,,1258,,348911
0107701 AL EBT LAUDERDALE CO FS OFF,1655,,11124,,12779,,803,,4578,,5381,,1575253
0107901 AL EBT LAWRENCE CO FS OFF,849,,5136,,5985,,373,,2061,,2434,,721846
0108101 AL EBT LEE CO FOOD STAMP OFF,1763,,14236,,15999,,721,,5774,,6495,,2037824
0108302 AL EBT LIMESTONE CO. FS OFF,1329,,9293,,10622,,681,,3608,,4289,,1389446
0108501 AL EBT LOWNDES CO FS OFF,850,,3442,,4292,,319,,1579,,1898,,559152
0108701 AL EBT MACON CO FS OFF,1194,,6119,,7313,,531,,3244,,3775,,1017311
