NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,01/22/2015,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,02:08 PM,,,,,
Jan 2012,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1022,,6954,,7976,,391,,2943,,3334,,1010048
0100301 AL EBT BALDWIN CO FS OFF,1900,,21813,,23713,,770,,8380,,9150,,2998973
0100501 AL EBT BARBOUR CO FS OFF,958,,5584,,6542,,370,,2418,,2788,,835479
0100701 AL EBT BIBB CO FS OFF,590,,3582,,4172,,232,,1450,,1682,,505065
0100901 AL EBT BLOUNT CO FS OFF,1234,,8004,,9238,,478,,3052,,3530,,1165699
0100999 AL EBT AESAP - Alabama Dept. of HR,10226,,17423,,27649,,9707,,16323,,26030,,1899813
0101101 AL EBT BULLOCK CO FS OFF,527,,2404,,2931,,174,,1070,,1244,,353097
0101301 AL EBT BUTLER CO FSO,925,,4568,,5493,,335,,2042,,2377,,664985
0101501 AL EBT CALHOUN CO FS OFF,3698,,22241,,25939,,1584,,10112,,11696,,3417447
0101701 AL EBT CHAMBERS CO FS OFF,1228,,6466,,7694,,554,,2918,,3472,,969313
0101901 AL EBT CHEROKEE CO FS OFFICE,756,,4884,,5640,,314,,2025,,2339,,697542
0102101 AL EBT CHILTON CO FS OFF,1198,,8242,,9440,,492,,3378,,3870,,1207865
0102301 AL EBT CHOCTAW CO FS OFF,535,,2904,,3439,,263,,1319,,1582,,426208
0102502 AL EBT CLARKE CO FS OFF.,984,,5643,,6627,,368,,2450,,2818,,811871
0102701 AL EBT CLAY CO FS OFF,288,,2002,,2290,,111,,778,,889,,262369
0102901 AL EBT CLEBURNE CO FS OFF,372,,2374,,2746,,180,,960,,1140,,339643
0103101 AL EBT COFFEE CO FS OFF,784,,5771,,6555,,336,,2291,,2627,,797908
0103301 AL EBT COLBERT CO FS OFF,1247,,8527,,9774,,643,,3718,,4361,,1207555
0103501 AL EBT CONECUH CO FS OFF,591,,3493,,4084,,264,,1546,,1810,,519420
0103701 AL EBT COOSA CO FSO,322,,1781,,2103,,132,,823,,955,,255654
0103901 AL EBT COVINGTON CO FS OFF,950,,7417,,8367,,447,,3050,,3497,,1045053
0104101 AL EBT CRENSHAW CO FSO,437,,2513,,2950,,212,,1097,,1309,,378996
0104301 AL EBT CULLMAN CO FS OFF,1493,,10918,,12411,,669,,4355,,5024,,1488169
0104501 AL EBT DALE CO FS OFF,1440,,9279,,10719,,677,,4126,,4803,,1351388
0104701 AL EBT DALLAS CO FS OFF,3474,,13605,,17079,,1378,,6428,,7806,,2235334
0104901 AL EBT DEKALB CO FS OFF,1280,,13245,,14525,,516,,4969,,5485,,1802526
0105101 AL EBT ELMORE CO FS OFF,1479,,11103,,12582,,627,,4527,,5154,,1607205
