NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,07/30/2021,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2021,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0111701 AL EBT SHELBY CO FS OFF,1173,,11514,,12687,,731,,5091,,5822,,2766430
0111901 AL EBT SUMTER CO FS OFF,750,,2581,,3331,,496,,1326,,1822,,708290
0112101 AL EBT TALLADEGA CO FS OFF,2218,,11398,,13616,,1518,,5494,,7012,,2883660
0112301 AL EBT TALLAPOOSA CO FS OFF,1066,,6366,,7432,,715,,2944,,3659,,1584083
0112501 AL EBT TUSCALOOSA CO FS OFF,3648,,21040,,24688,,2195,,9517,,11712,,5229805
0112701 AL EBT WALKER CO FS OFF,1473,,8754,,10227,,945,,4081,,5026,,2175384
0112901 AL EBT WASHINGTON CO F S OFC,435,,2513,,2948,,297,,1217,,1514,,627911
0113101 AL EBT WILCOX CO FS OFF,919,,3207,,4126,,585,,1580,,2165,,872930
0113301 AL EBT WINSTON CO FS OFF,501,,2708,,3209,,324,,1186,,1510,,671640
0211005 AK EBT ALASKA,8660,,64232,,72892,,5056,,28007,,33063,,18518185
0400101 AZ EBT APACHE,52,,22478,,22530,,12,,9744,,9756,,4499402
0400301 AZ EBT COCHISE,411,,21183,,21594,,119,,10670,,10789,,4353548
0400501 AZ EBT COCONINO,130,,17889,,18019,,35,,8117,,8152,,3544083
0400701 AZ EBT GILA,109,,10192,,10301,,30,,4933,,4963,,2057393
0400901 AZ EBT GRAHAM,14,,675,,689,,4,,329,,333,,135547
0401101 AZ EBT GREENLEE,53,,5560,,5613,,17,,2579,,2596,,1120484
0401301 AZ EBT MARICOPA,10047,,463622,,473669,,2886,,215354,,218240,,94214951
0401501 AZ EBT MOHAVE,682,,32076,,32758,,195,,17657,,17852,,6587154
0401701 AZ EBT NAVAJO,238,,27488,,27726,,67,,11629,,11696,,5481108
0401901 AZ EBT PIMA,3895,,141308,,145203,,1085,,71741,,72826,,29189443
0402101 AZ EBT PINAL,1426,,52498,,53924,,359,,22645,,23004,,10574263
0402301 AZ EBT SANTA CRUZ,155,,10378,,10533,,49,,4370,,4419,,2073098
0402501 AZ EBT YAVAPAI,330,,20488,,20818,,98,,11239,,11337,,4158436
0402701 AZ EBT YUMA,560,,37766,,38326,,158,,15829,,15987,,7485339
0402901 AZ EBT LA PAZ CO DES,58,,2955,,3013,,15,,1509,,1524,,592816
0500101 AR EBT ARKANSAS COUNTY,25,,2188,,2213,,5,,1127,,1132,,297612
0500301 AR EBT ASHLEY COUNTY,79,,3046,,3125,,14,,1567,,1581,,424741
0500501 AR EBT BAXTER COUNTY,68,,4053,,4121,,13,,2059,,2072,,521852
0500701 AR EBT BENTON COUNTY,348,,13919,,14267,,59,,5815,,5874,,1913412
0500901 AR EBT BOONE COUNTY,148,,3922,,4070,,30,,1883,,1913,,513007
0501101 AR EBT BRADLEY COUNTY,80,,1760,,1840,,16,,944,,960,,242301
0501301 AR EBT CALHOUN COUNTY,0,,517,,517,,0,,277,,277,,71184
0501501 AR EBT CARROLL COUNTY,7,,2337,,2344,,2,,1091,,1093,,318022
0501701 AR EBT CHICOT COUNTY,130,,2284,,2414,,21,,1275,,1296,,310813
0501901 AR EBT CLARK COUNTY,37,,2331,,2368,,10,,1176,,1186,,321374
0502101 AR EBT CLAY COUNTY,37,,1773,,1810,,5,,937,,942,,226518
0502301 AR EBT CLEBURNE COUNTY,36,,2710,,2746,,7,,1351,,1358,,351458
0502501 AR EBT CLEVELAND COUNTY,10,,1007,,1017,,3,,492,,495,,134364
0502701 AR EBT COLUMBIA COUNTY,114,,3545,,3659,,17,,1832,,1849,,486706
0502901 AR EBT CONWAY COUNTY,98,,2625,,2723,,15,,1345,,1360,,355457
0503101 AR EBT CRAIGHEAD COUNTY,350,,13374,,13724,,56,,5829,,5885,,1894986
0503301 AR EBT CRAWFORD COUNTY,147,,6783,,6930,,25,,3027,,3052,,910865
0503501 AR EBT CRITTENDEN COUNTY,389,,9647,,10036,,63,,4538,,4601,,1424249
0503701 AR EBT CROSS COUNTY,70,,2069,,2139,,10,,1069,,1079,,277489
0503901 AR EBT DALLAS COUNTY,36,,844,,880,,5,,453,,458,,108595
0504101 AR EBT DESHA COUNTY,87,,2388,,2475,,18,,1253,,1271,,338078
0504301 AR EBT DREW COUNTY,74,,2675,,2749,,13,,1398,,1411,,374448
0504501 AR EBT FAULKNER COUNTY,155,,9491,,9646,,26,,4394,,4420,,1352156
0504701 AR EBT FRANKLIN COUNTY,8,,1843,,1851,,2,,851,,853,,229290
0504901 AR EBT FULTON COUNTY,36,,1661,,1697,,4,,846,,850,,211220
0505101 AR EBT GARLAND COUNTY,135,,12550,,12685,,25,,6163,,6188,,1780755
0505301 AR EBT GRANT COUNTY,46,,1403,,1449,,6,,669,,675,,197925
0505501 AR EBT GREENE COUNTY,131,,5775,,5906,,22,,2705,,2727,,790554
0505701 AR EBT HEMPSTEAD COUNTY,54,,2867,,2921,,8,,1438,,1446,,365441
0505901 AR EBT HOT SPRING COUNTY,22,,3765,,3787,,4,,1819,,1823,,511643
0506101 AR EBT HOWARD COUNTY,42,,1778,,1820,,8,,816,,824,,242128
0506301 AR EBT INDEPENDENCE COUNTY,160,,4192,,4352,,27,,1953,,1980,,567779
0506501 AR EBT IZARD COUNTY,41,,1790,,1831,,9,,915,,924,,226277
0506701 AR EBT JACKSON COUNTY,95,,2701,,2796,,22,,1401,,1423,,384963
0506901 AR EBT JEFFERSON COUNTY,373,,12840,,13213,,69,,6652,,6721,,1938732
0507101 AR EBT JOHNSON COUNTY,92,,3714,,3806,,15,,1655,,1670,,492317
0507301 AR EBT LAFAYETTE COUNTY,6,,1043,,1049,,1,,564,,565,,132103
0507501 AR EBT LAWRENCE COUNTY,26,,2404,,2430,,8,,1198,,1206,,304456
0507701 AR EBT LEE COUNTY,112,,2016,,2128,,18,,1138,,1156,,309297
0507901 AR EBT LINCOLN COUNTY,48,,1492,,1540,,8,,800,,808,,207339
0508101 AR EBT LITTLE RIVER COUNTY,31,,1561,,1592,,6,,778,,784,,208786
0508301 AR EBT LOGAN COUNTY,52,,2931,,2983,,9,,1360,,1369,,373133
0508501 AR EBT LONOKE COUNTY,68,,5141,,5209,,13,,2502,,2515,,711034
0508701 AR EBT MADISON COUNTY,31,,1984,,2015,,5,,831,,836,,259575
0508901 AR EBT MARION COUNTY,57,,2023,,2080,,9,,1005,,1014,,267520
0509101 AR EBT MILLER COUNTY,412,,5750,,6162,,73,,2879,,2952,,854419
0509301 AR EBT MISSISSIPPI COUNTY,268,,8211,,8479,,49,,3998,,4047,,1166594
0509501 AR EBT MONROE COUNTY,33,,1404,,1437,,7,,772,,779,,185841
0509701 AR EBT MONTGOMERY COUNTY,8,,1036,,1044,,2,,505,,507,,128015
0509901 AR EBT NEVADA COUNTY,34,,860,,894,,7,,439,,446,,118321
0510101 AR EBT NEWTON COUNTY,19,,965,,984,,5,,474,,479,,117188
0510301 AR EBT OUACHITA COUNTY,114,,3513,,3627,,19,,1862,,1881,,491599
0510501 AR EBT PERRY COUNTY,30,,1098,,1128,,6,,531,,537,,143951
0510701 AR EBT PHILLIPS COUNTY,341,,5685,,6026,,53,,2931,,2984,,847919
0510901 AR EBT PIKE COUNTY,6,,1464,,1470,,1,,643,,644,,196232
0511101 AR EBT POINSETT COUNTY,145,,4054,,4199,,24,,2053,,2077,,540143
0511301 AR EBT POLK COUNTY,82,,2763,,2845,,17,,1315,,1332,,368238
0511501 AR EBT POPE COUNTY,42,,5716,,5758,,8,,2703,,2711,,754926
0511701 AR EBT PRAIRIE COUNTY,12,,776,,788,,4,,388,,392,,99247
0511901 AR EBT PULASKI COUNTY,1398,,49830,,51228,,227,,24452,,24679,,7572687
0512101 AR EBT RANDOLPH COUNTY,9,,2245,,2254,,3,,1099,,1102,,275780
0512301 AR EBT SAINT FRANCIS COUNTY,190,,4996,,5186,,35,,2486,,2521,,740368
0512501 AR EBT SALINE COUNTY,66,,6410,,6476,,10,,3008,,3018,,948619
0512701 AR EBT SCOTT COUNTY,40,,1801,,1841,,4,,815,,819,,240895
0512901 AR EBT SEARCY COUNTY,22,,833,,855,,4,,426,,430,,98755
0513101 AR EBT SEBASTIAN COUNTY,362,,16819,,17181,,67,,8127,,8194,,2366313
0513301 AR EBT SEVIER COUNTY,39,,2136,,2175,,7,,958,,965,,284209
0513501 AR EBT SHARP COUNTY,67,,2537,,2604,,9,,1289,,1298,,325414
0513701 AR EBT STONE COUNTY,51,,1650,,1701,,8,,830,,838,,197763
0513901 AR EBT UNION COUNTY,71,,5454,,5525,,14,,2750,,2764,,785092
0514101 AR EBT VAN BUREN COUNTY,22,,1930,,1952,,4,,950,,954,,247889
0514301 AR EBT WASHINGTON COUNTY,420,,14056,,14476,,66,,6429,,6495,,2006803
0514501 AR EBT WHITE COUNTY,229,,8784,,9013,,37,,4176,,4213,,1211454
0514701 AR EBT WOODRUFF COUNTY,42,,1208,,1250,,9,,652,,661,,168042
0514901 AR EBT YELL COUNTY,22,,2181,,2203,,2,,965,,967,,277235
0515992 AR EBT 92-1 Field Operations,0,,0,,0,,0,,0,,0,,0
0515996 AR EBT 96-1 Field Operations,0,,0,,0,,0,,0,,0,,0
0600105 CA EBT ALAMEDA COUNTY DSS,25670,,105426,,131096,,17957,,60812,,78769,,15033300
0600302 CA EBT ALPINE COUNTY DSS,10,,91,,101,,10,,52,,62,,19393
0600501 CA EBT AMADOR COUNTY DSS,356,,2159,,2515,,239,,1237,,1476,,475544
0600702 CA EBT BUTTE COUNTY DSS,6491,,20934,,27425,,4372,,12231,,16603,,5189735
0600901 CA EBT CALAVERAS CO DSW,773,,4119,,4892,,483,,2348,,2831,,898899
0601101 CA EBT COLUSA COUNTY DSW,250,,1657,,1907,,156,,805,,961,,216746
