NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:42 AM,,,,,
Jul 2011,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1044,,6727,,7771,,392,,2807,,3199,,990127
0100301 AL EBT BALDWIN CO FS OFF,1749,,19639,,21388,,734,,7452,,8186,,2707264
0100501 AL EBT BARBOUR CO FS OFF,965,,5268,,6233,,381,,2249,,2630,,797023
0100701 AL EBT BIBB CO FS OFF,597,,3583,,4180,,246,,1426,,1672,,502913
0100901 AL EBT BLOUNT CO FS OFF,1288,,7799,,9087,,460,,2988,,3448,,1158342
0101101 AL EBT BULLOCK CO FS OFF,518,,2437,,2955,,177,,1061,,1238,,361124
0101301 AL EBT BUTLER CO FSO,899,,4456,,5355,,343,,1975,,2318,,648410
0101501 AL EBT CALHOUN CO FS OFF,3655,,21558,,25213,,1560,,9635,,11195,,3339276
0101701 AL EBT CHAMBERS CO FS OFF,1184,,6473,,7657,,544,,2831,,3375,,971051
0101901 AL EBT CHEROKEE CO FS OFFICE,730,,4738,,5468,,298,,1944,,2242,,690198
0102101 AL EBT CHILTON CO FS OFF,1190,,8381,,9571,,500,,3397,,3897,,1245261
0102301 AL EBT CHOCTAW CO FS OFF,525,,2994,,3519,,248,,1361,,1609,,440554
0102502 AL EBT CLARKE CO FS OFF.,995,,5404,,6399,,388,,2277,,2665,,787848
0102701 AL EBT CLAY CO FS OFF,272,,1978,,2250,,103,,760,,863,,261225
0102901 AL EBT CLEBURNE CO FS OFF,335,,2301,,2636,,169,,907,,1076,,327882
0103101 AL EBT COFFEE CO FS OFF,768,,5695,,6463,,334,,2254,,2588,,790491
0103301 AL EBT COLBERT CO FS OFF,1248,,8399,,9647,,608,,3604,,4212,,1198449
0103501 AL EBT CONECUH CO FS OFF,611,,3487,,4098,,270,,1557,,1827,,521873
0103701 AL EBT COOSA CO FSO,290,,1778,,2068,,118,,804,,922,,250065
0103901 AL EBT COVINGTON CO FS OFF,940,,7345,,8285,,477,,2969,,3446,,1044113
0104101 AL EBT CRENSHAW CO FSO,441,,2486,,2927,,224,,1085,,1309,,373184
0104301 AL EBT CULLMAN CO FS OFF,1442,,10456,,11898,,663,,4113,,4776,,1427969
0104501 AL EBT DALE CO FS OFF,1424,,9211,,10635,,657,,4044,,4701,,1335679
0104701 AL EBT DALLAS CO FS OFF,3386,,13558,,16944,,1336,,6277,,7613,,2223125
0104901 AL EBT DEKALB CO FS OFF,1240,,12982,,14222,,476,,4876,,5352,,1764578
0105101 AL EBT ELMORE CO FS OFF,1520,,10721,,12241,,652,,4345,,4997,,1565262
0105301 AL EBT ESCAMBIA CO FS OFF,983,,8722,,9705,,441,,3473,,3914,,1264308
0105501 AL EBT ETOWQH CO FS OFF,2330,,15855,,18185,,1174,,6652,,7826,,2222678
0105701 AL EBT FAYETTE CO FS OFF,630,,3213,,3843,,322,,1460,,1782,,477480
0105901 AL EBT FRANKLIN CO FS OFF,863,,5802,,6665,,388,,2335,,2723,,843750
0106101 AL EBT GENEVA CO FS OFF,665,,5160,,5825,,301,,1999,,2300,,743678
0106301 AL EBT GREENE CO FS OFF,563,,2806,,3369,,268,,1254,,1522,,419287
0106501 AL EBT HALE CO FS OFF,891,,3354,,4245,,304,,1453,,1757,,500331
0106701 AL EBT HENRY CO FS OFF,455,,2926,,3381,,212,,1261,,1473,,404510
0106901 AL EBT HOUSTON CO FS OFF,3013,,16212,,19225,,1203,,7016,,8219,,2458209
0107101 AL EBT JACKSON CO FS OFF,953,,8168,,9121,,443,,3197,,3640,,1116602
0107301 AL EBT JEFFERSON CO FS OFF,20492,,96161,,116653,,8538,,45758,,54296,,15518458
0107501 AL EBT LAMAR CO FS OFF,503,,2484,,2987,,243,,1085,,1328,,353760
0107701 AL EBT LAUDERDALE CO FS OFF,1676,,11818,,13494,,830,,5017,,5847,,1667572
0107901 AL EBT LAWRENCE CO FS OFF,846,,5533,,6379,,407,,2301,,2708,,776939
0108101 AL EBT LEE CO FOOD STAMP OFF,2010,,15747,,17757,,850,,6637,,7487,,2279534
0108302 AL EBT LIMESTONE CO. FS OFF,1556,,12104,,13660,,739,,4921,,5660,,1796167
0108501 AL EBT LOWNDES CO FS OFF,829,,3527,,4356,,334,,1678,,2012,,573696
0108701 AL EBT MACON CO FS OFF,1140,,6487,,7627,,501,,3505,,4006,,1076177
0108902 AL EBT MADISON CO. FS OFF,4826,,36651,,41477,,2148,,15486,,17634,,5558876
0109101 AL EBT MARENGO CO FS OFC,1121,,4474,,5595,,552,,2007,,2559,,650501
0109301 AL EBT MARION CO FS OFF,814,,5652,,6466,,404,,2300,,2704,,786882
0109501 AL EBT MARSHALL CO FS OFF,1529,,14520,,16049,,728,,5608,,6336,,2038194
0109701 AL EBT MOBILE CO FS OFF,11997,,82844,,94841,,5299,,35309,,40608,,12750557
0109901 AL EBT MONROE CO FS OFF,804,,4661,,5465,,338,,1825,,2163,,681343
0110101 AL EBT MONTGOMERY CO FS OFF,8782,,43980,,52762,,3430,,20301,,23731,,7214095
0110301 AL EBT MORGAN CO FS OFF,1786,,14511,,16297,,867,,5930,,6797,,2133754
0110501 AL EBT PERRY CO FS OFF,958,,3697,,4655,,396,,1793,,2189,,581283
0110701 AL EBT PICKENS CO FS OFF,791,,3604,,4395,,329,,1545,,1874,,520226
0110901 AL EBT PIKE CO FOOD STAMP OFC,1367,,6400,,7767,,614,,3096,,3710,,1007878
0111101 AL EBT RANDOLPH CO FSO,791,,5158,,5949,,299,,2106,,2405,,739027
0111301 AL EBT RUSSELL CO FS OFF,1644,,12985,,14629,,683,,5386,,6069,,2006149
0111501 AL EBT ST CLAIR CO FS OFF,1514,,11133,,12647,,618,,4492,,5110,,1613892
0111701 AL EBT SHELBY CO FS OFF,1374,,12586,,13960,,567,,5249,,5816,,1839130
0111901 AL EBT SUMTER CO FS OFF,1004,,3595,,4599,,440,,1795,,2235,,571320
0112101 AL EBT TALLADEGA CO FS OFF,2971,,15271,,18242,,1385,,6901,,8286,,2304737
0112301 AL EBT TALLAPOOSA CO FS OFF,1340,,7682,,9022,,553,,3345,,3898,,1130763
0112501 AL EBT TUSCALOOSA CO FS OFF,4878,,22809,,27687,,1907,,10111,,12018,,3569077
0112701 AL EBT WALKER CO FS OFF,1562,,10736,,12298,,644,,4390,,5034,,1578051
0112901 AL EBT WASHINGTON CO F S OFC,514,,2995,,3509,,223,,1291,,1514,,422206
0113101 AL EBT WILCOX CO FS OFF,1158,,3917,,5075,,461,,1906,,2367,,640591
0113301 AL EBT WINSTON CO FS OFF,629,,3572,,4201,,256,,1384,,1640,,491535
0211005 AK EBT ALASKA,14340,,76760,,91100,,6596,,30403,,36999,,15686482
0400101 AZ EBT APACHE,119,,28341,,28460,,37,,10318,,10355,,3051968
0400301 AZ EBT COCHISE,953,,22665,,23618,,294,,10631,,10925,,3219966
