NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:48 AM,,,,,
Jul 2009,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1128,,5192,,6320,,281,,2164,,2445,,797963
0100301 AL EBT BALDWIN CO FS OFF,1911,,13227,,15138,,555,,4847,,5402,,1952665
0100501 AL EBT BARBOUR CO FS OFF,1417,,4384,,5801,,387,,1912,,2299,,739353
0100701 AL EBT BIBB CO FS OFF,840,,2681,,3521,,233,,1102,,1335,,420173
0100901 AL EBT BLOUNT CO FS OFF,1267,,5397,,6664,,382,,2046,,2428,,865892
0101101 AL EBT BULLOCK CO FS OFF,783,,1822,,2605,,196,,860,,1056,,323117
0101301 AL EBT BUTLER CO FSO,1160,,3772,,4932,,313,,1778,,2091,,605683
0101501 AL EBT CALHOUN CO FS OFF,4622,,16139,,20761,,1376,,7248,,8624,,2772722
0101701 AL EBT CHAMBERS CO FS OFF,1692,,5868,,7560,,524,,2624,,3148,,966162
0101901 AL EBT CHEROKEE CO FS OFFICE,955,,3562,,4517,,294,,1487,,1781,,576190
0102101 AL EBT CHILTON CO FS OFF,1488,,6627,,8115,,452,,2714,,3166,,1052191
0102301 AL EBT CHOCTAW CO FS OFF,747,,2333,,3080,,227,,1118,,1345,,375749
0102502 AL EBT CLARKE CO FS OFF.,1161,,4496,,5657,,549,,1738,,2287,,692494
0102701 AL EBT CLAY CO FS OFF,351,,1407,,1758,,101,,553,,654,,208648
0102901 AL EBT CLEBURNE CO FS OFF,414,,1638,,2052,,125,,684,,809,,260256
0103101 AL EBT COFFEE CO FS OFF,999,,4262,,5261,,299,,1702,,2001,,634559
0103301 AL EBT COLBERT CO FS OFF,1653,,6158,,7811,,516,,2697,,3213,,976070
0103501 AL EBT CONECUH CO FS OFF,834,,3091,,3925,,250,,1429,,1679,,500242
0103701 AL EBT COOSA CO FSO,404,,1449,,1853,,109,,666,,775,,221069
0103901 AL EBT COVINGTON CO FS OFF,1445,,5729,,7174,,461,,2415,,2876,,885163
0104101 AL EBT CRENSHAW CO FSO,660,,2064,,2724,,211,,943,,1154,,335232
0104301 AL EBT CULLMAN CO FS OFF,2030,,7942,,9972,,621,,3201,,3822,,1227500
0104501 AL EBT DALE CO FS OFF,1942,,7189,,9131,,568,,3201,,3769,,1158359
0104701 AL EBT DALLAS CO FS OFF,4656,,10826,,15482,,1195,,5300,,6495,,2018372
0104901 AL EBT DEKALB CO FS OFF,1574,,9953,,11527,,444,,3796,,4240,,1451597
0105101 AL EBT ELMORE CO FS OFF,1746,,7538,,9284,,499,,3068,,3567,,1174335
0105301 AL EBT ESCAMBIA CO FS OFF,1511,,6893,,8404,,448,,2828,,3276,,1109668
0105501 AL EBT ETOWQH CO FS OFF,3054,,12032,,15086,,991,,5252,,6243,,1872375
0105701 AL EBT FAYETTE CO FS OFF,946,,2369,,3315,,315,,1151,,1466,,395586
0105901 AL EBT FRANKLIN CO FS OFF,1170,,4722,,5892,,361,,2001,,2362,,738291
0106101 AL EBT GENEVA CO FS OFF,935,,3844,,4779,,283,,1561,,1844,,611579
0106301 AL EBT GREENE CO FS OFF,794,,1957,,2751,,243,,885,,1128,,346888
0106501 AL EBT HALE CO FS OFF,990,,2517,,3507,,248,,1083,,1331,,412621
0106701 AL EBT HENRY CO FS OFF,616,,2467,,3083,,181,,1114,,1295,,373240
0106901 AL EBT HOUSTON CO FS OFF,3814,,11759,,15573,,1176,,5235,,6411,,2005459
0107101 AL EBT JACKSON CO FS OFF,1456,,6948,,8404,,456,,2759,,3215,,1040832
0107301 AL EBT JEFFERSON CO FS OFF,23875,,69856,,93731,,7052,,34196,,41248,,12313626
0107501 AL EBT LAMAR CO FS OFF,705,,1906,,2611,,230,,899,,1129,,311256
0107701 AL EBT LAUDERDALE CO FS OFF,2244,,8887,,11131,,732,,3864,,4596,,1370962
0107901 AL EBT LAWRENCE CO FS OFF,1145,,4038,,5183,,338,,1719,,2057,,627946
0108101 AL EBT LEE CO FOOD STAMP OFF,2524,,11525,,14049,,742,,4806,,5548,,1819898
0108302 AL EBT LIMESTONE CO. FS OFF,1229,,7640,,8869,,646,,2903,,3549,,1149521
0108501 AL EBT LOWNDES CO FS OFF,1102,,3042,,4144,,284,,1481,,1765,,526141
0108701 AL EBT MACON CO FS OFF,1546,,5172,,6718,,479,,2887,,3366,,931966
0108902 AL EBT MADISON CO. FS OFF,3945,,21780,,25725,,1806,,8616,,10422,,3428691
0109101 AL EBT MARENGO CO FS OFC,1528,,3148,,4676,,451,,1550,,2001,,554456
0109301 AL EBT MARION CO FS OFF,1184,,4567,,5751,,392,,1932,,2324,,697178
0109501 AL EBT MARSHALL CO FS OFF,2248,,10157,,12405,,707,,4045,,4752,,1585000
0109701 AL EBT MOBILE CO FS OFF,15433,,65645,,81078,,4720,,27722,,32442,,10792182
0109901 AL EBT MONROE CO FS OFF,947,,3928,,4875,,267,,1582,,1849,,614188
0110101 AL EBT MONTGOMERY CO FS OFF,11195,,33330,,44525,,3148,,15447,,18595,,6091940
0110301 AL EBT MORGAN CO FS OFF,2260,,10447,,12707,,741,,4282,,5023,,1628918
0110501 AL EBT PERRY CO FS OFF,1266,,3202,,4468,,346,,1592,,1938,,564221
0110701 AL EBT PICKENS CO FS OFF,1112,,2566,,3678,,304,,1148,,1452,,441817
0110901 AL EBT PIKE CO FOOD STAMP OFC,1925,,4583,,6508,,602,,2342,,2944,,842736
0111101 AL EBT RANDOLPH CO FSO,963,,4204,,5167,,269,,1728,,1997,,648238
0111301 AL EBT RUSSELL CO FS OFF,2290,,9911,,12201,,665,,4111,,4776,,1678951
0111501 AL EBT ST CLAIR CO FS OFF,1830,,8258,,10088,,513,,3347,,3860,,1289164
0111701 AL EBT SHELBY CO FS OFF,1680,,8236,,9916,,489,,3382,,3871,,1315774
0111901 AL EBT SUMTER CO FS OFF,1376,,2815,,4191,,398,,1514,,1912,,520119
0112101 AL EBT TALLADEGA CO FS OFF,3619,,11359,,14978,,1106,,5225,,6331,,1914666
0112301 AL EBT TALLAPOOSA CO FS OFF,1816,,5749,,7565,,507,,2548,,3055,,970928
0112501 AL EBT TUSCALOOSA CO FS OFF,6154,,16600,,22754,,1702,,7534,,9236,,2875273
0112701 AL EBT WALKER CO FS OFF,1846,,7415,,9261,,545,,3023,,3568,,1188646
0112901 AL EBT WASHINGTON CO F S OFC,695,,2541,,3236,,202,,1126,,1328,,396968
0113101 AL EBT WILCOX CO FS OFF,1713,,3230,,4943,,427,,1685,,2112,,620448
0113301 AL EBT WINSTON CO FS OFF,824,,2676,,3500,,242,,1076,,1318,,410195
0211005 AK EBT ALASKA,12218,,57722,,69940,,5158,,21947,,27105,,12594022
0400101 AZ EBT APACHE,323,,24723,,25046,,90,,8314,,8404,,3170335
0400301 AZ EBT COCHISE,2253,,17448,,19701,,704,,8209,,8913,,2532984
0400301 AZ WRI COCHISE,0,,0,,0,,0,,0,,0,,0
0400501 AZ EBT COCONINO,529,,19996,,20525,,173,,7758,,7931,,2654835
0400701 AZ EBT GILA,2125,,9209,,11334,,561,,4409,,4970,,1533430
0400901 AZ EBT GRAHAM,913,,6235,,7148,,250,,2658,,2908,,923514
0401101 AZ EBT GREENLEE,93,,1096,,1189,,28,,456,,484,,146189
0401301 AZ EBT MARICOPA,65901,,413893,,479794,,20456,,182002,,202458,,66131767
0401501 AZ EBT MOHAVE,3284,,33167,,36451,,1047,,15672,,16719,,4782623
0401701 AZ EBT NAVAJO,4041,,26597,,30638,,1083,,10114,,11197,,3924810
0401901 AZ EBT PIMA,17152,,126347,,143499,,5408,,59316,,64724,,19587914
0402101 AZ EBT PINAL,5312,,39738,,45050,,1492,,16347,,17839,,6018941
0402301 AZ EBT SANTA CRUZ,734,,9396,,10130,,219,,3489,,3708,,1274107
0402501 AZ EBT YAVAPAI,1554,,22548,,24102,,518,,11097,,11615,,3160265
0402701 AZ EBT YUMA,2827,,33272,,36099,,854,,12551,,13405,,4411326
0402901 AZ EBT LA PAZ CO DES,541,,3022,,3563,,156,,1526,,1682,,479277
0500101 AR EBT ARKANSAS COUNTY,254,,3495,,3749,,79,,1631,,1710,,465140
0500301 AR EBT ASHLEY COUNTY,237,,4485,,4722,,71,,2037,,2108,,584507
0500501 AR EBT BAXTER COUNTY,184,,4738,,4922,,65,,2030,,2095,,571616
0500701 AR EBT BENTON COUNTY,210,,16061,,16271,,70,,5836,,5906,,2102618
0500901 AR EBT BOONE COUNTY,332,,4710,,5042,,100,,1850,,1950,,581816
0501101 AR EBT BRADLEY COUNTY,180,,2413,,2593,,60,,1199,,1259,,309127
0501301 AR EBT CALHOUN COUNTY,57,,588,,645,,19,,293,,312,,76220
0501501 AR EBT CARROLL COUNTY,58,,2815,,2873,,17,,1170,,1187,,346910
0501701 AR EBT CHICOT COUNTY,270,,3324,,3594,,84,,1635,,1719,,433197
0501901 AR EBT CLARK COUNTY,152,,3104,,3256,,51,,1459,,1510,,405117
0502101 AR EBT CLAY COUNTY,142,,1957,,2099,,40,,703,,743,,235459
0502301 AR EBT CLEBURNE COUNTY,88,,2794,,2882,,28,,1147,,1175,,329576
0502501 AR EBT CLEVELAND COUNTY,104,,1301,,1405,,30,,566,,596,,171810
0502701 AR EBT COLUMBIA COUNTY,335,,5030,,5365,,95,,2413,,2508,,666666
0502901 AR EBT CONWAY COUNTY,100,,3619,,3719,,30,,1574,,1604,,444678
0503101 AR EBT CRAIGHEAD COUNTY,1035,,12488,,13523,,307,,4547,,4854,,1721996
0503301 AR EBT CRAWFORD COUNTY,282,,8969,,9251,,86,,3308,,3394,,1112995
0503501 AR EBT CRITTENDEN COUNTY,1141,,12634,,13775,,327,,4873,,5200,,1745061
0503701 AR EBT CROSS COUNTY,186,,2787,,2973,,52,,1089,,1141,,355856
0503901 AR EBT DALLAS COUNTY,162,,1496,,1658,,51,,749,,800,,196674
0504101 AR EBT DESHA COUNTY,224,,3293,,3517,,71,,1508,,1579,,427518
0504301 AR EBT DREW COUNTY,188,,3522,,3710,,59,,1649,,1708,,477020
0504501 AR EBT FAULKNER COUNTY,530,,10130,,10660,,164,,4140,,4304,,1342232
0504701 AR EBT FRANKLIN COUNTY,75,,2875,,2950,,22,,1141,,1163,,351100
0504901 AR EBT FULTON COUNTY,109,,1767,,1876,,37,,711,,748,,219936
0505101 AR EBT GARLAND COUNTY,593,,12627,,13220,,179,,5595,,5774,,1664048
0505301 AR EBT GRANT COUNTY,42,,1825,,1867,,13,,733,,746,,229475
0505501 AR EBT GREENE COUNTY,377,,6222,,6599,,112,,2351,,2463,,812226
0505701 AR EBT HEMPSTEAD COUNTY,304,,3843,,4147,,91,,1635,,1726,,493296
0505901 AR EBT HOT SPRING COUNTY,97,,4579,,4676,,27,,1975,,2002,,578125
0506101 AR EBT HOWARD COUNTY,68,,1992,,2060,,23,,862,,885,,253566
0506301 AR EBT INDEPENDENCE COUNTY,277,,4383,,4660,,80,,1622,,1702,,547054
0506501 AR EBT IZARD COUNTY,38,,1784,,1822,,14,,664,,678,,213968
0506701 AR EBT JACKSON COUNTY,192,,3116,,3308,,61,,1243,,1304,,407037
0506901 AR EBT JEFFERSON COUNTY,1676,,16638,,18314,,501,,8000,,8501,,2419071
0507101 AR EBT JOHNSON COUNTY,105,,3857,,3962,,28,,1528,,1556,,459836
0507301 AR EBT LAFAYETTE COUNTY,111,,1760,,1871,,29,,820,,849,,211739
0507501 AR EBT LAWRENCE COUNTY,121,,2910,,3031,,38,,1083,,1121,,353542
0507701 AR EBT LEE COUNTY,329,,2514,,2843,,108,,1302,,1410,,343076
