NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:51 AM,,,,,
Jan 2007,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1004,,3446,,4450,,261,,1467,,1728,,414511
0100301 AL EBT BALDWIN CO FS OFF,1720,,6944,,8664,,502,,2623,,3125,,757742
0100501 AL EBT BARBOUR CO FS OFF,1528,,3763,,5291,,402,,1658,,2060,,478706
0100701 AL EBT BIBB CO FS OFF,751,,1675,,2426,,209,,740,,949,,206226
0100901 AL EBT BLOUNT CO FS OFF,1110,,3357,,4467,,340,,1389,,1729,,410848
0101101 AL EBT BULLOCK CO FS OFF,926,,1315,,2241,,236,,650,,886,,191303
0101301 AL EBT BUTLER CO FSO,964,,2567,,3531,,272,,1198,,1470,,300438
0101501 AL EBT CALHOUN CO FS OFF,3928,,11276,,15204,,1183,,5114,,6297,,1457847
0101701 AL EBT CHAMBERS CO FS OFF,1396,,4124,,5520,,419,,1869,,2288,,510751
0101901 AL EBT CHEROKEE CO FS OFFICE,915,,2662,,3577,,279,,1142,,1421,,321660
0102101 AL EBT CHILTON CO FS OFF,1236,,4130,,5366,,368,,1737,,2105,,496894
0102301 AL EBT CHOCTAW CO FS OFF,698,,2028,,2726,,207,,939,,1146,,243098
0102502 AL EBT CLARKE CO FS OFF.,1150,,4025,,5175,,617,,1618,,2235,,438647
0102701 AL EBT CLAY CO FS OFF,346,,692,,1038,,111,,307,,418,,73957
0102901 AL EBT CLEBURNE CO FS OFF,378,,1137,,1515,,124,,482,,606,,135398
0103101 AL EBT COFFEE CO FS OFF,1046,,3070,,4116,,276,,1280,,1556,,347635
0103301 AL EBT COLBERT CO FS OFF,1493,,4780,,6273,,465,,2117,,2582,,557180
0103501 AL EBT CONECUH CO FS OFF,893,,2511,,3404,,279,,1184,,1463,,316543
0103701 AL EBT COOSA CO FSO,364,,899,,1263,,103,,452,,555,,110406
0103901 AL EBT COVINGTON CO FS OFF,1497,,4495,,5992,,482,,2017,,2499,,530153
0104101 AL EBT CRENSHAW CO FSO,665,,1410,,2075,,199,,673,,872,,182465
0104301 AL EBT CULLMAN CO FS OFF,1849,,5558,,7407,,553,,2338,,2891,,650782
0104501 AL EBT DALE CO FS OFF,1772,,5639,,7411,,501,,2480,,2981,,667935
0104701 AL EBT DALLAS CO FS OFF,4604,,8823,,13427,,1160,,4226,,5386,,1242022
0104901 AL EBT DEKALB CO FS OFF,1654,,5777,,7431,,494,,2330,,2824,,658210
0105101 AL EBT ELMORE CO FS OFF,1704,,4732,,6436,,458,,1913,,2371,,569750
0105301 AL EBT ESCAMBIA CO FS OFF,1408,,5234,,6642,,409,,2183,,2592,,624683
0105501 AL EBT ETOWQH CO FS OFF,2972,,7548,,10520,,954,,3488,,4442,,907450
0105701 AL EBT FAYETTE CO FS OFF,959,,1773,,2732,,329,,941,,1270,,232398
0105901 AL EBT FRANKLIN CO FS OFF,1144,,3171,,4315,,363,,1453,,1816,,391760
0106101 AL EBT GENEVA CO FS OFF,860,,2765,,3625,,260,,1171,,1431,,325110
0106301 AL EBT GREENE CO FS OFF,710,,1765,,2475,,207,,797,,1004,,215409
0106501 AL EBT HALE CO FS OFF,833,,1981,,2814,,213,,861,,1074,,228395
0106701 AL EBT HENRY CO FS OFF,704,,1979,,2683,,224,,921,,1145,,235944
0106901 AL EBT HOUSTON CO FS OFF,3516,,8135,,11651,,1069,,3654,,4723,,1039609
0107101 AL EBT JACKSON CO FS OFF,1451,,5153,,6604,,456,,2149,,2605,,577162
0107301 AL EBT JEFFERSON CO FS OFF,22782,,48527,,71309,,6618,,23582,,30200,,6608936
0107501 AL EBT LAMAR CO FS OFF,642,,1411,,2053,,211,,715,,926,,174288
0107701 AL EBT LAUDERDALE CO FS OFF,2270,,6891,,9161,,724,,3139,,3863,,819621
0107901 AL EBT LAWRENCE CO FS OFF,1099,,2523,,3622,,329,,1121,,1450,,307870
0108101 AL EBT LEE CO FOOD STAMP OFF,2385,,7941,,10326,,685,,3386,,4071,,935483
0108302 AL EBT LIMESTONE CO. FS OFF,1223,,5061,,6284,,708,,1963,,2671,,564125
0108501 AL EBT LOWNDES CO FS OFF,1045,,2278,,3323,,261,,1092,,1353,,304915
0108701 AL EBT MACON CO FS OFF,1632,,4374,,6006,,503,,2350,,2853,,590518
0108902 AL EBT MADISON CO. FS OFF,3851,,14665,,18516,,1949,,5673,,7622,,1714513
0109101 AL EBT MARENGO CO FS OFC,1473,,2547,,4020,,442,,1250,,1692,,315506
0109301 AL EBT MARION CO FS OFF,1113,,3137,,4250,,383,,1419,,1802,,362614
0109501 AL EBT MARSHALL CO FS OFF,2138,,6477,,8615,,670,,2716,,3386,,762830
0109701 AL EBT MOBILE CO FS OFF,15413,,49332,,64745,,4564,,20585,,25149,,6169751
0109901 AL EBT MONROE CO FS OFF,856,,3054,,3910,,240,,1207,,1447,,358592
0110101 AL EBT MONTGOMERY CO FS OFF,11001,,26237,,37238,,2978,,11955,,14933,,3605618
0110301 AL EBT MORGAN CO FS OFF,2099,,6598,,8697,,667,,2761,,3428,,780525
0110501 AL EBT PERRY CO FS OFF,1375,,2681,,4056,,376,,1329,,1705,,353821
0110701 AL EBT PICKENS CO FS OFF,1055,,2044,,3099,,293,,973,,1266,,256710
0110901 AL EBT PIKE CO FOOD STAMP OFC,1757,,3873,,5630,,548,,1930,,2478,,519301
0111101 AL EBT RANDOLPH CO FSO,860,,2841,,3701,,246,,1220,,1466,,333132
0111301 AL EBT RUSSELL CO FS OFF,2148,,8102,,10250,,624,,3292,,3916,,1005925
0111501 AL EBT ST CLAIR CO FS OFF,1578,,5004,,6582,,435,,2069,,2504,,584130
0111701 AL EBT SHELBY CO FS OFF,1307,,4355,,5662,,392,,1843,,2235,,536349
0111901 AL EBT SUMTER CO FS OFF,1388,,2566,,3954,,405,,1370,,1775,,344805
