NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:33 PM,,,,,
Jan 1990,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1659,,2518,,4177,,450,,1009,,1459,,230673
0100301 AL FSP BALDWIN CO FS OFF,2514,,3914,,6428,,640,,1477,,2117,,376630
0100501 AL FSP BARBOUR CO FS OFF,2604,,2645,,5249,,659,,1202,,1861,,297630
0100701 AL FSP BIBB CO FS OFF,847,,1338,,2185,,225,,513,,738,,112657
0100901 AL FSP BLOUNT CO FS OFF,1319,,1479,,2798,,397,,728,,1125,,145590
0101101 AL FSP BULLOCK CO FS OFF,1780,,836,,2616,,441,,450,,891,,146446
0101301 AL FSP BUTLER CO FSO,2237,,2093,,4330,,513,,865,,1378,,233416
0101501 AL FSP CALHOUN CO FS OFF,5005,,5600,,10605,,1359,,2653,,4012,,655299
0101701 AL FSP CHAMBERS CO FS OFF,2005,,1531,,3536,,539,,757,,1296,,204259
0101901 AL FSP CHEROKEE CO FS OFFICE,819,,869,,1688,,237,,450,,687,,89597
0102101 AL FSP CHILTON CO FS OFF,1467,,1866,,3333,,439,,874,,1313,,192494
0102301 AL FSP CHOCTAW CO FS OFF,1732,,1466,,3198,,434,,674,,1108,,178859
0102501 AL FSP CLARKE CO FS OFF,2497,,2540,,5037,,543,,1000,,1543,,279921
0102701 AL FSP CLAY CO FS OFF,570,,413,,983,,175,,232,,407,,46485
0102901 AL FSP CLEBURNE CO FS OFF,635,,418,,1053,,220,,251,,471,,55683
0103101 AL FSP COFFEE CO FS OFF,1776,,1251,,3027,,547,,661,,1208,,156139
0103301 AL FSP COLBERT CO FS OFF,1717,,2297,,4014,,534,,1009,,1543,,228121
0103501 AL FSP CONECUH CO FS OFF,1558,,2017,,3575,,433,,942,,1375,,200365
0103701 AL FSP COOSA CO FSO,495,,434,,929,,139,,209,,348,,45497
0103901 AL FSP COVINGTON CO FS OFF,2406,,2678,,5084,,723,,1299,,2022,,268635
0104101 AL FSP CRENSHAW CO FSO,1267,,620,,1887,,355,,401,,756,,97156
0104301 AL FSP CULLMAN CO FS OFF,2295,,2982,,5277,,776,,1383,,2159,,276595
0104501 AL FSP DALE CO FS OFF,1674,,2871,,4545,,448,,1081,,1529,,266452
0104701 AL FSP DALLAS CO FS OFF,8790,,5497,,14287,,2062,,2790,,4852,,878662
0104901 AL FSP DEKALB CO FS OFF,2347,,2243,,4590,,735,,1138,,1873,,245518
0105101 AL FSP ELMORE CO FS OFF,1830,,2133,,3963,,428,,852,,1280,,207237
0105301 AL FSP ESCAMBIA CO FS OFF,2301,,3414,,5715,,586,,1420,,2006,,330834
0105501 AL FSP ETOWQH CO FS OFF,4204,,5574,,9778,,1341,,2705,,4046,,576602
0105701 AL FSP FAYETTE CO FS OFF,1341,,949,,2290,,435,,578,,1013,,127949
0105901 AL FSP FRANKLIN CO FS OFF,1874,,1554,,3428,,633,,920,,1553,,186943
