NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:24 PM,,,,,
Jul 1994,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1863,,2268,,4131,,509,,1085,,1594,,263566
0100301 AL FSP BALDWIN CO FS OFF,2542,,5036,,7578,,637,,2070,,2707,,483878
0100501 AL FSP BARBOUR CO FS OFF,2814,,2481,,5295,,738,,1311,,2049,,331473
0100701 AL FSP BIBB CO FS OFF,849,,1442,,2291,,231,,623,,854,,132147
0100901 AL FSP BLOUNT CO FS OFF,1640,,2079,,3719,,506,,992,,1498,,236250
0101101 AL FSP BULLOCK CO FS OFF,1736,,1077,,2813,,426,,552,,978,,173103
0101301 AL FSP BUTLER CO FSO,2029,,2249,,4278,,508,,1071,,1579,,251841
0101501 AL FSP CALHOUN CO FS OFF,6021,,7979,,14000,,1584,,3926,,5510,,989684
0101701 AL FSP CHAMBERS CO FS OFF,2226,,2708,,4934,,619,,1290,,1909,,331170
0101901 AL FSP CHEROKEE CO FS OFFICE,895,,1160,,2055,,259,,580,,839,,126023
0102101 AL FSP CHILTON CO FS OFF,1727,,2604,,4331,,522,,1214,,1736,,286750
0102301 AL FSP CHOCTAW CO FS OFF,1496,,1323,,2819,,397,,663,,1060,,175558
0102501 AL WRI CLARKE CO FS OFF,2554,,3180,,5734,,912,,1368,,2280,,381225
0102701 AL FSP CLAY CO FS OFF,546,,498,,1044,,153,,266,,419,,54407
0102901 AL FSP CLEBURNE CO FS OFF,524,,776,,1300,,162,,370,,532,,79671
0103101 AL FSP COFFEE CO FS OFF,1958,,1574,,3532,,573,,835,,1408,,210964
0103301 AL FSP COLBERT CO FS OFF,1700,,3211,,4911,,503,,1411,,1914,,309026
0103501 AL FSP CONECUH CO FS OFF,1781,,1966,,3747,,498,,1078,,1576,,245734
0103701 AL FSP COOSA CO FSO,563,,604,,1167,,141,,287,,428,,69586
0103901 AL FSP COVINGTON CO FS OFF,2241,,3389,,5630,,705,,1635,,2340,,352690
0104101 AL FSP CRENSHAW CO FSO,1332,,877,,2209,,384,,534,,918,,134088
0104301 AL FSP CULLMAN CO FS OFF,2310,,2925,,5235,,794,,1456,,2250,,313608
0104501 AL FSP DALE CO FS OFF,2777,,4385,,7162,,735,,1928,,2663,,477901
0104701 AL FSP DALLAS CO FS OFF,8968,,5950,,14918,,2102,,3540,,5642,,988634
0104901 AL FSP DEKALB CO FS OFF,2335,,3068,,5403,,750,,1442,,2192,,338784
0105101 AL FSP ELMORE CO FS OFF,2248,,2808,,5056,,538,,1166,,1704,,313920
0105301 AL FSP ESCAMBIA CO FS OFF,2171,,3760,,5931,,604,,1692,,2296,,394461
0105501 AL FSP ETOWQH CO FS OFF,4922,,6912,,11834,,1490,,3496,,4986,,791645
0105701 AL FSP FAYETTE CO FS OFF,1353,,1118,,2471,,431,,712,,1143,,157603
0105901 AL FSP FRANKLIN CO FS OFF,1788,,1507,,3295,,573,,886,,1459,,197745
0106101 AL FSP GENEVA CO FS OFF,1603,,1744,,3347,,492,,854,,1346,,205011
0106301 AL FSP GREENE CO FS OFF,1735,,1827,,3562,,480,,846,,1326,,223431
0106501 AL FSP HALE CO FS OFF,1610,,2620,,4230,,428,,1042,,1470,,261612
0106701 AL FSP HENRY CO FS OFF,1635,,1116,,2751,,520,,688,,1208,,166429
0106901 AL FSP HOUSTON CO FS OFF,4673,,5643,,10316,,1303,,2639,,3942,,669839
0107101 AL FSP JACKSON CO FS OFF,2204,,3006,,5210,,694,,1486,,2180,,316878
0107301 AL FSP JEFFERSON CO FS OFF,39441,,37873,,77314,,10631,,19967,,30598,,5650385
0107501 AL FSP LAMAR CO FS OFF,869,,936,,1805,,321,,508,,829,,108098
0107701 AL FSP LAUDERDALE CO FS OFF,2929,,3839,,6768,,873,,1839,,2712,,443259
0107901 AL FSP LAWRENCE CO FS OFF,1704,,1969,,3673,,484,,910,,1394,,223686
0108101 AL FSP LEE CO FOOD STAMP OFF,3240,,5258,,8498,,887,,2320,,3207,,584414
0108301 AL WRI LIMESTONE CO FS OFF,1853,,3410,,5263,,917,,1366,,2283,,340533
0108501 AL FSP LOWNDES CO FS OFF,2293,,1884,,4177,,486,,936,,1422,,253951
0108701 AL FSP MACON CO FS OFF,3383,,3770,,7153,,948,,2033,,2981,,533490
0108901 AL WRI MADISON CO FS OFF,10045,,13247,,23292,,4067,,6271,,10338,,1777423
0109101 AL FSP MARENGO CO FS OFC,2672,,2553,,5225,,708,,1224,,1932,,326645
0109301 AL FSP MARION CO FS OFF,1530,,1559,,3089,,523,,844,,1367,,183584
0109501 AL FSP MARSHALL CO FS OFF,3595,,3118,,6713,,1173,,1630,,2803,,434592
0109701 AL FSP MOBILE CO FS OFF,31132,,40168,,71300,,7643,,19644,,27287,,5319619
