NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:44 AM,,,,,
Jan 2010,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,838,,6129,,6967,,293,,2463,,2756,,860139
0100301 AL EBT BALDWIN CO FS OFF,1565,,16476,,18041,,611,,5955,,6566,,2298613
0100501 AL EBT BARBOUR CO FS OFF,1096,,4943,,6039,,415,,2034,,2449,,744364
0100701 AL EBT BIBB CO FS OFF,613,,3132,,3745,,245,,1202,,1447,,442302
0100901 AL EBT BLOUNT CO FS OFF,1062,,6970,,8032,,418,,2536,,2954,,1012974
0101101 AL EBT BULLOCK CO FS OFF,612,,2160,,2772,,198,,918,,1116,,336853
0101301 AL EBT BUTLER CO FSO,895,,4198,,5093,,335,,1848,,2183,,598034
0101501 AL EBT CALHOUN CO FS OFF,3536,,20060,,23596,,1473,,8493,,9966,,3027521
0101701 AL EBT CHAMBERS CO FS OFF,1239,,6696,,7935,,538,,2819,,3357,,986915
0101901 AL EBT CHEROKEE CO FS OFFICE,694,,4196,,4890,,283,,1649,,1932,,624914
0102101 AL EBT CHILTON CO FS OFF,1164,,7961,,9125,,479,,3141,,3620,,1177096
0102301 AL EBT CHOCTAW CO FS OFF,502,,2680,,3182,,235,,1161,,1396,,388778
0102502 AL EBT CLARKE CO FS OFF.,1146,,4720,,5866,,531,,1847,,2378,,716091
0102701 AL EBT CLAY CO FS OFF,275,,1770,,2045,,111,,637,,748,,226577
0102901 AL EBT CLEBURNE CO FS OFF,304,,2017,,2321,,142,,776,,918,,285259
0103101 AL EBT COFFEE CO FS OFF,757,,4836,,5593,,316,,1838,,2154,,670142
0103301 AL EBT COLBERT CO FS OFF,1163,,7472,,8635,,546,,3061,,3607,,1064854
0103501 AL EBT CONECUH CO FS OFF,657,,3520,,4177,,283,,1517,,1800,,527653
0103701 AL EBT COOSA CO FSO,295,,1725,,2020,,117,,730,,847,,231635
0103901 AL EBT COVINGTON CO FS OFF,960,,6601,,7561,,445,,2621,,3066,,937107
0104101 AL EBT CRENSHAW CO FSO,509,,2293,,2802,,232,,973,,1205,,337353
0104301 AL EBT CULLMAN CO FS OFF,1418,,9408,,10826,,659,,3555,,4214,,1295379
0104501 AL EBT DALE CO FS OFF,1586,,8266,,9852,,659,,3459,,4118,,1232444
0104701 AL EBT DALLAS CO FS OFF,3529,,12596,,16125,,1290,,5613,,6903,,2054627
0104901 AL EBT DEKALB CO FS OFF,1193,,10904,,12097,,470,,4019,,4489,,1484412
0105101 AL EBT ELMORE CO FS OFF,1446,,8840,,10286,,576,,3440,,4016,,1292205
0105301 AL EBT ESCAMBIA CO FS OFF,1126,,7803,,8929,,472,,3049,,3521,,1150891
0105501 AL EBT ETOWQH CO FS OFF,2244,,14141,,16385,,1109,,5776,,6885,,2008000
0105701 AL EBT FAYETTE CO FS OFF,715,,2934,,3649,,328,,1288,,1616,,425803
0105901 AL EBT FRANKLIN CO FS OFF,806,,5241,,6047,,363,,2116,,2479,,764755
0106101 AL EBT GENEVA CO FS OFF,606,,4444,,5050,,273,,1694,,1967,,637589
0106301 AL EBT GREENE CO FS OFF,538,,2380,,2918,,248,,1001,,1249,,370029
0106501 AL EBT HALE CO FS OFF,822,,2939,,3761,,266,,1171,,1437,,429440
0106701 AL EBT HENRY CO FS OFF,464,,2935,,3399,,198,,1240,,1438,,399159
0106901 AL EBT HOUSTON CO FS OFF,3017,,13739,,16756,,1279,,5627,,6906,,2140904
0107101 AL EBT JACKSON CO FS OFF,1033,,7798,,8831,,480,,2946,,3426,,1064334
0107301 AL EBT JEFFERSON CO FS OFF,18591,,83254,,101845,,7589,,38338,,45927,,13333941
0107501 AL EBT LAMAR CO FS OFF,530,,2217,,2747,,236,,963,,1199,,332529
0107701 AL EBT LAUDERDALE CO FS OFF,1585,,10660,,12245,,769,,4348,,5117,,1506112
0107901 AL EBT LAWRENCE CO FS OFF,851,,4868,,5719,,367,,1967,,2334,,693410
0108101 AL EBT LEE CO FOOD STAMP OFF,1857,,13212,,15069,,773,,5333,,6106,,1921975
0108302 AL EBT LIMESTONE CO. FS OFF,1320,,8578,,9898,,656,,3330,,3986,,1298340
0108501 AL EBT LOWNDES CO FS OFF,887,,3391,,4278,,319,,1550,,1869,,545224
0108701 AL EBT MACON CO FS OFF,1119,,5992,,7111,,509,,3173,,3682,,998314
0108902 AL EBT MADISON CO. FS OFF,4181,,24426,,28607,,1878,,9819,,11697,,3775534
0109101 AL EBT MARENGO CO FS OFC,1093,,4220,,5313,,477,,1806,,2283,,604502
0109301 AL EBT MARION CO FS OFF,866,,5244,,6110,,417,,2099,,2516,,731107
0109501 AL EBT MARSHALL CO FS OFF,1578,,12130,,13708,,701,,4584,,5285,,1703435
0109701 AL EBT MOBILE CO FS OFF,12339,,75463,,87802,,5207,,30961,,36168,,11621627
0109901 AL EBT MONROE CO FS OFF,739,,4548,,5287,,302,,1711,,2013,,651067
0110101 AL EBT MONTGOMERY CO FS OFF,8477,,38473,,46950,,3245,,16806,,20051,,6318686
0110301 AL EBT MORGAN CO FS OFF,1570,,12925,,14495,,733,,5088,,5821,,1861631
0110501 AL EBT PERRY CO FS OFF,931,,3516,,4447,,370,,1624,,1994,,545915
0110701 AL EBT PICKENS CO FS OFF,860,,3207,,4067,,332,,1299,,1631,,475830
0110901 AL EBT PIKE CO FOOD STAMP OFC,1309,,5657,,6966,,597,,2611,,3208,,875351
0111101 AL EBT RANDOLPH CO FSO,827,,4732,,5559,,318,,1871,,2189,,700192
0111301 AL EBT RUSSELL CO FS OFF,1876,,11463,,13339,,720,,4585,,5305,,1775585
0111501 AL EBT ST CLAIR CO FS OFF,1458,,9722,,11180,,557,,3793,,4350,,1432504
0111701 AL EBT SHELBY CO FS OFF,1395,,9928,,11323,,538,,3960,,4498,,1482336
0111901 AL EBT SUMTER CO FS OFF,1015,,3386,,4401,,424,,1600,,2024,,539385
0112101 AL EBT TALLADEGA CO FS OFF,2798,,13574,,16372,,1245,,5823,,7068,,2060140
0112301 AL EBT TALLAPOOSA CO FS OFF,1403,,6644,,8047,,531,,2819,,3350,,993063
0112501 AL EBT TUSCALOOSA CO FS OFF,4862,,20161,,25023,,1877,,8563,,10440,,3125205
0112701 AL EBT WALKER CO FS OFF,1443,,9118,,10561,,581,,3530,,4111,,1344745
0112901 AL EBT WASHINGTON CO F S OFC,551,,2897,,3448,,225,,1228,,1453,,422514
0113101 AL EBT WILCOX CO FS OFF,1216,,3905,,5121,,449,,1794,,2243,,616164
0113301 AL EBT WINSTON CO FS OFF,653,,3281,,3934,,259,,1249,,1508,,457495
0211005 AK EBT ALASKA,12400,,62815,,75215,,5399,,24416,,29815,,13141068
0400101 AZ EBT APACHE,314,,26722,,27036,,89,,9254,,9343,,2525440
0400301 AZ EBT COCHISE,2167,,19165,,21332,,683,,9075,,9758,,1118720
0400301 AZ WRI COCHISE,0,,0,,0,,0,,0,,0,,0
0400501 AZ EBT COCONINO,592,,22580,,23172,,188,,8948,,9136,,3790622
0400701 AZ EBT GILA,2071,,10043,,12114,,559,,4922,,5481,,2193972
0400901 AZ EBT GRAHAM,836,,6797,,7633,,235,,2931,,3166,,1420917
0401101 AZ EBT GREENLEE,64,,1154,,1218,,18,,505,,523,,144259
0401301 AZ EBT MARICOPA,68964,,481811,,550775,,21491,,214298,,235789,,73337017
0401501 AZ EBT MOHAVE,3161,,37525,,40686,,1032,,17906,,18938,,5234306
0401701 AZ EBT NAVAJO,4327,,28576,,32903,,1148,,11062,,12210,,4106984
0401901 AZ EBT PIMA,16730,,142725,,159455,,5316,,68352,,73668,,21169348
0402101 AZ EBT PINAL,5162,,43785,,48947,,1463,,18190,,19653,,6335315
0402301 AZ EBT SANTA CRUZ,710,,10360,,11070,,206,,3866,,4072,,1323687
0402501 AZ EBT YAVAPAI,1607,,26331,,27938,,522,,13072,,13594,,3575848
0402701 AZ EBT YUMA,2747,,34921,,37668,,796,,13490,,14286,,4439263
0402901 AZ EBT LA PAZ CO DES,494,,3369,,3863,,148,,1716,,1864,,506569
0500101 AR EBT ARKANSAS COUNTY,217,,3604,,3821,,76,,1688,,1764,,466229
0500301 AR EBT ASHLEY COUNTY,249,,4696,,4945,,76,,2121,,2197,,599231
0500501 AR EBT BAXTER COUNTY,215,,5183,,5398,,67,,2243,,2310,,625354
0500701 AR EBT BENTON COUNTY,262,,19524,,19786,,81,,6813,,6894,,2381487
0500901 AR EBT BOONE COUNTY,327,,5206,,5533,,102,,2055,,2157,,639827
0501101 AR EBT BRADLEY COUNTY,209,,2363,,2572,,66,,1213,,1279,,314727
0501301 AR EBT CALHOUN COUNTY,34,,587,,621,,9,,295,,304,,73365
0501501 AR EBT CARROLL COUNTY,72,,3135,,3207,,16,,1291,,1307,,381036
0501701 AR EBT CHICOT COUNTY,259,,3358,,3617,,79,,1687,,1766,,430778
0501901 AR EBT CLARK COUNTY,148,,3145,,3293,,49,,1493,,1542,,395400
0502101 AR EBT CLAY COUNTY,191,,2282,,2473,,63,,812,,875,,285505
0502301 AR EBT CLEBURNE COUNTY,87,,3023,,3110,,28,,1270,,1298,,364309
0502501 AR EBT CLEVELAND COUNTY,89,,1356,,1445,,26,,588,,614,,175068
0502701 AR EBT COLUMBIA COUNTY,393,,5415,,5808,,117,,2546,,2663,,697899
0502901 AR EBT CONWAY COUNTY,132,,3868,,4000,,43,,1733,,1776,,466545
0503101 AR EBT CRAIGHEAD COUNTY,1135,,13078,,14213,,340,,4795,,5135,,1790618
0503301 AR EBT CRAWFORD COUNTY,294,,9294,,9588,,88,,3445,,3533,,1144398
0503501 AR EBT CRITTENDEN COUNTY,1263,,13154,,14417,,350,,5130,,5480,,1820351
0503701 AR EBT CROSS COUNTY,228,,2943,,3171,,67,,1155,,1222,,373922
0503901 AR EBT DALLAS COUNTY,150,,1470,,1620,,42,,737,,779,,191283
0504101 AR EBT DESHA COUNTY,232,,3276,,3508,,77,,1504,,1581,,430531
0504301 AR EBT DREW COUNTY,201,,3507,,3708,,61,,1678,,1739,,462112
0504501 AR EBT FAULKNER COUNTY,494,,11058,,11552,,161,,4612,,4773,,1441134
0504701 AR EBT FRANKLIN COUNTY,78,,3112,,3190,,26,,1248,,1274,,379269
0504901 AR EBT FULTON COUNTY,127,,1818,,1945,,40,,740,,780,,232596
0505101 AR EBT GARLAND COUNTY,666,,14589,,15255,,203,,6366,,6569,,1881169
0505301 AR EBT GRANT COUNTY,49,,1978,,2027,,17,,799,,816,,244146
0505501 AR EBT GREENE COUNTY,338,,6821,,7159,,104,,2611,,2715,,880939
0505701 AR EBT HEMPSTEAD COUNTY,327,,4134,,4461,,98,,1755,,1853,,525407
0505901 AR EBT HOT SPRING COUNTY,156,,4998,,5154,,45,,2174,,2219,,614442
0506101 AR EBT HOWARD COUNTY,87,,2302,,2389,,26,,979,,1005,,283720
0506301 AR EBT INDEPENDENCE COUNTY,304,,4619,,4923,,89,,1710,,1799,,582455
0506501 AR EBT IZARD COUNTY,51,,1826,,1877,,19,,686,,705,,220597
0506701 AR EBT JACKSON COUNTY,241,,3261,,3502,,69,,1312,,1381,,425815
0506901 AR EBT JEFFERSON COUNTY,1706,,17348,,19054,,521,,8460,,8981,,2486526
0507101 AR EBT JOHNSON COUNTY,129,,4057,,4186,,38,,1649,,1687,,479062
0507301 AR EBT LAFAYETTE COUNTY,129,,1820,,1949,,38,,864,,902,,222524
0507501 AR EBT LAWRENCE COUNTY,140,,2943,,3083,,41,,1102,,1143,,354170
0507701 AR EBT LEE COUNTY,322,,2568,,2890,,108,,1363,,1471,,358650
0507901 AR EBT LINCOLN COUNTY,221,,2342,,2563,,68,,1063,,1131,,316496
0508101 AR EBT LITTLE RIVER COUNTY,125,,2034,,2159,,36,,876,,912,,252560
0508301 AR EBT LOGAN COUNTY,259,,4301,,4560,,75,,1751,,1826,,543616
0508501 AR EBT LONOKE COUNTY,442,,7290,,7732,,130,,2835,,2965,,933428
0508701 AR EBT MADISON COUNTY,44,,2320,,2364,,12,,884,,896,,275269
0508901 AR EBT MARION COUNTY,119,,2740,,2859,,38,,1161,,1199,,341410
0509101 AR EBT MILLER COUNTY,645,,7425,,8070,,188,,3190,,3378,,1001825
0509301 AR EBT MISSISSIPPI COUNTY,819,,10461,,11280,,236,,4005,,4241,,1356791
0509501 AR EBT MONROE COUNTY,132,,1947,,2079,,41,,973,,1014,,240822
0509701 AR EBT MONTGOMERY COUNTY,24,,1443,,1467,,8,,599,,607,,171441
0509901 AR EBT NEVADA COUNTY,116,,1760,,1876,,36,,742,,778,,215388
0510101 AR EBT NEWTON COUNTY,67,,1510,,1577,,20,,662,,682,,172182
0510301 AR EBT OUACHITA COUNTY,489,,5121,,5610,,148,,2401,,2549,,691394
0510501 AR EBT PERRY COUNTY,87,,1503,,1590,,24,,625,,649,,191950
0510701 AR EBT PHILLIPS COUNTY,1064,,7248,,8312,,313,,3404,,3717,,1042279
0510901 AR EBT PIKE COUNTY,16,,1633,,1649,,6,,647,,653,,196621
0511101 AR EBT POINSETT COUNTY,493,,5402,,5895,,148,,2090,,2238,,710793
