NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:52 AM,,,,,
Jul 2007,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1009,,3588,,4597,,276,,1505,,1781,,428566
0100301 AL EBT BALDWIN CO FS OFF,1602,,6861,,8463,,475,,2631,,3106,,759379
0100501 AL EBT BARBOUR CO FS OFF,1427,,3860,,5287,,376,,1689,,2065,,491686
0100701 AL EBT BIBB CO FS OFF,795,,1733,,2528,,214,,770,,984,,211282
0100901 AL EBT BLOUNT CO FS OFF,1093,,3508,,4601,,331,,1477,,1808,,414060
0101101 AL EBT BULLOCK CO FS OFF,871,,1477,,2348,,226,,696,,922,,203706
0101301 AL EBT BUTLER CO FSO,956,,2646,,3602,,259,,1249,,1508,,319410
0101501 AL EBT CALHOUN CO FS OFF,3900,,11763,,15663,,1184,,5337,,6521,,1505895
0101701 AL EBT CHAMBERS CO FS OFF,1419,,4212,,5631,,430,,1902,,2332,,524866
0101901 AL EBT CHEROKEE CO FS OFFICE,931,,2645,,3576,,296,,1143,,1439,,326413
0102101 AL EBT CHILTON CO FS OFF,1210,,4464,,5674,,353,,1860,,2213,,528744
0102301 AL EBT CHOCTAW CO FS OFF,711,,1928,,2639,,222,,906,,1128,,240160
0102502 AL EBT CLARKE CO FS OFF.,1158,,3926,,5084,,601,,1519,,2120,,424946
0102701 AL EBT CLAY CO FS OFF,346,,738,,1084,,108,,330,,438,,83278
0102901 AL EBT CLEBURNE CO FS OFF,422,,1101,,1523,,143,,493,,636,,132503
0103101 AL EBT COFFEE CO FS OFF,958,,3103,,4061,,264,,1269,,1533,,341038
0103301 AL EBT COLBERT CO FS OFF,1395,,4649,,6044,,451,,2063,,2514,,544640
0103501 AL EBT CONECUH CO FS OFF,870,,2473,,3343,,280,,1157,,1437,,311020
0103701 AL EBT COOSA CO FSO,332,,975,,1307,,95,,449,,544,,111351
0103901 AL EBT COVINGTON CO FS OFF,1412,,4638,,6050,,464,,2047,,2511,,533105
0104101 AL EBT CRENSHAW CO FSO,743,,1341,,2084,,224,,689,,913,,184817
0104301 AL EBT CULLMAN CO FS OFF,1839,,5525,,7364,,574,,2331,,2905,,665279
0104501 AL EBT DALE CO FS OFF,1680,,5632,,7312,,492,,2502,,2994,,670382
0104701 AL EBT DALLAS CO FS OFF,4291,,9174,,13465,,1067,,4304,,5371,,1259284
0104901 AL EBT DEKALB CO FS OFF,1649,,5859,,7508,,501,,2365,,2866,,670195
0105101 AL EBT ELMORE CO FS OFF,1563,,4791,,6354,,417,,1947,,2364,,568550
0105301 AL EBT ESCAMBIA CO FS OFF,1358,,5525,,6883,,408,,2263,,2671,,643494
0105501 AL EBT ETOWQH CO FS OFF,2904,,7953,,10857,,946,,3607,,4553,,958996
0105701 AL EBT FAYETTE CO FS OFF,927,,1884,,2811,,315,,971,,1286,,237140
0105901 AL EBT FRANKLIN CO FS OFF,1063,,3304,,4367,,331,,1471,,1802,,400673
0106101 AL EBT GENEVA CO FS OFF,822,,2889,,3711,,259,,1208,,1467,,327989
0106301 AL EBT GREENE CO FS OFF,697,,1815,,2512,,207,,810,,1017,,223694
0106501 AL EBT HALE CO FS OFF,821,,2062,,2883,,210,,881,,1091,,233779
0106701 AL EBT HENRY CO FS OFF,689,,2027,,2716,,219,,952,,1171,,245529
0106901 AL EBT HOUSTON CO FS OFF,3400,,8368,,11768,,1040,,3749,,4789,,1056009
0107101 AL EBT JACKSON CO FS OFF,1422,,4918,,6340,,453,,2065,,2518,,564657
0107301 AL EBT JEFFERSON CO FS OFF,22219,,51076,,73295,,6582,,24797,,31379,,6892815
0107501 AL EBT LAMAR CO FS OFF,650,,1378,,2028,,224,,699,,923,,171244
0107701 AL EBT LAUDERDALE CO FS OFF,2213,,6832,,9045,,692,,3076,,3768,,805784
0107901 AL EBT LAWRENCE CO FS OFF,1041,,2512,,3553,,306,,1119,,1425,,302114
0108101 AL EBT LEE CO FOOD STAMP OFF,2260,,8033,,10293,,654,,3391,,4045,,939830
0108302 AL EBT LIMESTONE CO. FS OFF,1209,,5048,,6257,,708,,1974,,2682,,566542
