NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,01/22/2015,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,02:10 PM,,,,,
Jul 2012,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,972,,6729,,7701,,369,,2799,,3168,,999402
0100301 AL EBT BALDWIN CO FS OFF,1771,,20315,,22086,,713,,7776,,8489,,2831665
0100501 AL EBT BARBOUR CO FS OFF,853,,5670,,6523,,314,,2427,,2741,,849646
0100701 AL EBT BIBB CO FS OFF,538,,3531,,4069,,213,,1454,,1667,,489135
0100901 AL EBT BLOUNT CO FS OFF,1139,,7791,,8930,,445,,2965,,3410,,1128716
0100999 AL EBT AESAP - Alabama Dept. of HR,15216,,22323,,37539,,14421,,20939,,35360,,2705239
0101101 AL EBT BULLOCK CO FS OFF,466,,2416,,2882,,161,,1057,,1218,,354984
0101301 AL EBT BUTLER CO FSO,831,,4621,,5452,,295,,2038,,2333,,672588
0101501 AL EBT CALHOUN CO FS OFF,3479,,22265,,25744,,1485,,10045,,11530,,3457203
0101701 AL EBT CHAMBERS CO FS OFF,1148,,6075,,7223,,490,,2718,,3208,,930165
0101901 AL EBT CHEROKEE CO FS OFFICE,671,,4792,,5463,,283,,1946,,2229,,685224
0102101 AL EBT CHILTON CO FS OFF,1132,,7889,,9021,,463,,3195,,3658,,1181909
0102301 AL EBT CHOCTAW CO FS OFF,512,,2925,,3437,,248,,1303,,1551,,429597
0102502 AL EBT CLARKE CO FS OFF.,977,,5694,,6671,,368,,2484,,2852,,833328
0102701 AL EBT CLAY CO FS OFF,271,,2003,,2274,,104,,766,,870,,254237
