NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,03/29/2016,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,09:20 AM,,,,,
Jan 2013,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,982,,6803,,7785,,376,,2837,,3213,,1018987
0100301 AL EBT BALDWIN CO FS OFF,1826,,21642,,23468,,698,,8375,,9073,,3066349
0100501 AL EBT BARBOUR CO FS OFF,882,,5743,,6625,,281,,2465,,2746,,866509
0100701 AL EBT BIBB CO FS OFF,535,,3602,,4137,,196,,1480,,1676,,509856
0100901 AL EBT BLOUNT CO FS OFF,1162,,7762,,8924,,435,,2989,,3424,,1117383
0100999 AL EBT AESAP - Alabama Dept. of HR,19307,,26724,,46031,,18258,,25186,,43444,,3515958
0101101 AL EBT BULLOCK CO FS OFF,467,,2377,,2844,,156,,1044,,1200,,356982
0101301 AL EBT BUTLER CO FSO,743,,4505,,5248,,264,,1989,,2253,,656790
0101501 AL EBT CALHOUN CO FS OFF,3311,,21913,,25224,,1386,,9976,,11362,,3367455
0101701 AL EBT CHAMBERS CO FS OFF,1063,,6048,,7111,,431,,2709,,3140,,937323
0101901 AL EBT CHEROKEE CO FS OFFICE,655,,4752,,5407,,286,,1947,,2233,,680269
0102101 AL EBT CHILTON CO FS OFF,1082,,7984,,9066,,419,,3246,,3665,,1189741
0102301 AL EBT CHOCTAW CO FS OFF,493,,2936,,3429,,223,,1323,,1546,,438505
0102502 AL EBT CLARKE CO FS OFF.,1027,,5736,,6763,,405,,2543,,2948,,850561
0102701 AL EBT CLAY CO FS OFF,261,,1944,,2205,,103,,754,,857,,248678
0102901 AL EBT CLEBURNE CO FS OFF,334,,2409,,2743,,138,,999,,1137,,348394
0103101 AL EBT COFFEE CO FS OFF,760,,6198,,6958,,296,,2481,,2777,,869709
