NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:57 AM,,,,,
Jan 2004,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0112101 AL EBT TALLADEGA CO FS OFF,3203,,7130,,10333,,967,,3312,,4279,,837163
0112301 AL EBT TALLAPOOSA CO FS OFF,1313,,3845,,5158,,360,,1663,,2023,,434521
0112501 AL EBT TUSCALOOSA CO FS OFF,4672,,11317,,15989,,1366,,4989,,6355,,1285526
0112701 AL EBT WALKER CO FS OFF,1657,,4669,,6326,,473,,1994,,2467,,534776
0112901 AL EBT WASHINGTON CO F S OFC,710,,1987,,2697,,212,,843,,1055,,218552
0113101 AL EBT WILCOX CO FS OFF,1774,,3133,,4907,,462,,1515,,1977,,392758
0113301 AL EBT WINSTON CO FS OFF,669,,2096,,2765,,215,,889,,1104,,216170
0211005 AK EBT ALASKA,16165,,35100,,51265,,5731,,12537,,18268,,5504094
0400101 AZ EBT APACHE,6007,,16864,,22871,,1481,,5404,,6885,,1876412
0400301 AZ EBT COCHISE,3982,,11180,,15162,,1354,,4942,,6296,,1307457
0400501 AZ EBT COCONINO,3978,,11167,,15145,,1068,,3898,,4966,,1297401
0400701 AZ EBT GILA,2264,,6355,,8619,,728,,2657,,3385,,764652
0400901 AZ EBT GRAHAM,1492,,4189,,5681,,478,,1744,,2222,,470331
0401101 AZ EBT GREENLEE,256,,720,,976,,89,,325,,414,,85950
0401301 AZ EBT MARICOPA,69047,,193825,,262872,,22692,,82784,,105476,,24437312
0401501 AZ EBT MOHAVE,5814,,16323,,22137,,1890,,6896,,8786,,1915196
0401701 AZ EBT NAVAJO,6006,,16862,,22868,,1608,,5868,,7476,,1899198
