NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,04/10/2017,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,  , ,,,,,
Jan 2015,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0111901 AL EBT SUMTER CO FS OFF,988,,3479,,4467,,525,,1885,,2410,,542928
0112101 AL EBT TALLADEGA CO FS OFF,2917,,13661,,16578,,1627,,6601,,8228,,2000800
0112301 AL EBT TALLAPOOSA CO FS OFF,1251,,7442,,8693,,686,,3522,,4208,,1050477
0112501 AL EBT TUSCALOOSA CO FS OFF,4572,,24164,,28736,,2182,,11086,,13268,,3481618
0112701 AL EBT WALKER CO FS OFF,1894,,12002,,13896,,968,,5319,,6287,,1725818
0112901 AL EBT WASHINGTON CO F S OFC,513,,2619,,3132,,322,,1240,,1562,,380628
0113101 AL EBT WILCOX CO FS OFF,1074,,3845,,4919,,562,,1964,,2526,,600811
0113301 AL EBT WINSTON CO FS OFF,640,,3410,,4050,,333,,1462,,1795,,456412
0211005 AK EBT ALASKA,12831,,66903,,79734,,6277,,27372,,33649,,14070593
0400101 AZ EBT APACHE,42,,25581,,25623,,13,,10030,,10043,,3202271
0400301 AZ EBT COCHISE,961,,23061,,24022,,285,,11047,,11332,,2771431
0400501 AZ EBT COCONINO,86,,20401,,20487,,24,,8621,,8645,,2489624
0400701 AZ EBT GILA,858,,11603,,12461,,227,,5370,,5597,,1532564
0400901 AZ EBT GRAHAM,490,,6278,,6768,,140,,2842,,2982,,823704
0401101 AZ EBT GREENLEE,29,,850,,879,,9,,421,,430,,114219
0401301 AZ EBT MARICOPA,21856,,522886,,544742,,6545,,228788,,235333,,66992050
0401501 AZ EBT MOHAVE,1063,,40083,,41146,,347,,19722,,20069,,4786010
0401701 AZ EBT NAVAJO,430,,31828,,32258,,124,,12858,,12982,,3948991
0401901 AZ EBT PIMA,5636,,155297,,160933,,1675,,74696,,76371,,19750750
0402101 AZ EBT PINAL,2080,,51303,,53383,,589,,20875,,21464,,6376087
0402301 AZ EBT SANTA CRUZ,341,,12514,,12855,,101,,4902,,5003,,1433133
0402501 AZ EBT YAVAPAI,573,,25274,,25847,,165,,13008,,13173,,2920156
0402701 AZ EBT YUMA,987,,41307,,42294,,287,,16114,,16401,,4556091
0402901 AZ EBT LA PAZ CO DES,127,,3798,,3925,,42,,1904,,1946,,473273
0500101 AR EBT ARKANSAS COUNTY,93,,3232,,3325,,30,,1536,,1566,,399058
0500301 AR EBT ASHLEY COUNTY,119,,3819,,3938,,39,,1776,,1815,,466615
0500501 AR EBT BAXTER COUNTY,82,,5278,,5360,,27,,2390,,2417,,599942
0500701 AR EBT BENTON COUNTY,302,,18591,,18893,,100,,6907,,7007,,2095723
0500901 AR EBT BOONE COUNTY,212,,5421,,5633,,66,,2237,,2303,,623924
0501101 AR EBT BRADLEY COUNTY,108,,2369,,2477,,34,,1145,,1179,,292351
0501301 AR EBT CALHOUN COUNTY,22,,590,,612,,8,,294,,302,,73469
0501501 AR EBT CARROLL COUNTY,30,,3445,,3475,,10,,1358,,1368,,389019
0501701 AR EBT CHICOT COUNTY,131,,2968,,3099,,39,,1445,,1484,,359237
0501901 AR EBT CLARK COUNTY,25,,2877,,2902,,9,,1406,,1415,,340111
0502101 AR EBT CLAY COUNTY,66,,1856,,1922,,19,,820,,839,,203669
0502301 AR EBT CLEBURNE COUNTY,70,,2791,,2861,,20,,1239,,1259,,320579
0502501 AR EBT CLEVELAND COUNTY,74,,1392,,1466,,23,,648,,671,,176431
0502701 AR EBT COLUMBIA COUNTY,179,,4052,,4231,,50,,1954,,2004,,519201
0502901 AR EBT CONWAY COUNTY,141,,3429,,3570,,41,,1563,,1604,,408076
0503101 AR EBT CRAIGHEAD COUNTY,672,,14784,,15456,,209,,5822,,6031,,1803221
0503301 AR EBT CRAWFORD COUNTY,172,,9631,,9803,,51,,3760,,3811,,1121243
0503501 AR EBT CRITTENDEN COUNTY,662,,13540,,14202,,180,,5905,,6085,,1719739
0503701 AR EBT CROSS COUNTY,167,,3019,,3186,,53,,1310,,1363,,366177
0503901 AR EBT DALLAS COUNTY,52,,1306,,1358,,17,,630,,647,,151208
0504101 AR EBT DESHA COUNTY,94,,3346,,3440,,29,,1581,,1610,,401769
0504301 AR EBT DREW COUNTY,72,,3275,,3347,,26,,1573,,1599,,398518
