NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,02/27/2018,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2017,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1043,,6765,,7808,,541,,2910,,3451,,930796
0100301 AL EBT BALDWIN CO FS OFF,2000,,19857,,21857,,1123,,8351,,9474,,2619236
0100501 AL EBT BARBOUR CO FS OFF,908,,5737,,6645,,479,,2648,,3127,,815481
0100701 AL EBT BIBB CO FS OFF,551,,3173,,3724,,326,,1370,,1696,,419034
0100901 AL EBT BLOUNT CO FS OFF,983,,5925,,6908,,576,,2468,,3044,,784987
0100999 AL EBT AESAP - Alabama Dept. of HR,0,,0,,0,,0,,0,,0,,0
0101101 AL EBT BULLOCK CO FS OFF,506,,2375,,2881,,267,,1077,,1344,,331146
0101301 AL EBT BUTLER CO FSO,757,,4362,,5119,,440,,1967,,2407,,575294
0101501 AL EBT CALHOUN CO FS OFF,2941,,18783,,21724,,1784,,8576,,10360,,2655978
0101701 AL EBT CHAMBERS CO FS OFF,1030,,5895,,6925,,648,,2682,,3330,,828098
0101901 AL EBT CHEROKEE CO FS OFFICE,668,,3565,,4233,,427,,1635,,2062,,473332
0102101 AL EBT CHILTON CO FS OFF,1019,,6702,,7721,,566,,2857,,3423,,936622
0102301 AL EBT CHOCTAW CO FS OFF,620,,2864,,3484,,386,,1421,,1807,,414650
0102502 AL EBT CLARKE CO FS OFF.,1015,,5344,,6359,,584,,2612,,3196,,747687
0102701 AL EBT CLAY CO FS OFF,294,,1554,,1848,,165,,675,,840,,190578
0102901 AL EBT CLEBURNE CO FS OFF,356,,2088,,2444,,219,,949,,1168,,282925
0103101 AL EBT COFFEE CO FS OFF,858,,6776,,7634,,501,,2757,,3258,,906481
0103301 AL EBT COLBERT CO FS OFF,1256,,6587,,7843,,832,,3031,,3863,,884436
0103501 AL EBT CONECUH CO FS OFF,536,,3145,,3681,,319,,1527,,1846,,442924
0103701 AL EBT COOSA CO FSO,264,,1548,,1812,,158,,739,,897,,213687
0103901 AL EBT COVINGTON CO FS OFF,965,,6727,,7692,,607,,2934,,3541,,906857
0104101 AL EBT CRENSHAW CO FSO,478,,2592,,3070,,301,,1222,,1523,,358883
0104301 AL EBT CULLMAN CO FS OFF,1547,,9057,,10604,,962,,3899,,4861,,1167165
0104501 AL EBT DALE CO FS OFF,1388,,8477,,9865,,798,,3821,,4619,,1174119
0104701 AL EBT DALLAS CO FS OFF,3163,,12905,,16068,,1709,,6458,,8167,,2026889
0104901 AL EBT DEKALB CO FS OFF,1333,,13057,,14390,,777,,5135,,5912,,1689428
0105101 AL EBT ELMORE CO FS OFF,1253,,8960,,10213,,711,,3742,,4453,,1219363
0105301 AL EBT ESCAMBIA CO FS OFF,1099,,7581,,8680,,632,,3232,,3864,,1045757
0105501 AL EBT ETOWQH CO FS OFF,2450,,12676,,15126,,1629,,5717,,7346,,1652490
0105701 AL EBT FAYETTE CO FS OFF,597,,3147,,3744,,384,,1489,,1873,,439654
0105901 AL EBT FRANKLIN CO FS OFF,746,,5045,,5791,,458,,2087,,2545,,686104
0106101 AL EBT GENEVA CO FS OFF,733,,4603,,5336,,429,,1960,,2389,,608804
0106301 AL EBT GREENE CO FS OFF,544,,2624,,3168,,347,,1266,,1613,,383625
0106501 AL EBT HALE CO FS OFF,769,,3527,,4296,,411,,1725,,2136,,477995
0106701 AL EBT HENRY CO FS OFF,412,,2710,,3122,,253,,1308,,1561,,356773
0106901 AL EBT HOUSTON CO FS OFF,2842,,16591,,19433,,1583,,7417,,9000,,2296384
0107101 AL EBT JACKSON CO FS OFF,974,,6666,,7640,,601,,2883,,3484,,863676
0107301 AL EBT JEFFERSON CO FS OFF,17469,,95538,,113007,,10198,,44675,,54873,,13958169
0107501 AL EBT LAMAR CO FS OFF,502,,2237,,2739,,295,,1011,,1306,,318388
0107701 AL EBT LAUDERDALE CO FS OFF,1655,,9864,,11519,,1069,,4556,,5625,,1308938
0107901 AL EBT LAWRENCE CO FS OFF,893,,5197,,6090,,534,,2252,,2786,,717721
0108101 AL EBT LEE CO FOOD STAMP OFF,1964,,15229,,17193,,1162,,6638,,7800,,2052245
0108302 AL EBT LIMESTONE CO. FS OFF,1310,,8871,,10181,,831,,3769,,4600,,1179688
0108501 AL EBT LOWNDES CO FS OFF,718,,3338,,4056,,413,,1716,,2129,,506100
0108701 AL EBT MACON CO FS OFF,959,,4816,,5775,,563,,2608,,3171,,737772
0108902 AL EBT MADISON CO. FS OFF,4396,,35912,,40308,,2675,,16248,,18923,,4957517
0109101 AL EBT MARENGO CO FS OFC,1066,,4017,,5083,,690,,1936,,2626,,566448
0109301 AL EBT MARION CO FS OFF,789,,4705,,5494,,504,,2089,,2593,,622611
0109501 AL EBT MARSHALL CO FS OFF,1810,,14721,,16531,,1111,,5994,,7105,,1965943
0109701 AL EBT MOBILE CO FS OFF,11728,,77514,,89242,,6793,,34327,,41120,,11197362
0109901 AL EBT MONROE CO FS OFF,691,,4040,,4731,,391,,1840,,2231,,564104
0110101 AL EBT MONTGOMERY CO FS OFF,8142,,44123,,52265,,4183,,20219,,24402,,6744971
0110301 AL EBT MORGAN CO FS OFF,2081,,14487,,16568,,1303,,6223,,7526,,2002506
0110501 AL EBT PERRY CO FS OFF,864,,3343,,4207,,503,,1736,,2239,,491279
0110701 AL EBT PICKENS CO FS OFF,723,,3194,,3917,,454,,1414,,1868,,420396
0110901 AL EBT PIKE CO FOOD STAMP OFC,1160,,5852,,7012,,721,,2879,,3600,,837451
0111101 AL EBT RANDOLPH CO FSO,659,,4402,,5061,,353,,1917,,2270,,599513
0111301 AL EBT RUSSELL CO FS OFF,1608,,11743,,13351,,829,,4979,,5808,,1652082
0111501 AL EBT ST CLAIR CO FS OFF,1395,,9492,,10887,,779,,4039,,4818,,1297207
0111701 AL EBT SHELBY CO FS OFF,1408,,12040,,13448,,777,,5235,,6012,,1669199
0111901 AL EBT SUMTER CO FS OFF,912,,3364,,4276,,528,,1797,,2325,,514739
