NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:54 AM,,,,,
Jul 2006,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1042,,3393,,4435,,255,,1455,,1710,,399038
0100301 AL EBT BALDWIN CO FS OFF,1639,,6368,,8007,,484,,2392,,2876,,667319
0100501 AL EBT BARBOUR CO FS OFF,1422,,3806,,5228,,377,,1651,,2028,,462477
0100701 AL EBT BIBB CO FS OFF,708,,1525,,2233,,199,,681,,880,,183766
0100901 AL EBT BLOUNT CO FS OFF,1006,,3217,,4223,,310,,1291,,1601,,368389
0101101 AL EBT BULLOCK CO FS OFF,889,,1378,,2267,,218,,679,,897,,186411
0101301 AL EBT BUTLER CO FSO,1007,,2481,,3488,,276,,1163,,1439,,289735
0101501 AL EBT CALHOUN CO FS OFF,3650,,11078,,14728,,1106,,4930,,6036,,1379718
0101701 AL EBT CHAMBERS CO FS OFF,1417,,4002,,5419,,433,,1802,,2235,,483441
0101901 AL EBT CHEROKEE CO FS OFFICE,894,,2658,,3552,,263,,1137,,1400,,313388
0102101 AL EBT CHILTON CO FS OFF,1073,,4082,,5155,,325,,1710,,2035,,460604
0102301 AL EBT CHOCTAW CO FS OFF,733,,2040,,2773,,209,,950,,1159,,238354
0102502 AL EBT CLARKE CO FS OFF.,1201,,4107,,5308,,639,,1553,,2192,,437649
0102701 AL EBT CLAY CO FS OFF,321,,645,,966,,103,,293,,396,,67155
0102901 AL EBT CLEBURNE CO FS OFF,386,,1153,,1539,,127,,489,,616,,134359
0103101 AL EBT COFFEE CO FS OFF,1087,,2873,,3960,,294,,1221,,1515,,324685
0103301 AL EBT COLBERT CO FS OFF,1463,,4622,,6085,,463,,2032,,2495,,524033
0103501 AL EBT CONECUH CO FS OFF,882,,2302,,3184,,277,,1105,,1382,,286279
0103701 AL EBT COOSA CO FSO,351,,892,,1243,,97,,415,,512,,100885
0103901 AL EBT COVINGTON CO FS OFF,1450,,4487,,5937,,467,,2028,,2495,,506624
0104101 AL EBT CRENSHAW CO FSO,632,,1301,,1933,,191,,653,,844,,167030
0104301 AL EBT CULLMAN CO FS OFF,1774,,5504,,7278,,546,,2292,,2838,,617981
0104501 AL EBT DALE CO FS OFF,1737,,5706,,7443,,522,,2483,,3005,,665172
0104701 AL EBT DALLAS CO FS OFF,4600,,8608,,13208,,1158,,4075,,5233,,1181167
0104901 AL EBT DEKALB CO FS OFF,1664,,5486,,7150,,500,,2246,,2746,,609672
0105101 AL EBT ELMORE CO FS OFF,1753,,4625,,6378,,476,,1863,,2339,,547570
0105301 AL EBT ESCAMBIA CO FS OFF,1323,,4988,,6311,,402,,2057,,2459,,569878
0105501 AL EBT ETOWQH CO FS OFF,2957,,7312,,10269,,953,,3340,,4293,,865893
0105701 AL EBT FAYETTE CO FS OFF,879,,1752,,2631,,319,,918,,1237,,221087
0105901 AL EBT FRANKLIN CO FS OFF,1154,,2978,,4132,,363,,1366,,1729,,362342
0106101 AL EBT GENEVA CO FS OFF,878,,2934,,3812,,257,,1216,,1473,,331210
0106301 AL EBT GREENE CO FS OFF,782,,1662,,2444,,229,,744,,973,,207279
0106501 AL EBT HALE CO FS OFF,802,,2068,,2870,,204,,867,,1071,,226403
0106701 AL EBT HENRY CO FS OFF,726,,1943,,2669,,225,,911,,1136,,228239
0106901 AL EBT HOUSTON CO FS OFF,3434,,8012,,11446,,1028,,3596,,4624,,993357
0107101 AL EBT JACKSON CO FS OFF,1442,,4954,,6396,,460,,2083,,2543,,554982
0107301 AL EBT JEFFERSON CO FS OFF,22317,,48561,,70878,,6491,,23480,,29971,,6506133
0107501 AL EBT LAMAR CO FS OFF,624,,1264,,1888,,204,,664,,868,,154132
0107701 AL EBT LAUDERDALE CO FS OFF,2258,,6877,,9135,,731,,3098,,3829,,801253
0107901 AL EBT LAWRENCE CO FS OFF,1037,,2600,,3637,,312,,1139,,1451,,298416
0108101 AL EBT LEE CO FOOD STAMP OFF,2209,,7472,,9681,,649,,3168,,3817,,855103
0108302 AL EBT LIMESTONE CO. FS OFF,1211,,4916,,6127,,713,,1884,,2597,,533241
0108501 AL EBT LOWNDES CO FS OFF,1039,,2270,,3309,,271,,1101,,1372,,295268
