NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,07/30/2021,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2019,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,958,,6501,,7459,,526,,2833,,3359,,1655504
0100301 AL EBT BALDWIN CO FS OFF,1897,,18484,,20381,,1117,,7736,,8853,,4579998
0100501 AL EBT BARBOUR CO FS OFF,832,,5116,,5948,,463,,2247,,2710,,1335147
0100701 AL EBT BIBB CO FS OFF,503,,2666,,3169,,307,,1208,,1515,,667252
0100901 AL EBT BLOUNT CO FS OFF,883,,4811,,5694,,563,,2083,,2646,,1177374
0100999 AL EBT AESAP - Alabama Dept. of HR,0,,0,,0,,0,,0,,0,,0
0101101 AL EBT BULLOCK CO FS OFF,447,,2270,,2717,,255,,982,,1237,,600345
0101301 AL EBT BUTLER CO FSO,724,,4080,,4804,,437,,1835,,2272,,1024438
0101501 AL EBT CALHOUN CO FS OFF,2710,,16551,,19261,,1692,,7589,,9281,,4346861
0101701 AL EBT CHAMBERS CO FS OFF,997,,5258,,6255,,667,,2402,,3069,,1372237
0101901 AL EBT CHEROKEE CO FS OFFICE,609,,3005,,3614,,396,,1431,,1827,,741246
0102101 AL EBT CHILTON CO FS OFF,952,,6349,,7301,,547,,2696,,3243,,1642278
0102301 AL EBT CHOCTAW CO FS OFF,563,,2387,,2950,,365,,1145,,1510,,630043
0102502 AL EBT CLARKE CO FS OFF.,899,,4439,,5338,,569,,2068,,2637,,1132191
0102701 AL EBT CLAY CO FS OFF,275,,1260,,1535,,144,,588,,732,,291259
0102901 AL EBT CLEBURNE CO FS OFF,321,,2034,,2355,,204,,916,,1120,,515695
0103101 AL EBT COFFEE CO FS OFF,780,,6401,,7181,,474,,2679,,3153,,1620725
0103301 AL EBT COLBERT CO FS OFF,1116,,6294,,7410,,760,,2923,,3683,,1553603
0103501 AL EBT CONECUH CO FS OFF,488,,2272,,2760,,332,,1078,,1410,,595991
0103701 AL EBT COOSA CO FSO,243,,1487,,1730,,156,,661,,817,,378370
0103901 AL EBT COVINGTON CO FS OFF,918,,5986,,6904,,578,,2662,,3240,,1498121
0104101 AL EBT CRENSHAW CO FSO,427,,2386,,2813,,274,,1154,,1428,,619697
0104301 AL EBT CULLMAN CO FS OFF,1456,,7326,,8782,,920,,3205,,4125,,1738898
0104501 AL EBT DALE CO FS OFF,1373,,8091,,9464,,795,,3641,,4436,,2118154
0104701 AL EBT DALLAS CO FS OFF,2833,,10713,,13546,,1632,,5029,,6661,,3116832
0104901 AL EBT DEKALB CO FS OFF,1261,,11322,,12583,,772,,4564,,5336,,2787523
0105101 AL EBT ELMORE CO FS OFF,1128,,8048,,9176,,711,,3392,,4103,,2002114
0105301 AL EBT ESCAMBIA CO FS OFF,1043,,6687,,7730,,623,,2905,,3528,,1728287
0105501 AL EBT ETOWQH CO FS OFF,2208,,11155,,13363,,1499,,5041,,6540,,2653564
0105701 AL EBT FAYETTE CO FS OFF,571,,2875,,3446,,371,,1380,,1751,,767741
0105901 AL EBT FRANKLIN CO FS OFF,650,,4301,,4951,,450,,1778,,2228,,1111239
0106101 AL EBT GENEVA CO FS OFF,680,,4205,,4885,,402,,1803,,2205,,1068383
0106301 AL EBT GREENE CO FS OFF,463,,2091,,2554,,310,,957,,1267,,554053
0106501 AL EBT HALE CO FS OFF,741,,3060,,3801,,420,,1468,,1888,,776296
0106701 AL EBT HENRY CO FS OFF,362,,2493,,2855,,231,,1208,,1439,,620464
0106901 AL EBT HOUSTON CO FS OFF,2857,,15859,,18716,,1623,,7087,,8710,,4142870
0107101 AL EBT JACKSON CO FS OFF,889,,5960,,6849,,548,,2585,,3133,,1431156
0107301 AL EBT JEFFERSON CO FS OFF,15464,,86900,,102364,,9685,,40597,,50282,,23457582
0107501 AL EBT LAMAR CO FS OFF,396,,2061,,2457,,268,,937,,1205,,536223
0107701 AL EBT LAUDERDALE CO FS OFF,1528,,8719,,10247,,1024,,3996,,5020,,2147860
0107901 AL EBT LAWRENCE CO FS OFF,850,,4795,,5645,,499,,2099,,2598,,1227621
0108101 AL EBT LEE CO FOOD STAMP OFF,1879,,14112,,15991,,1128,,6154,,7282,,3528876
0108302 AL EBT LIMESTONE CO. FS OFF,1170,,6778,,7948,,771,,2968,,3739,,1659337
0108501 AL EBT LOWNDES CO FS OFF,641,,2801,,3442,,385,,1352,,1737,,771495
0108701 AL EBT MACON CO FS OFF,846,,4056,,4902,,529,,2210,,2739,,1147751
0108902 AL EBT MADISON CO. FS OFF,4103,,32717,,36820,,2573,,14988,,17561,,8403408
0109101 AL EBT MARENGO CO FS OFC,978,,3741,,4719,,673,,1809,,2482,,975070
0109301 AL EBT MARION CO FS OFF,687,,4211,,4898,,444,,1920,,2364,,1039061
0109501 AL EBT MARSHALL CO FS OFF,1628,,12164,,13792,,1055,,5123,,6178,,3081488
0109701 AL EBT MOBILE CO FS OFF,10698,,70447,,81145,,6513,,31275,,37788,,18921332
0109901 AL EBT MONROE CO FS OFF,610,,3385,,3995,,381,,1474,,1855,,838050
0110101 AL EBT MONTGOMERY CO FS OFF,7505,,43053,,50558,,4091,,19403,,23494,,12167570
0110301 AL EBT MORGAN CO FS OFF,1956,,13364,,15320,,1261,,5806,,7067,,3471782
0110501 AL EBT PERRY CO FS OFF,772,,2534,,3306,,479,,1234,,1713,,674920
0110701 AL EBT PICKENS CO FS OFF,662,,2832,,3494,,410,,1278,,1688,,708699
0110901 AL EBT PIKE CO FOOD STAMP OFC,1092,,5450,,6542,,684,,2683,,3367,,1478805
0111101 AL EBT RANDOLPH CO FSO,678,,4211,,4889,,355,,1816,,2171,,1091410
0111301 AL EBT RUSSELL CO FS OFF,1468,,10704,,12172,,813,,4536,,5349,,2759302
0111501 AL EBT ST CLAIR CO FS OFF,1349,,8761,,10110,,768,,3753,,4521,,2276942
0111701 AL EBT SHELBY CO FS OFF,1210,,10447,,11657,,717,,4580,,5297,,2625748
0111901 AL EBT SUMTER CO FS OFF,790,,2609,,3399,,497,,1332,,1829,,725945
0112101 AL EBT TALLADEGA CO FS OFF,2274,,10890,,13164,,1495,,5121,,6616,,2845214
0112301 AL EBT TALLAPOOSA CO FS OFF,1113,,6106,,7219,,726,,2776,,3502,,1572044
0112501 AL EBT TUSCALOOSA CO FS OFF,3706,,20183,,23889,,2127,,8817,,10944,,5188397
0112701 AL EBT WALKER CO FS OFF,1523,,8226,,9749,,931,,3702,,4633,,2120338
0112901 AL EBT WASHINGTON CO F S OFC,408,,2386,,2794,,286,,1121,,1407,,605480
0113101 AL EBT WILCOX CO FS OFF,941,,3185,,4126,,585,,1460,,2045,,899386
0113301 AL EBT WINSTON CO FS OFF,460,,2605,,3065,,289,,1123,,1412,,639239
0211005 AK EBT ALASKA,11187,,75118,,86305,,6116,,32680,,38796,,26171765
0400101 AZ EBT APACHE,23,,22635,,22658,,5,,9741,,9746,,5298170
0400301 AZ EBT COCHISE,448,,21233,,21681,,136,,10677,,10813,,4529795
