NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:00 PM,,,,,
Jul 2003,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1097,,2420,,3517,,284,,1054,,1338,,286069
0100301 AL EBT BALDWIN CO FS OFF,1346,,4193,,5539,,405,,1615,,2020,,411457
0100501 AL EBT BARBOUR CO FS OFF,1276,,3599,,4875,,319,,1530,,1849,,387309
0100701 AL EBT BIBB CO FS OFF,606,,1465,,2071,,172,,626,,798,,155361
0100901 AL EBT BLOUNT CO FS OFF,1098,,2354,,3452,,306,,984,,1290,,265364
0101101 AL EBT BULLOCK CO FS OFF,858,,1324,,2182,,216,,611,,827,,158600
0101301 AL EBT BUTLER CO FSO,996,,2329,,3325,,281,,1017,,1298,,249246
0101501 AL EBT CALHOUN CO FS OFF,3682,,9105,,12787,,1043,,4035,,5078,,1102662
0101701 AL EBT CHAMBERS CO FS OFF,1494,,3341,,4835,,423,,1462,,1885,,397902
0101901 AL EBT CHEROKEE CO FS OFFICE,767,,2001,,2768,,240,,845,,1085,,233807
0102101 AL EBT CHILTON CO FS OFF,1148,,3314,,4462,,333,,1376,,1709,,355408
0102301 AL EBT CHOCTAW CO FS OFF,684,,1780,,2464,,199,,788,,987,,198096
0102502 AL EBT CLARKE CO FS OFF.,1231,,3816,,5047,,647,,1428,,2075,,384057
0102701 AL EBT CLAY CO FS OFF,341,,607,,948,,104,,279,,383,,62745
0102901 AL EBT CLEBURNE CO FS OFF,384,,955,,1339,,117,,391,,508,,104721
0103101 AL EBT COFFEE CO FS OFF,1075,,2726,,3801,,307,,1121,,1428,,297407
0103301 AL EBT COLBERT CO FS OFF,1379,,4208,,5587,,426,,1808,,2234,,457347
