NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,03/29/2016,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,09:23 AM,,,,,
Jul 2013,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1012,,6713,,7725,,372,,2828,,3200,,1015836
0100301 AL EBT BALDWIN CO FS OFF,1818,,21583,,23401,,713,,8435,,9148,,3096946
0100501 AL EBT BARBOUR CO FS OFF,816,,5648,,6464,,279,,2410,,2689,,851340
0100701 AL EBT BIBB CO FS OFF,538,,3466,,4004,,211,,1439,,1650,,497308
0100901 AL EBT BLOUNT CO FS OFF,1130,,7536,,8666,,452,,2909,,3361,,1099605
0100999 AL EBT AESAP - Alabama Dept. of HR,20068,,28014,,48082,,19035,,26437,,45472,,3728910
0101101 AL EBT BULLOCK CO FS OFF,445,,2399,,2844,,144,,1066,,1210,,356105
0101301 AL EBT BUTLER CO FSO,801,,4426,,5227,,292,,1987,,2279,,665484
0101501 AL EBT CALHOUN CO FS OFF,3104,,21751,,24855,,1373,,9828,,11201,,3333284
0101701 AL EBT CHAMBERS CO FS OFF,1083,,6228,,7311,,449,,2821,,3270,,972019
0101901 AL EBT CHEROKEE CO FS OFFICE,690,,4521,,5211,,295,,1922,,2217,,659208
0102101 AL EBT CHILTON CO FS OFF,1111,,7716,,8827,,429,,3205,,3634,,1164178
0102301 AL EBT CHOCTAW CO FS OFF,509,,2866,,3375,,218,,1317,,1535,,436314
0102502 AL EBT CLARKE CO FS OFF.,996,,5688,,6684,,411,,2526,,2937,,839578
0102701 AL EBT CLAY CO FS OFF,288,,1936,,2224,,104,,750,,854,,252298
0102901 AL EBT CLEBURNE CO FS OFF,289,,2401,,2690,,124,,1012,,1136,,341015
0103101 AL EBT COFFEE CO FS OFF,772,,6147,,6919,,309,,2438,,2747,,879399
0103301 AL EBT COLBERT CO FS OFF,1157,,8307,,9464,,543,,3684,,4227,,1189067
0103501 AL EBT CONECUH CO FS OFF,488,,3265,,3753,,197,,1446,,1643,,497480
0103701 AL EBT COOSA CO FSO,274,,1623,,1897,,111,,740,,851,,238370
0103901 AL EBT COVINGTON CO FS OFF,804,,6939,,7743,,354,,2842,,3196,,982060
0104101 AL EBT CRENSHAW CO FSO,414,,2460,,2874,,190,,1085,,1275,,384340
0104301 AL EBT CULLMAN CO FS OFF,1373,,10913,,12286,,584,,4327,,4911,,1520119
0104501 AL EBT DALE CO FS OFF,1249,,9164,,10413,,528,,4022,,4550,,1360210
0104701 AL EBT DALLAS CO FS OFF,3230,,13303,,16533,,1260,,6352,,7612,,2235529
0104901 AL EBT DEKALB CO FS OFF,1201,,13533,,14734,,456,,5104,,5560,,1859264
0105101 AL EBT ELMORE CO FS OFF,1320,,10992,,12312,,507,,4503,,5010,,1636766
0105301 AL EBT ESCAMBIA CO FS OFF,924,,8711,,9635,,392,,3548,,3940,,1272521
0105501 AL EBT ETOWQH CO FS OFF,2204,,15642,,17846,,1116,,6735,,7851,,2210620
0105701 AL EBT FAYETTE CO FS OFF,535,,3199,,3734,,245,,1465,,1710,,472221
0105901 AL EBT FRANKLIN CO FS OFF,704,,5783,,6487,,317,,2301,,2618,,826710
0106101 AL EBT GENEVA CO FS OFF,647,,5378,,6025,,234,,2143,,2377,,783080
0106301 AL EBT GREENE CO FS OFF,488,,2684,,3172,,229,,1210,,1439,,411749
0106501 AL EBT HALE CO FS OFF,745,,3513,,4258,,239,,1524,,1763,,504238
0106701 AL EBT HENRY CO FS OFF,379,,2909,,3288,,144,,1246,,1390,,417529
0106901 AL EBT HOUSTON CO FS OFF,2777,,16357,,19134,,1163,,7150,,8313,,2480388
0107101 AL EBT JACKSON CO FS OFF,872,,8320,,9192,,363,,3301,,3664,,1155849
0107301 AL EBT JEFFERSON CO FS OFF,18909,,101246,,120155,,7947,,48440,,56387,,16273552
0107501 AL EBT LAMAR CO FS OFF,414,,2589,,3003,,187,,1092,,1279,,373509
