NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:39 AM,,,,,
Jan 2011,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,973,,6622,,7595,,364,,2752,,3116,,977271
0100301 AL EBT BALDWIN CO FS OFF,1765,,19320,,21085,,702,,7227,,7929,,2705242
0100501 AL EBT BARBOUR CO FS OFF,1034,,5288,,6322,,397,,2232,,2629,,803110
0100701 AL EBT BIBB CO FS OFF,632,,3466,,4098,,246,,1396,,1642,,487425
0100901 AL EBT BLOUNT CO FS OFF,1132,,7691,,8823,,414,,2879,,3293,,1117272
0101101 AL EBT BULLOCK CO FS OFF,531,,2378,,2909,,175,,1029,,1204,,348606
0101301 AL EBT BUTLER CO FSO,904,,4382,,5286,,337,,1921,,2258,,644200
0101501 AL EBT CALHOUN CO FS OFF,3640,,21081,,24721,,1533,,9345,,10878,,3296630
0101701 AL EBT CHAMBERS CO FS OFF,1301,,6572,,7873,,568,,2867,,3435,,997241
0101901 AL EBT CHEROKEE CO FS OFFICE,784,,4461,,5245,,330,,1825,,2155,,672780
0102101 AL EBT CHILTON CO FS OFF,1207,,8318,,9525,,494,,3342,,3836,,1238362
0102301 AL EBT CHOCTAW CO FS OFF,541,,2791,,3332,,252,,1254,,1506,,410946
0102502 AL EBT CLARKE CO FS OFF.,1235,,5065,,6300,,546,,2052,,2598,,768777
0102701 AL EBT CLAY CO FS OFF,280,,1978,,2258,,108,,750,,858,,260781
0102901 AL EBT CLEBURNE CO FS OFF,332,,2249,,2581,,145,,912,,1057,,322332
0103101 AL EBT COFFEE CO FS OFF,725,,5765,,6490,,294,,2235,,2529,,793426
0103301 AL EBT COLBERT CO FS OFF,1203,,8043,,9246,,584,,3407,,3991,,1140744
0103501 AL EBT CONECUH CO FS OFF,645,,3520,,4165,,290,,1556,,1846,,532463
0103701 AL EBT COOSA CO FSO,292,,1777,,2069,,110,,799,,909,,256372
0103901 AL EBT COVINGTON CO FS OFF,910,,7234,,8144,,450,,2931,,3381,,1025570
0104101 AL EBT CRENSHAW CO FSO,454,,2448,,2902,,220,,1069,,1289,,361655
0104301 AL EBT CULLMAN CO FS OFF,1349,,10336,,11685,,635,,4059,,4694,,1410806
0104501 AL EBT DALE CO FS OFF,1399,,8759,,10158,,624,,3831,,4455,,1277869
0104701 AL EBT DALLAS CO FS OFF,3489,,13120,,16609,,1332,,6040,,7372,,2167169
0104901 AL EBT DEKALB CO FS OFF,1235,,12420,,13655,,472,,4692,,5164,,1715392
0105101 AL EBT ELMORE CO FS OFF,1419,,10321,,11740,,590,,4149,,4739,,1532236
0105301 AL EBT ESCAMBIA CO FS OFF,1025,,8478,,9503,,437,,3339,,3776,,1233507
0105501 AL EBT ETOWQH CO FS OFF,2239,,15309,,17548,,1132,,6364,,7496,,2177901
