NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:01 PM,,,,,
Jan 2002,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1116,,2026,,3142,,308,,902,,1210,,242980
0100301 AL EBT BALDWIN CO FS OFF,1285,,3455,,4740,,384,,1355,,1739,,339201
0100501 AL EBT BARBOUR CO FS OFF,1356,,3379,,4735,,381,,1389,,1770,,352392
0100701 AL EBT BIBB CO FS OFF,616,,1259,,1875,,173,,544,,717,,131678
0100901 AL EBT BLOUNT CO FS OFF,994,,1821,,2815,,307,,780,,1087,,215399
0101101 AL EBT BULLOCK CO FS OFF,855,,1301,,2156,,217,,570,,787,,152377
0101301 AL EBT BUTLER CO FSO,964,,2382,,3346,,268,,1036,,1304,,241184
0101501 AL EBT CALHOUN CO FS OFF,3492,,8100,,11592,,1011,,3567,,4578,,944500
0101701 AL EBT CHAMBERS CO FS OFF,1271,,2914,,4185,,370,,1265,,1635,,324630
0101901 AL EBT CHEROKEE CO FS OFFICE,777,,1827,,2604,,236,,767,,1003,,197369
0102101 AL EBT CHILTON CO FS OFF,1104,,3086,,4190,,325,,1276,,1601,,323686
0102301 AL EBT CHOCTAW CO FS OFF,790,,1530,,2320,,207,,713,,920,,176163
0102502 AL EBT CLARKE CO FS OFF.,1340,,3633,,4973,,674,,1344,,2018,,359625
0102701 AL EBT CLAY CO FS OFF,354,,548,,902,,118,,246,,364,,54161
0102901 AL EBT CLEBURNE CO FS OFF,394,,804,,1198,,126,,351,,477,,82823
