NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:13 PM,,,,,
Jan 1996,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1575,,2139,,3714,,424,,1017,,1441,,247141
0100301 AL FSP BALDWIN CO FS OFF,2138,,5153,,7291,,579,,2057,,2636,,474881
0100501 AL FSP BARBOUR CO FS OFF,2796,,2686,,5482,,742,,1403,,2145,,370456
0100701 AL FSP BIBB CO FS OFF,819,,1173,,1992,,219,,567,,786,,119059
0100901 AL FSP BLOUNT CO FS OFF,1533,,2185,,3718,,464,,1020,,1484,,249716
0101101 AL FSP BULLOCK CO FS OFF,1626,,1092,,2718,,412,,572,,984,,178125
0101301 AL FSP BUTLER CO FSO,1619,,2126,,3745,,427,,994,,1421,,232156
0101501 AL FSP CALHOUN CO FS OFF,5752,,7820,,13572,,1546,,3908,,5454,,1024825
0101701 AL FSP CHAMBERS CO FS OFF,1881,,2705,,4586,,549,,1265,,1814,,330318
0101901 AL FSP CHEROKEE CO FS OFFICE,801,,1340,,2141,,238,,606,,844,,142103
0102101 AL FSP CHILTON CO FS OFF,1551,,2663,,4214,,460,,1242,,1702,,291531
0102301 AL FSP CHOCTAW CO FS OFF,1389,,1398,,2787,,369,,731,,1100,,186623
0102502 AL FSP CLARKE CO FS OFF.,2446,,3267,,5713,,904,,1414,,2318,,411677
0102701 AL FSP CLAY CO FS OFF,610,,489,,1099,,171,,266,,437,,59332
0102901 AL FSP CLEBURNE CO FS OFF,561,,683,,1244,,170,,342,,512,,83434
0103101 AL FSP COFFEE CO FS OFF,1803,,1817,,3620,,547,,877,,1424,,231490
0103301 AL FSP COLBERT CO FS OFF,1632,,2829,,4461,,504,,1293,,1797,,284852
0103501 AL FSP CONECUH CO FS OFF,1784,,2145,,3929,,495,,1166,,1661,,277362
0103701 AL FSP COOSA CO FSO,481,,593,,1074,,128,,292,,420,,66979
0103901 AL FSP COVINGTON CO FS OFF,2036,,3077,,5113,,670,,1516,,2186,,342872
0104101 AL FSP CRENSHAW CO FSO,1095,,928,,2023,,337,,549,,886,,131905
0104301 AL FSP CULLMAN CO FS OFF,2063,,2522,,4585,,694,,1285,,1979,,299259
0104501 AL FSP DALE CO FS OFF,2587,,4432,,7019,,719,,2026,,2745,,498365
0104701 AL FSP DALLAS CO FS OFF,7685,,6145,,13830,,1844,,3586,,5430,,966021
0104901 AL FSP DEKALB CO FS OFF,2135,,2799,,4934,,700,,1350,,2050,,324789
0105101 AL FSP ELMORE CO FS OFF,1965,,2804,,4769,,487,,1166,,1653,,306004
0105301 AL FSP ESCAMBIA CO FS OFF,1899,,3808,,5707,,547,,1726,,2273,,402732
0105501 AL FSP ETOWQH CO FS OFF,4659,,6978,,11637,,1467,,3536,,5003,,810718
0105701 AL FSP FAYETTE CO FS OFF,1231,,1102,,2333,,435,,689,,1124,,157466
0105901 AL FSP FRANKLIN CO FS OFF,1746,,1281,,3027,,553,,812,,1365,,189230
0106101 AL FSP GENEVA CO FS OFF,1360,,1636,,2996,,437,,819,,1256,,195403
0106301 AL FSP GREENE CO FS OFF,1474,,1785,,3259,,420,,845,,1265,,217520
0106501 AL FSP HALE CO FS OFF,1444,,2469,,3913,,406,,1026,,1432,,252027
0106701 AL FSP HENRY CO FS OFF,1379,,1124,,2503,,446,,683,,1129,,157411
0106901 AL FSP HOUSTON CO FS OFF,4205,,5744,,9949,,1213,,2710,,3923,,658837
0107101 AL FSP JACKSON CO FS OFF,2156,,2816,,4972,,695,,1400,,2095,,314121
0107301 AL FSP JEFFERSON CO FS OFF,35055,,38259,,73314,,9430,,20110,,29540,,5593720
0107501 AL FSP LAMAR CO FS OFF,798,,1160,,1958,,279,,600,,879,,127204
0107701 AL FSP LAUDERDALE CO FS OFF,2592,,4071,,6663,,781,,1913,,2694,,462745
0107901 AL FSP LAWRENCE CO FS OFF,1503,,1789,,3292,,442,,855,,1297,,212821
0108101 AL FSP LEE CO FOOD STAMP OFF,3065,,4740,,7805,,864,,2190,,3054,,561592
0108302 AL FSP LIMESTONE CO. FS OFF,1920,,3239,,5159,,941,,1334,,2275,,369076
0108501 AL FSP LOWNDES CO FS OFF,2184,,1835,,4019,,481,,978,,1459,,262133
0108701 AL FSP MACON CO FS OFF,3041,,4075,,7116,,861,,2210,,3071,,564684
0108902 AL FSP MADISON CO. FS OFF,8875,,13347,,22222,,3567,,6215,,9782,,1755692
0109101 AL FSP MARENGO CO FS OFC,2504,,2478,,4982,,685,,1207,,1892,,323207
0109301 AL FSP MARION CO FS OFF,1444,,1308,,2752,,494,,738,,1232,,173117
0109501 AL FSP MARSHALL CO FS OFF,2992,,3520,,6512,,958,,1764,,2722,,445226
0109701 AL FSP MOBILE CO FS OFF,29065,,40679,,69744,,7223,,20055,,27278,,5489018
0109901 AL FSP MONROE CO FS OFF,1536,,2713,,4249,,403,,1128,,1531,,291633
0110101 AL FSP MONTGOMERY CO FS OFF,16683,,18354,,35037,,3811,,9464,,13275,,2613730
0110301 AL FSP MORGAN CO FS OFF,2751,,3787,,6538,,792,,1730,,2522,,462693
0110501 AL FSP PERRY CO FS OFF,2519,,2403,,4922,,680,,1277,,1957,,334536
0110701 AL FSP PICKENS CO FS OFF,1999,,2261,,4260,,528,,1043,,1571,,273124
0110901 AL FSP PIKE CO FOOD STAMP OFC,2510,,2783,,5293,,722,,1457,,2179,,351207
0111101 AL FSP RANDOLPH CO FSO,1114,,1469,,2583,,322,,668,,990,,166366
0111301 AL FSP RUSSELL CO FS OFF,2993,,4716,,7709,,815,,2106,,2921,,565291
0111501 AL FSP ST CLAIR CO FS OFF,2012,,3604,,5616,,551,,1547,,2098,,387627
0111701 AL FSP SHELBY CO FS OFF,1694,,3031,,4725,,506,,1335,,1841,,328917
0111901 AL FSP SUMTER CO FS OFF,2631,,2199,,4830,,728,,1233,,1961,,323847
0112101 AL FSP TALLADEGA CO FS OFF,5663,,5836,,11499,,1592,,3064,,4656,,794357
0112301 AL FSP TALLAPOOSA CO FS OFF,2055,,3081,,5136,,567,,1524,,2091,,354510
0112501 AL FSP TUSCALOOSA CO FS OFF,7822,,10344,,18166,,2047,,5290,,7337,,1313501
0112701 AL FSP WALKER CO FS OFF,2651,,2847,,5498,,748,,1460,,2208,,391521
0112901 AL FSP WASHINGTON CO F S OFC,1473,,1375,,2848,,394,,734,,1128,,197204
0113101 AL FSP WILCOX CO FS OFF,3441,,1777,,5218,,807,,1217,,2024,,336918
0113301 AL FSP WINSTON CO FS OFF,916,,872,,1788,,304,,467,,771,,106480
0211005 AK FSP ALASKA,25108,,20674,,45782,,8272,,7342,,15614,,4591498
0400101 AZ FSP APACHE,10198,,13758,,23956,,2480,,4057,,6537,,1600151
0400301 AZ FSP COCHISE,6907,,8688,,15595,,2198,,3737,,5935,,1141065
0400501 AZ FSP COCONINO,5612,,7914,,13526,,1478,,2693,,4171,,954626
0400701 AZ FSP GILA,3701,,4052,,7753,,1041,,1744,,2785,,555657
0400901 AZ FSP GRAHAM,2365,,2622,,4987,,666,,1059,,1725,,341115
0401101 AZ FSP GREENLEE,379,,400,,779,,116,,197,,313,,55399
0401301 AZ FSP MARICOPA,95177,,97098,,192275,,30023,,45133,,75156,,14484400
0401501 AZ FSP MOHAVE,6341,,9016,,15357,,1964,,4075,,6039,,1191524
0401701 AZ FSP NAVAJO,9598,,11086,,20684,,2491,,3675,,6166,,1434650
0401901 AZ FSP PIMA,31488,,42402,,73890,,9943,,19559,,29502,,5447849
0402101 AZ FSP PINAL,9831,,9493,,19324,,2707,,4095,,6802,,1394999
0402301 AZ FSP SANTA CRUZ,1821,,3620,,5441,,534,,1221,,1755,,368332
0402501 AZ FSP YAVAPAI,3368,,5898,,9266,,1075,,2888,,3963,,689085
0402701 AZ FSP YUMA,7390,,11658,,19048,,2192,,4413,,6605,,1322667
0402901 AZ FSP LA PAZ CO DES,999,,1367,,2366,,299,,665,,964,,183422
0500101 AR FSP ARKANSAS COUNTY,462,,2452,,2914,,157,,1056,,1213,,200034
0500301 AR FSP ASHLEY COUNTY,679,,2978,,3657,,216,,1241,,1457,,247084
0500501 AR FSP BAXTER COUNTY,428,,2030,,2458,,152,,784,,936,,160975
0500701 AR FSP BENTON COUNTY,860,,4025,,4885,,276,,1554,,1830,,332997
0500901 AR FSP BOONE COUNTY,405,,2287,,2692,,136,,943,,1079,,182458
0501101 AR FSP BRADLEY COUNTY,259,,1485,,1744,,92,,678,,770,,126097
0501301 AR FSP CALHOUN COUNTY,80,,522,,602,,26,,208,,234,,37551
0501501 AR FSP CARROLL COUNTY,129,,1197,,1326,,48,,485,,533,,89147
0501701 AR FSP CHICOT COUNTY,849,,3208,,4057,,264,,1369,,1633,,259007
0501901 AR FSP CLARK COUNTY,253,,1816,,2069,,86,,850,,936,,136210
0502101 AR FSP CLAY COUNTY,219,,1482,,1701,,74,,643,,717,,101255
0502301 AR FSP CLEBURNE COUNTY,293,,1694,,1987,,99,,681,,780,,139756
0502501 AR FSP CLEVELAND COUNTY,133,,815,,948,,46,,352,,398,,61761
0502701 AR FSP COLUMBIA COUNTY,910,,3836,,4746,,289,,1787,,2076,,338900
0502901 AR FSP CONWAY COUNTY,287,,2137,,2424,,92,,1007,,1099,,150427
0503101 AR FSP CRAIGHEAD COUNTY,1550,,5426,,6976,,518,,2315,,2833,,491005
0503301 AR FSP CRAWFORD COUNTY,868,,3644,,4512,,273,,1382,,1655,,299735
0503501 AR FSP CRITTENDEN COUNTY,1717,,7617,,9334,,503,,2726,,3229,,624964
0503701 AR FSP CROSS COUNTY,817,,2577,,3394,,379,,903,,1282,,222630
0503901 AR FSP DALLAS COUNTY,185,,1227,,1412,,60,,515,,575,,88245
0504101 AR FSP DESHA COUNTY,872,,2747,,3619,,276,,1086,,1362,,241238
0504301 AR FSP DREW COUNTY,383,,1818,,2201,,130,,768,,898,,153966
0504501 AR FSP FAULKNER COUNTY,377,,3219,,3596,,129,,1252,,1381,,251276
0504701 AR FSP FRANKLIN COUNTY,187,,1298,,1485,,59,,523,,582,,91698
0504901 AR FSP FULTON COUNTY,264,,1532,,1796,,82,,656,,738,,109976
0505101 AR FSP GARLAND COUNTY,1413,,5983,,7396,,478,,2610,,3088,,542447
0505301 AR FSP GRANT COUNTY,167,,928,,1095,,53,,383,,436,,69998
0505501 AR FSP GREENE COUNTY,519,,2726,,3245,,170,,1157,,1327,,204111
0505701 AR FSP HEMPSTEAD COUNTY,511,,2785,,3296,,155,,1224,,1379,,211491
0505901 AR FSP HOT SPRING COUNTY,467,,2542,,3009,,169,,1082,,1251,,213983
0506101 AR FSP HOWARD COUNTY,39,,1294,,1333,,11,,538,,549,,92409
0506301 AR FSP INDEPENDENCE COUNTY,479,,3054,,3533,,164,,1252,,1416,,221501
0506501 AR FSP IZARD COUNTY,245,,1433,,1678,,77,,582,,659,,109049
0506701 AR FSP JACKSON COUNTY,638,,2206,,2844,,202,,911,,1113,,181074
0506901 AR FSP JEFFERSON COUNTY,3574,,12360,,15934,,1126,,5307,,6433,,1155601
0507101 AR FSP JOHNSON COUNTY,246,,1747,,1993,,83,,711,,794,,130434
0507301 AR FSP LAFAYETTE COUNTY,314,,1370,,1684,,95,,614,,709,,111210
0507501 AR FSP LAWRENCE COUNTY,292,,2441,,2733,,87,,1023,,1110,,161818
0507701 AR FSP LEE COUNTY,966,,3016,,3982,,281,,1341,,1622,,261062
0507901 AR FSP LINCOLN COUNTY,453,,1785,,2238,,135,,709,,844,,143256
0508101 AR FSP LITTLE RIVER COUNTY,154,,1283,,1437,,53,,534,,587,,91037
0508301 AR FSP LOGAN COUNTY,335,,1988,,2323,,115,,790,,905,,154413
0508501 AR FSP LONOKE COUNTY,566,,2547,,3113,,188,,980,,1168,,212940
0508701 AR FSP MADISON COUNTY,73,,1136,,1209,,25,,423,,448,,76303
0508901 AR FSP MARION COUNTY,175,,1622,,1797,,68,,602,,670,,117104
0509101 AR FSP MILLER COUNTY,1498,,4501,,5999,,505,,1919,,2424,,454092
0509301 AR FSP MISSISSIPPI COUNTY,2242,,6710,,8952,,680,,2625,,3305,,574983
0509501 AR FSP MONROE COUNTY,537,,2103,,2640,,157,,847,,1004,,168951
0509701 AR FSP MONTGOMERY COUNTY,83,,839,,922,,26,,364,,390,,61506
0509901 AR FSP NEVADA COUNTY,136,,985,,1121,,47,,457,,504,,71913
0510101 AR FSP NEWTON COUNTY,131,,1065,,1196,,50,,447,,497,,72066
0510301 AR FSP OUACHITA COUNTY,1162,,3701,,4863,,389,,1715,,2104,,332689
