NATIONAL DATA BANK VERSION 8.2 - PRELOAD,,,,,,,2/12/2021, ,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2020,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0111701 AL EBT SHELBY CO FS OFF,1197,,11282,,12479,,734,,4990,,5724,,2249901
0111901 AL EBT SUMTER CO FS OFF,731,,2611,,3342,,482,,1345,,1827,,591841
0112101 AL EBT TALLADEGA CO FS OFF,2196,,11215,,13411,,1487,,5430,,6917,,2363460
0112301 AL EBT TALLAPOOSA CO FS OFF,1078,,6334,,7412,,704,,2946,,3650,,1315186
0112501 AL EBT TUSCALOOSA CO FS OFF,3584,,19982,,23566,,2155,,9018,,11173,,4153109
0112701 AL EBT WALKER CO FS OFF,1469,,8431,,9900,,935,,3900,,4835,,1764883
0112901 AL EBT WASHINGTON CO F S OFC,405,,2506,,2911,,284,,1220,,1504,,511578
0113101 AL EBT WILCOX CO FS OFF,917,,3283,,4200,,577,,1600,,2177,,734562
0113301 AL EBT WINSTON CO FS OFF,462,,2626,,3088,,302,,1155,,1457,,546086
0211005 AK EBT ALASKA,9987,,77344,,87331,,5873,,33239,,39112,,18284105
0400101 AZ EBT APACHE,54,,23092,,23146,,16,,10171,,10187,,3879310
0400301 AZ EBT COCHISE,432,,21642,,22074,,139,,11161,,11300,,3810011
0400501 AZ EBT COCONINO,149,,18105,,18254,,45,,8589,,8634,,3105305
0400701 AZ EBT GILA,96,,11014,,11110,,30,,5543,,5573,,1903595
0400901 AZ EBT GRAHAM,61,,5702,,5763,,20,,2752,,2772,,986933
0401101 AZ EBT GREENLEE,18,,714,,732,,5,,358,,363,,126852
0401301 AZ EBT MARICOPA,12509,,464584,,477093,,3713,,220366,,224079,,81266837
0401501 AZ EBT MOHAVE,822,,34553,,35375,,247,,19469,,19716,,6164936
0401701 AZ EBT NAVAJO,315,,28388,,28703,,90,,12374,,12464,,4818888
0401901 AZ EBT PIMA,4607,,143038,,147645,,1317,,74229,,75546,,25466256
0402101 AZ EBT PINAL,1677,,52637,,54314,,440,,23404,,23844,,9166391
0402301 AZ EBT SANTA CRUZ,173,,10331,,10504,,53,,4437,,4490,,1779675
0402501 AZ EBT YAVAPAI,387,,21158,,21545,,116,,11805,,11921,,3751494
0402701 AZ EBT YUMA,680,,38690,,39370,,191,,16733,,16924,,6652509
0402901 AZ EBT LA PAZ CO DES,27,,3220,,3247,,9,,1708,,1717,,557913
0500101 AR EBT ARKANSAS COUNTY,33,,5044,,5077,,7,,1503,,1510,,538488
0500301 AR EBT ASHLEY COUNTY,163,,5797,,5960,,30,,1751,,1781,,627203
0500501 AR EBT BAXTER COUNTY,81,,8170,,8251,,18,,2347,,2365,,831180
0500701 AR EBT BENTON COUNTY,343,,26164,,26507,,60,,6545,,6605,,2736407
0500901 AR EBT BOONE COUNTY,159,,8229,,8388,,30,,2244,,2274,,853234
0501101 AR EBT BRADLEY COUNTY,96,,3639,,3735,,21,,1065,,1086,,381564
0501301 AR EBT CALHOUN COUNTY,6,,924,,930,,1,,294,,295,,98747
0501501 AR EBT CARROLL COUNTY,8,,4903,,4911,,2,,1342,,1344,,517133
0501701 AR EBT CHICOT COUNTY,154,,4771,,4925,,25,,1446,,1471,,498483
0501901 AR EBT CLARK COUNTY,38,,4440,,4478,,8,,1332,,1340,,470389
0502101 AR EBT CLAY COUNTY,62,,3348,,3410,,10,,955,,965,,348471
0502301 AR EBT CLEBURNE COUNTY,62,,5040,,5102,,12,,1456,,1468,,522157
0502501 AR EBT CLEVELAND COUNTY,49,,1997,,2046,,10,,569,,579,,214902
0502701 AR EBT COLUMBIA COUNTY,149,,7221,,7370,,27,,2163,,2190,,765424
0502901 AR EBT CONWAY COUNTY,107,,5406,,5513,,20,,1586,,1606,,562806
0503101 AR EBT CRAIGHEAD COUNTY,438,,26332,,26770,,79,,6759,,6838,,2713596
0503301 AR EBT CRAWFORD COUNTY,223,,13210,,13433,,43,,3387,,3430,,1352440
0503501 AR EBT CRITTENDEN COUNTY,574,,20494,,21068,,91,,5688,,5779,,2172540
0503701 AR EBT CROSS COUNTY,80,,4661,,4741,,11,,1317,,1328,,484959
0503901 AR EBT DALLAS COUNTY,52,,1743,,1795,,8,,541,,549,,186066
0504101 AR EBT DESHA COUNTY,114,,4346,,4460,,19,,1355,,1374,,473872
0504301 AR EBT DREW COUNTY,86,,5304,,5390,,14,,1593,,1607,,564195
0504501 AR EBT FAULKNER COUNTY,209,,19237,,19446,,37,,5426,,5463,,2044123
0504701 AR EBT FRANKLIN COUNTY,29,,4139,,4168,,5,,1031,,1036,,409006
0504901 AR EBT FULTON COUNTY,37,,3325,,3362,,6,,939,,945,,335351
0505101 AR EBT GARLAND COUNTY,209,,25042,,25251,,43,,7460,,7503,,2666140
0505301 AR EBT GRANT COUNTY,47,,3058,,3105,,8,,847,,855,,320523
0505501 AR EBT GREENE COUNTY,142,,11698,,11840,,35,,3199,,3234,,1221018
0505701 AR EBT HEMPSTEAD COUNTY,76,,6004,,6080,,12,,1675,,1687,,615040
0505901 AR EBT HOT SPRING COUNTY,38,,7400,,7438,,5,,2139,,2144,,783889
0506101 AR EBT HOWARD COUNTY,55,,3540,,3595,,10,,940,,950,,366128
0506301 AR EBT INDEPENDENCE COUNTY,135,,8168,,8303,,22,,2196,,2218,,846720
0506501 AR EBT IZARD COUNTY,49,,3246,,3295,,8,,955,,963,,332879
0506701 AR EBT JACKSON COUNTY,85,,5190,,5275,,18,,1606,,1624,,558448
0506901 AR EBT JEFFERSON COUNTY,436,,24660,,25096,,85,,7971,,8056,,2731748
0507101 AR EBT JOHNSON COUNTY,99,,7379,,7478,,16,,1892,,1908,,749462
0507301 AR EBT LAFAYETTE COUNTY,17,,2027,,2044,,3,,604,,607,,206029
0507501 AR EBT LAWRENCE COUNTY,45,,4610,,4655,,11,,1264,,1275,,471052
0507701 AR EBT LEE COUNTY,125,,3529,,3654,,24,,1236,,1260,,403276
0507901 AR EBT LINCOLN COUNTY,70,,3013,,3083,,11,,938,,949,,322482
0508101 AR EBT LITTLE RIVER COUNTY,61,,3195,,3256,,13,,902,,915,,333618
0508301 AR EBT LOGAN COUNTY,74,,5484,,5558,,12,,1467,,1479,,555847
0508501 AR EBT LONOKE COUNTY,86,,11766,,11852,,16,,3227,,3243,,1228266
0508701 AR EBT MADISON COUNTY,28,,3567,,3595,,6,,882,,888,,360386
0508901 AR EBT MARION COUNTY,66,,4082,,4148,,11,,1143,,1154,,429784
0509101 AR EBT MILLER COUNTY,529,,11726,,12255,,94,,3411,,3505,,1281742
0509301 AR EBT MISSISSIPPI COUNTY,322,,15921,,16243,,56,,4526,,4582,,1672645
0509501 AR EBT MONROE COUNTY,32,,2832,,2864,,7,,862,,869,,291532
0509701 AR EBT MONTGOMERY COUNTY,8,,1925,,1933,,3,,514,,517,,190011
0509901 AR EBT NEVADA COUNTY,46,,1885,,1931,,8,,540,,548,,198498
0510101 AR EBT NEWTON COUNTY,32,,1878,,1910,,7,,506,,513,,185068
0510301 AR EBT OUACHITA COUNTY,144,,6943,,7087,,30,,2138,,2168,,741587
0510501 AR EBT PERRY COUNTY,34,,2193,,2227,,5,,632,,637,,233154
0510701 AR EBT PHILLIPS COUNTY,449,,10415,,10864,,76,,3198,,3274,,1145126
0510901 AR EBT PIKE COUNTY,6,,2581,,2587,,1,,667,,668,,26145
0511101 AR EBT POINSETT COUNTY,169,,8221,,8390,,26,,2330,,2356,,852559
0511301 AR EBT POLK COUNTY,112,,5282,,5394,,26,,1449,,1475,,554614
0511501 AR EBT POPE COUNTY,82,,11381,,11463,,17,,3107,,3124,,1161954
0511701 AR EBT PRAIRIE COUNTY,13,,1506,,1519,,4,,454,,458,,156841
0511901 AR EBT PULASKI COUNTY,2126,,100477,,102603,,376,,31477,,31853,,11228876
0512101 AR EBT RANDOLPH COUNTY,21,,4602,,4623,,4,,1280,,1284,,458311
0512301 AR EBT SAINT FRANCIS COUNTY,329,,9364,,9693,,60,,2780,,2840,,1020949
0512501 AR EBT SALINE COUNTY,96,,13753,,13849,,17,,3928,,3945,,1464899
0512701 AR EBT SCOTT COUNTY,31,,3488,,3519,,7,,888,,895,,350841
0512901 AR EBT SEARCY COUNTY,34,,1768,,1802,,5,,486,,491,,173180
0513101 AR EBT SEBASTIAN COUNTY,497,,31862,,32359,,92,,9294,,9386,,3402173
0513301 AR EBT SEVIER COUNTY,62,,4069,,4131,,13,,1081,,1094,,422083
0513501 AR EBT SHARP COUNTY,77,,4993,,5070,,15,,1359,,1374,,499338
0513701 AR EBT STONE COUNTY,51,,3352,,3403,,7,,916,,923,,336104
0513901 AR EBT UNION COUNTY,116,,11151,,11267,,26,,3360,,3386,,1200649
0514101 AR EBT VAN BUREN COUNTY,37,,4016,,4053,,9,,1094,,1103,,409351
0514301 AR EBT WASHINGTON COUNTY,478,,29201,,29679,,84,,7832,,7916,,3060228
0514501 AR EBT WHITE COUNTY,282,,16936,,17218,,47,,4856,,4903,,1814071
0514701 AR EBT WOODRUFF COUNTY,26,,2246,,2272,,8,,724,,732,,242406
0514901 AR EBT YELL COUNTY,36,,4282,,4318,,4,,1073,,1077,,421698
0515992 AR EBT 92-1 Field Operations,0,,0,,0,,0,,0,,0,,0
0515996 AR EBT 96-1 Field Operations,0,,0,,0,,0,,0,,0,,0
0600105 CA EBT ALAMEDA COUNTY DSS,16092,,85919,,102011,,10164,,48716,,58880,,13190904
0600302 CA EBT ALPINE COUNTY DSS,8,,124,,132,,6,,73,,79,,16271
0600501 CA EBT AMADOR COUNTY DSS,287,,2262,,2549,,163,,1296,,1459,,313915
0600702 CA EBT BUTTE COUNTY DSS,5011,,23344,,28355,,2967,,13539,,16506,,3648890
0600901 CA EBT CALAVERAS CO DSW,512,,4169,,4681,,308,,2454,,2762,,600822
0601101 CA EBT COLUSA COUNTY DSW,209,,1184,,1393,,107,,564,,671,,162667
0601302 CA EBT CONTRA COSTA COUNTY DSS,9520,,48854,,58374,,5390,,25402,,30792,,7670231
0601501 CA EBT DEL NORTE CO DSW,1199,,3905,,5104,,625,,2160,,2785,,617532
0601704 CA EBT EL DORADO COUNTY DSS,1455,,9398,,10853,,868,,5728,,6596,,1403417
0601904 CA EBT FRESNO COUNTY DSW,35621,,173111,,208732,,15416,,75890,,91306,,25822403
0602102 CA EBT GLENN CO WELFARE DEPT,670,,2609,,3279,,319,,1288,,1607,,385371
0602303 CA EBT HUMBOLDT CO DSW,3573,,17761,,21334,,2340,,11263,,13603,,2763144
0602501 CA EBT IMPERIAL CO DSW,6721,,32273,,38994,,3189,,14273,,17462,,4663412
0602701 CA EBT INYO COUNTY WELF DEPT,216,,1512,,1728,,102,,828,,930,,219716
