NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:01 PM,,,,,
Jul 2002,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1135,,2096,,3231,,310,,932,,1242,,244630
0100301 AL EBT BALDWIN CO FS OFF,1253,,3514,,4767,,387,,1353,,1740,,325935
0100501 AL EBT BARBOUR CO FS OFF,1317,,3463,,4780,,352,,1425,,1777,,365747
0100701 AL EBT BIBB CO FS OFF,581,,1302,,1883,,164,,553,,717,,132296
0100901 AL EBT BLOUNT CO FS OFF,989,,1967,,2956,,302,,829,,1131,,225841
0101101 AL EBT BULLOCK CO FS OFF,802,,1359,,2161,,204,,587,,791,,154285
0101301 AL EBT BUTLER CO FSO,967,,2255,,3222,,271,,984,,1255,,225605
0101501 AL EBT CALHOUN CO FS OFF,3477,,8317,,11794,,1008,,3598,,4606,,973577
0101701 AL EBT CHAMBERS CO FS OFF,1323,,2937,,4260,,389,,1301,,1690,,340510
0101901 AL EBT CHEROKEE CO FS OFFICE,723,,1885,,2608,,214,,787,,1001,,201470
0102101 AL EBT CHILTON CO FS OFF,1135,,3117,,4252,,326,,1311,,1637,,331154
0102301 AL EBT CHOCTAW CO FS OFF,725,,1581,,2306,,200,,726,,926,,172998
0102502 AL EBT CLARKE CO FS OFF.,1208,,3524,,4732,,628,,1323,,1951,,342274
0102701 AL EBT CLAY CO FS OFF,325,,536,,861,,107,,246,,353,,52858
0102901 AL EBT CLEBURNE CO FS OFF,392,,845,,1237,,117,,370,,487,,89316
0103101 AL EBT COFFEE CO FS OFF,1093,,2466,,3559,,313,,1023,,1336,,254873
0103301 AL EBT COLBERT CO FS OFF,1251,,4069,,5320,,408,,1698,,2106,,414445
0103501 AL EBT CONECUH CO FS OFF,994,,1929,,2923,,314,,908,,1222,,224946
0103701 AL EBT COOSA CO FSO,373,,671,,1044,,109,,310,,419,,74503
0103901 AL EBT COVINGTON CO FS OFF,1483,,3391,,4874,,491,,1595,,2086,,365511
0104101 AL EBT CRENSHAW CO FSO,583,,1262,,1845,,188,,569,,757,,137801
0104301 AL EBT CULLMAN CO FS OFF,1344,,3103,,4447,,446,,1385,,1831,,328558
0104501 AL EBT DALE CO FS OFF,1656,,4717,,6373,,456,,1999,,2455,,495913
0104701 AL EBT DALLAS CO FS OFF,4240,,8028,,12268,,1037,,3612,,4649,,970880
0104901 AL EBT DEKALB CO FS OFF,1599,,3242,,4841,,505,,1424,,1929,,360359
0105101 AL EBT ELMORE CO FS OFF,1386,,3698,,5084,,336,,1429,,1765,,376523
0105301 AL EBT ESCAMBIA CO FS OFF,1254,,4031,,5285,,383,,1662,,2045,,424929
0105501 AL EBT ETOWQH CO FS OFF,2806,,6342,,9148,,916,,2757,,3673,,686454
0105701 AL EBT FAYETTE CO FS OFF,988,,1486,,2474,,325,,760,,1085,,186792
0105901 AL EBT FRANKLIN CO FS OFF,1065,,2286,,3351,,356,,1058,,1414,,237676
0106101 AL EBT GENEVA CO FS OFF,892,,1890,,2782,,292,,829,,1121,,214335
0106301 AL EBT GREENE CO FS OFF,812,,1623,,2435,,231,,706,,937,,178760
0106501 AL EBT HALE CO FS OFF,748,,1784,,2532,,191,,696,,887,,183285
