NATIONAL DATA BANK VERSION 8.2,,,,,,,,08/05/2020,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2020,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0111901 AL EBT SUMTER CO FS OFF,752,,2448,,3200,,490,,1235,,1725,,352749
0112101 AL EBT TALLADEGA CO FS OFF,2177,,10625,,12802,,1465,,5034,,6499,,1473930
0112301 AL EBT TALLAPOOSA CO FS OFF,1052,,5700,,6752,,692,,2588,,3280,,761348
0112501 AL EBT TUSCALOOSA CO FS OFF,3524,,19383,,22907,,2088,,8458,,10546,,2657060
0112701 AL EBT WALKER CO FS OFF,1460,,7773,,9233,,931,,3512,,4443,,1074663
0112901 AL EBT WASHINGTON CO F S OFC,393,,2263,,2656,,264,,1090,,1354,,305045
0113101 AL EBT WILCOX CO FS OFF,889,,3001,,3890,,555,,1403,,1958,,441685
0113301 AL EBT WINSTON CO FS OFF,469,,2465,,2934,,295,,1055,,1350,,313807
0211005 AK EBT ALASKA,10395,,69435,,79830,,5943,,29565,,35508,,13645280
0400101 AZ EBT APACHE,44,,21538,,21582,,10,,9492,,9502,,2683591
0400301 AZ EBT COCHISE,383,,20078,,20461,,119,,10244,,10363,,2273762
0400501 AZ EBT COCONINO,87,,16237,,16324,,25,,7625,,7650,,2020226
0400701 AZ EBT GILA,98,,10280,,10378,,28,,5151,,5179,,1328627
0400901 AZ EBT GRAHAM,55,,5297,,5352,,19,,2542,,2561,,643129
0401101 AZ EBT GREENLEE,4,,621,,625,,2,,309,,311,,74427
0401301 AZ EBT MARICOPA,9419,,396053,,405472,,2815,,185616,,188431,,49865556
0401501 AZ EBT MOHAVE,747,,31181,,31928,,218,,17633,,17851,,3706594
0401701 AZ EBT NAVAJO,270,,26443,,26713,,80,,11493,,11573,,3314434
0401901 AZ EBT PIMA,3713,,125373,,129086,,1074,,64224,,65298,,15529994
0402101 AZ EBT PINAL,1404,,45223,,46627,,369,,20146,,20515,,5592582
