NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:53 AM,,,,,
Jan 2006,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1052,,3526,,4578,,245,,1503,,1748,,403323
0100301 AL EBT BALDWIN CO FS OFF,1523,,6495,,8018,,461,,2415,,2876,,658171
0100501 AL EBT BARBOUR CO FS OFF,1516,,3641,,5157,,390,,1612,,2002,,444761
0100701 AL EBT BIBB CO FS OFF,730,,1628,,2358,,201,,720,,921,,189671
0100901 AL EBT BLOUNT CO FS OFF,1071,,3152,,4223,,326,,1260,,1586,,367396
0101101 AL EBT BULLOCK CO FS OFF,861,,1405,,2266,,225,,676,,901,,186482
0101301 AL EBT BUTLER CO FSO,967,,2554,,3521,,257,,1189,,1446,,283896
0101501 AL EBT CALHOUN CO FS OFF,3720,,10836,,14556,,1135,,4778,,5913,,1354006
0101701 AL EBT CHAMBERS CO FS OFF,1433,,3989,,5422,,430,,1784,,2214,,476636
0101901 AL EBT CHEROKEE CO FS OFFICE,980,,2543,,3523,,271,,1105,,1376,,315921
0102101 AL EBT CHILTON CO FS OFF,1168,,3910,,5078,,341,,1667,,2008,,438254
0102301 AL EBT CHOCTAW CO FS OFF,730,,2077,,2807,,214,,960,,1174,,241702
0102502 AL EBT CLARKE CO FS OFF.,1298,,4043,,5341,,693,,1536,,2229,,435718
0102701 AL EBT CLAY CO FS OFF,325,,599,,924,,106,,275,,381,,65604
0102901 AL EBT CLEBURNE CO FS OFF,456,,1070,,1526,,138,,478,,616,,135926
0103101 AL EBT COFFEE CO FS OFF,1178,,2897,,4075,,311,,1232,,1543,,329257
0103301 AL EBT COLBERT CO FS OFF,1469,,4935,,6404,,456,,2151,,2607,,549093
0103501 AL EBT CONECUH CO FS OFF,934,,2292,,3226,,290,,1073,,1363,,283360
0103701 AL EBT COOSA CO FSO,346,,829,,1175,,95,,388,,483,,94562
0103901 AL EBT COVINGTON CO FS OFF,1527,,4451,,5978,,489,,2022,,2511,,515000
0104101 AL EBT CRENSHAW CO FSO,639,,1271,,1910,,201,,659,,860,,162089
0104301 AL EBT CULLMAN CO FS OFF,1752,,5233,,6985,,540,,2198,,2738,,598580
0104501 AL EBT DALE CO FS OFF,1721,,5653,,7374,,506,,2449,,2955,,661009
0104701 AL EBT DALLAS CO FS OFF,4613,,8615,,13228,,1160,,4093,,5253,,1163501
0104901 AL EBT DEKALB CO FS OFF,1790,,5536,,7326,,534,,2286,,2820,,627108
0105101 AL EBT ELMORE CO FS OFF,1671,,4683,,6354,,462,,1881,,2343,,532290
0105301 AL EBT ESCAMBIA CO FS OFF,1368,,4860,,6228,,407,,2025,,2432,,555101
0105501 AL EBT ETOWQH CO FS OFF,3017,,7374,,10391,,960,,3409,,4369,,855227
0105701 AL EBT FAYETTE CO FS OFF,900,,1718,,2618,,326,,904,,1230,,219946
