NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:50 AM,,,,,
Jul 2008,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0112101 AL EBT TALLADEGA CO FS OFF,3314,,8623,,11937,,1052,,4004,,5056,,1155915
0112301 AL EBT TALLAPOOSA CO FS OFF,1581,,4921,,6502,,447,,2130,,2577,,628185
0112501 AL EBT TUSCALOOSA CO FS OFF,5271,,12611,,17882,,1532,,5614,,7146,,1650872
0112701 AL EBT WALKER CO FS OFF,1630,,5868,,7498,,485,,2382,,2867,,747333
0112901 AL EBT WASHINGTON CO F S OFC,615,,2262,,2877,,177,,988,,1165,,273413
0113101 AL EBT WILCOX CO FS OFF,1599,,2887,,4486,,393,,1503,,1896,,423508
0113301 AL EBT WINSTON CO FS OFF,756,,2027,,2783,,235,,872,,1107,,241917
0211005 AK EBT ALASKA,11386,,48644,,60030,,4614,,18347,,22961,,8375281
0400101 AZ EBT APACHE,316,,21680,,21996,,92,,7250,,7342,,2174025
0400301 AZ EBT COCHISE,2464,,13812,,16276,,789,,6598,,7387,,1598230
0400301 AZ WRI COCHISE,0,,0,,0,,0,,0,,0,,0
0400501 AZ EBT COCONINO,461,,15777,,16238,,157,,5831,,5988,,1585240
0400701 AZ EBT GILA,1980,,6956,,8936,,542,,3315,,3857,,915382
0400901 AZ EBT GRAHAM,867,,4216,,5083,,255,,1892,,2147,,499608
0401101 AZ EBT GREENLEE,60,,460,,520,,19,,244,,263,,51047
0401301 AZ EBT MARICOPA,57766,,280595,,338361,,17638,,121103,,138741,,35413988
0401501 AZ EBT MOHAVE,3292,,24869,,28161,,1065,,11890,,12955,,2869292
0401701 AZ EBT NAVAJO,3549,,21562,,25111,,957,,8078,,9035,,2469181
0401901 AZ EBT PIMA,16724,,92830,,109554,,5304,,43095,,48399,,11194525
0402101 AZ EBT PINAL,4887,,28090,,32977,,1343,,11764,,13107,,3391350
0402301 AZ EBT SANTA CRUZ,745,,6651,,7396,,230,,2533,,2763,,685584
0402501 AZ EBT YAVAPAI,1436,,14378,,15814,,470,,7317,,7787,,1580104
0402701 AZ EBT YUMA,2948,,26923,,29871,,901,,10153,,11054,,2758753
0402901 AZ EBT LA PAZ CO DES,579,,2422,,3001,,177,,1203,,1380,,306966
0500101 AR EBT ARKANSAS COUNTY,202,,2975,,3177,,62,,1404,,1466,,304491
0500301 AR EBT ASHLEY COUNTY,263,,4227,,4490,,83,,1938,,2021,,433117
0500501 AR EBT BAXTER COUNTY,111,,4169,,4280,,37,,1804,,1841,,383031
0500701 AR EBT BENTON COUNTY,215,,12532,,12747,,70,,4485,,4555,,1250445
0500901 AR EBT BOONE COUNTY,248,,4141,,4389,,75,,1664,,1739,,390753
0501101 AR EBT BRADLEY COUNTY,180,,2152,,2332,,54,,1102,,1156,,222341
0501301 AR EBT CALHOUN COUNTY,60,,498,,558,,20,,249,,269,,50765
0501501 AR EBT CARROLL COUNTY,68,,2547,,2615,,20,,1051,,1071,,238148
0501701 AR EBT CHICOT COUNTY,339,,3072,,3411,,104,,1495,,1599,,316390
0501901 AR EBT CLARK COUNTY,86,,2912,,2998,,28,,1309,,1337,,277961
0502101 AR EBT CLAY COUNTY,124,,1708,,1832,,34,,648,,682,,160245
0502301 AR EBT CLEBURNE COUNTY,75,,2335,,2410,,24,,1000,,1024,,207794
0502501 AR EBT CLEVELAND COUNTY,131,,1309,,1440,,40,,558,,598,,137153
0502701 AR EBT COLUMBIA COUNTY,389,,4796,,5185,,115,,2299,,2414,,501847
0502901 AR EBT CONWAY COUNTY,85,,3271,,3356,,26,,1415,,1441,,311577
0503101 AR EBT CRAIGHEAD COUNTY,815,,10875,,11690,,239,,3980,,4219,,1186139
0503301 AR EBT CRAWFORD COUNTY,180,,7141,,7321,,59,,2665,,2724,,665183
0503501 AR EBT CRITTENDEN COUNTY,1022,,11278,,12300,,280,,4259,,4539,,1229907
0503701 AR EBT CROSS COUNTY,182,,2564,,2746,,52,,987,,1039,,254507
0503901 AR EBT DALLAS COUNTY,126,,1304,,1430,,36,,649,,685,,130960
0504101 AR EBT DESHA COUNTY,258,,3221,,3479,,80,,1441,,1521,,332038
0504301 AR EBT DREW COUNTY,169,,3479,,3648,,54,,1632,,1686,,365764
0504501 AR EBT FAULKNER COUNTY,497,,8357,,8854,,153,,3386,,3539,,864561
0504701 AR EBT FRANKLIN COUNTY,76,,2616,,2692,,25,,1063,,1088,,251745
0504901 AR EBT FULTON COUNTY,131,,1657,,1788,,40,,647,,687,,156574
0505101 AR EBT GARLAND COUNTY,616,,10466,,11082,,183,,4536,,4719,,1045566
0505301 AR EBT GRANT COUNTY,46,,1643,,1689,,13,,670,,683,,156512
0505501 AR EBT GREENE COUNTY,290,,5570,,5860,,85,,2106,,2191,,551673
0505701 AR EBT HEMPSTEAD COUNTY,307,,3559,,3866,,90,,1534,,1624,,362819
0505901 AR EBT HOT SPRING COUNTY,73,,3881,,3954,,21,,1685,,1706,,365952
