NATIONAL DATA BANK VERSION 8.2 - PUBLIC,,,,,,,,10/15/2021,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2019,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0111701 AL EBT SHELBY CO FS OFF,1165,,10179,,11344,,704,,4495,,5199,,1360450
0111901 AL EBT SUMTER CO FS OFF,745,,2587,,3332,,486,,1309,,1795,,374305
0112101 AL EBT TALLADEGA CO FS OFF,2193,,10737,,12930,,1467,,5107,,6574,,1500232
0112301 AL EBT TALLAPOOSA CO FS OFF,1081,,5830,,6911,,695,,2645,,3340,,796846
0112501 AL EBT TUSCALOOSA CO FS OFF,3571,,19677,,23248,,2096,,8629,,10725,,2719290
0112701 AL EBT WALKER CO FS OFF,1480,,7994,,9474,,923,,3589,,4512,,1110508
0112901 AL EBT WASHINGTON CO F S OFC,389,,2315,,2704,,269,,1094,,1363,,304608
0113101 AL EBT WILCOX CO FS OFF,900,,3090,,3990,,568,,1432,,2000,,454990
0113301 AL EBT WINSTON CO FS OFF,460,,2478,,2938,,296,,1072,,1368,,322963
0211005 AK EBT ALASKA,10850,,75755,,86605,,6073,,32819,,38892,,14818525
0400101 AZ EBT APACHE,28,,21672,,21700,,7,,9325,,9332,,2732008
0400301 AZ EBT COCHISE,387,,19996,,20383,,122,,10180,,10302,,2273284
0400501 AZ EBT COCONINO,85,,15896,,15981,,27,,7422,,7449,,1895030
0400701 AZ EBT GILA,103,,10139,,10242,,32,,4964,,4996,,1288513
0400901 AZ EBT GRAHAM,70,,5266,,5336,,22,,2521,,2543,,644645
0401101 AZ EBT GREENLEE,4,,584,,588,,2,,292,,294,,72175
0401301 AZ EBT MARICOPA,10159,,401426,,411585,,3040,,186982,,190022,,50772333
0401501 AZ EBT MOHAVE,730,,30838,,31568,,219,,17232,,17451,,3644383
