NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:27 PM,,,,,
Jan 1992,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1938,,2933,,4871,,533,,1254,,1787,,314518
0100301 AL FSP BALDWIN CO FS OFF,2600,,5266,,7866,,677,,1995,,2672,,500979
0100501 AL FSP BARBOUR CO FS OFF,2843,,2748,,5591,,742,,1316,,2058,,349124
0100701 AL FSP BIBB CO FS OFF,875,,1599,,2474,,239,,630,,869,,148300
0100901 AL FSP BLOUNT CO FS OFF,1471,,2169,,3640,,437,,989,,1426,,229891
0101101 AL FSP BULLOCK CO FS OFF,1903,,892,,2795,,475,,482,,957,,175077
0101301 AL FSP BUTLER CO FSO,2342,,2597,,4939,,552,,1112,,1664,,299983
0101501 AL FSP CALHOUN CO FS OFF,5994,,7555,,13549,,1642,,3606,,5248,,946065
0101701 AL FSP CHAMBERS CO FS OFF,2258,,2617,,4875,,596,,1151,,1747,,320475
0101901 AL FSP CHEROKEE CO FS OFFICE,859,,1276,,2135,,265,,633,,898,,133871
0102101 AL FSP CHILTON CO FS OFF,1712,,2486,,4198,,504,,1134,,1638,,273588
0102301 AL FSP CHOCTAW CO FS OFF,1651,,1478,,3129,,437,,707,,1144,,190414
0102501 AL WRI CLARKE CO FS OFF,3387,,3024,,6411,,1062,,1179,,2241,,431818
0102701 AL FSP CLAY CO FS OFF,599,,565,,1164,,180,,276,,456,,57138
0102901 AL FSP CLEBURNE CO FS OFF,636,,671,,1307,,206,,339,,545,,78752
0103101 AL FSP COFFEE CO FS OFF,1941,,1656,,3597,,589,,821,,1410,,217881
0103301 AL FSP COLBERT CO FS OFF,1792,,3059,,4851,,545,,1267,,1812,,305876
0103501 AL FSP CONECUH CO FS OFF,1732,,2082,,3814,,475,,1030,,1505,,242738
0103701 AL FSP COOSA CO FSO,565,,637,,1202,,141,,292,,433,,70317
0103901 AL FSP COVINGTON CO FS OFF,2356,,3239,,5595,,715,,1552,,2267,,340203
0104101 AL FSP CRENSHAW CO FSO,1271,,1067,,2338,,374,,581,,955,,139136
0104301 AL FSP CULLMAN CO FS OFF,2519,,3908,,6427,,819,,1733,,2552,,392788
0104501 AL FSP DALE CO FS OFF,2097,,4038,,6135,,568,,1581,,2149,,413983
0104701 AL FSP DALLAS CO FS OFF,9335,,5654,,14989,,2196,,3167,,5363,,1011429
0104901 AL FSP DEKALB CO FS OFF,2659,,3015,,5674,,838,,1460,,2298,,351419
0105101 AL FSP ELMORE CO FS OFF,2086,,2905,,4991,,511,,1099,,1610,,300429
0105301 AL FSP ESCAMBIA CO FS OFF,2328,,3717,,6045,,618,,1615,,2233,,396106
0105501 AL FSP ETOWQH CO FS OFF,4791,,7544,,12335,,1470,,3580,,5050,,819104
0105701 AL FSP FAYETTE CO FS OFF,1397,,1099,,2496,,450,,666,,1116,,158011
0105901 AL FSP FRANKLIN CO FS OFF,2014,,1850,,3864,,658,,1034,,1692,,237629
0106101 AL FSP GENEVA CO FS OFF,1631,,1823,,3454,,502,,884,,1386,,211341
0106301 AL FSP GREENE CO FS OFF,2025,,1649,,3674,,504,,777,,1281,,230154
0106501 AL FSP HALE CO FS OFF,1809,,2653,,4462,,451,,1026,,1477,,258860
0106701 AL FSP HENRY CO FS OFF,1469,,979,,2448,,471,,617,,1088,,143074
0106901 AL FSP HOUSTON CO FS OFF,4883,,5722,,10605,,1353,,2516,,3869,,684650
0107101 AL FSP JACKSON CO FS OFF,2124,,3289,,5413,,665,,1520,,2185,,324666
0107301 AL FSP JEFFERSON CO FS OFF,37268,,36972,,74240,,10478,,17954,,28432,,5453203
0107501 AL FSP LAMAR CO FS OFF,899,,961,,1860,,315,,504,,819,,110034
0107701 AL FSP LAUDERDALE CO FS OFF,2878,,3673,,6551,,859,,1705,,2564,,410940
0107901 AL FSP LAWRENCE CO FS OFF,1825,,2393,,4218,,500,,1037,,1537,,255071
0108101 AL FSP LEE CO FOOD STAMP OFF,3064,,5055,,8119,,861,,2177,,3038,,552246
0108301 AL WRI LIMESTONE CO FS OFF,3021,,3592,,6613,,1007,,1583,,2590,,450711
0108501 AL FSP LOWNDES CO FS OFF,2421,,2072,,4493,,514,,851,,1365,,285109
0108701 AL FSP MACON CO FS OFF,3486,,3812,,7298,,962,,2045,,3007,,535688
0108901 AL WRI MADISON CO FS OFF,14417,,13393,,27810,,5265,,6782,,12047,,2135235
0109101 AL FSP MARENGO CO FS OFC,2650,,2520,,5170,,670,,1161,,1831,,315187
0109301 AL FSP MARION CO FS OFF,1759,,1822,,3581,,578,,957,,1535,,205789
0109501 AL FSP MARSHALL CO FS OFF,3641,,3583,,7224,,1186,,1776,,2962,,447215
0109701 AL FSP MOBILE CO FS OFF,28436,,38413,,66849,,7501,,17063,,24564,,4996926
0109901 AL FSP MONROE CO FS OFF,1638,,2672,,4310,,359,,987,,1346,,264169
0110101 AL FSP MONTGOMERY CO FS OFF,16550,,17399,,33949,,4144,,8332,,12476,,2457832
0110301 AL FSP MORGAN CO FS OFF,3204,,4960,,8164,,907,,2100,,3007,,539554
0110501 AL FSP PERRY CO FS OFF,2720,,2216,,4936,,677,,1081,,1758,,316018
0110701 AL FSP PICKENS CO FS OFF,2056,,1938,,3994,,501,,809,,1310,,233057
0110901 AL FSP PIKE CO FOOD STAMP OFC,3085,,2329,,5414,,898,,1268,,2166,,334212
0111101 AL FSP RANDOLPH CO FSO,1238,,1379,,2617,,334,,628,,962,,161804
0111301 AL FSP RUSSELL CO FS OFF,3260,,4088,,7348,,914,,1778,,2692,,514205
0111501 AL FSP ST CLAIR CO FS OFF,1901,,3740,,5641,,507,,1480,,1987,,378370
0111701 AL FSP SHELBY CO FS OFF,1761,,3305,,5066,,489,,1350,,1839,,336074
0111901 AL FSP SUMTER CO FS OFF,2858,,2107,,4965,,762,,1104,,1866,,325871
0112101 AL FSP TALLADEGA CO FS OFF,5924,,6267,,12191,,1610,,2961,,4571,,810638
0112301 AL FSP TALLAPOOSA CO FS OFF,2206,,2842,,5048,,644,,1329,,1973,,331683
0112501 AL FSP TUSCALOOSA CO FS OFF,7766,,10507,,18273,,2113,,4847,,6960,,1261513
0112701 AL FSP WALKER CO FS OFF,3439,,4134,,7573,,909,,1916,,2825,,503923
0112901 AL FSP WASHINGTON CO F S OFC,1549,,1555,,3104,,416,,722,,1138,,203584
0113101 AL FSP WILCOX CO FS OFF,3340,,2339,,5679,,721,,1241,,1962,,356819
0113301 AL FSP WINSTON CO FS OFF,941,,1306,,2247,,304,,594,,898,,131436
0211005 AK FSP ALASKA,13629,,10712,,24341,,4558,,4203,,8761,,2083720
0400101 AZ FSP APACHE,9504,,13803,,23307,,2288,,3844,,6132,,1437289
0400301 AZ FSP COCHISE,5970,,8368,,14338,,1880,,3336,,5216,,955661
0400501 AZ FSP COCONINO,5712,,8452,,14164,,1540,,2730,,4270,,910355
0400701 AZ FSP GILA,3453,,4861,,8314,,938,,1917,,2855,,547137
