NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:21 PM,,,,,
Jul 1995,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1584,,2013,,3597,,433,,975,,1408,,231371
0100301 AL FSP BALDWIN CO FS OFF,2182,,4719,,6901,,578,,1948,,2526,,447388
0100501 AL FSP BARBOUR CO FS OFF,2803,,2445,,5248,,758,,1295,,2053,,343306
0100701 AL FSP BIBB CO FS OFF,828,,1249,,2077,,227,,575,,802,,125482
0100901 AL FSP BLOUNT CO FS OFF,1528,,1832,,3360,,474,,918,,1392,,227096
0101101 AL FSP BULLOCK CO FS OFF,1631,,1025,,2656,,408,,532,,940,,171829
0101301 AL FSP BUTLER CO FSO,1698,,2036,,3734,,440,,978,,1418,,228965
0101501 AL FSP CALHOUN CO FS OFF,5718,,7456,,13174,,1558,,3702,,5260,,947585
0101701 AL FSP CHAMBERS CO FS OFF,2060,,2742,,4802,,577,,1281,,1858,,332013
0101901 AL FSP CHEROKEE CO FS OFFICE,846,,1101,,1947,,259,,540,,799,,125303
0102101 AL FSP CHILTON CO FS OFF,1628,,2343,,3971,,496,,1143,,1639,,269915
0102301 AL FSP CHOCTAW CO FS OFF,1331,,1251,,2582,,347,,659,,1006,,164240
0102502 AL FSP CLARKE CO FS OFF.,2312,,3094,,5406,,834,,1313,,2147,,360080
0102701 AL FSP CLAY CO FS OFF,568,,409,,977,,166,,240,,406,,56040
0102901 AL FSP CLEBURNE CO FS OFF,512,,637,,1149,,166,,325,,491,,74783
0103101 AL FSP COFFEE CO FS OFF,1881,,1626,,3507,,575,,827,,1402,,218665
0103301 AL FSP COLBERT CO FS OFF,1618,,2632,,4250,,490,,1237,,1727,,273668
0103501 AL FSP CONECUH CO FS OFF,1764,,1877,,3641,,493,,1069,,1562,,248845
0103701 AL FSP COOSA CO FSO,470,,579,,1049,,124,,273,,397,,64871
0103901 AL FSP COVINGTON CO FS OFF,2100,,3157,,5257,,671,,1553,,2224,,341407
0104101 AL FSP CRENSHAW CO FSO,1085,,872,,1957,,350,,494,,844,,126404
0104301 AL FSP CULLMAN CO FS OFF,2105,,2395,,4500,,713,,1246,,1959,,281220
0104501 AL FSP DALE CO FS OFF,2731,,4115,,6846,,744,,1883,,2627,,464641
0104701 AL FSP DALLAS CO FS OFF,8030,,5905,,13935,,1925,,3441,,5366,,946100
0104901 AL FSP DEKALB CO FS OFF,2152,,2593,,4745,,712,,1269,,1981,,300607
0105101 AL FSP ELMORE CO FS OFF,2064,,2428,,4492,,520,,1050,,1570,,285586
0105301 AL FSP ESCAMBIA CO FS OFF,2038,,3618,,5656,,572,,1701,,2273,,397995
0105501 AL FSP ETOWQH CO FS OFF,4745,,6459,,11204,,1480,,3347,,4827,,768480
0105701 AL FSP FAYETTE CO FS OFF,1250,,1060,,2310,,431,,685,,1116,,149449
0105901 AL FSP FRANKLIN CO FS OFF,1763,,1309,,3072,,562,,819,,1381,,189480
0106101 AL FSP GENEVA CO FS OFF,1389,,1438,,2827,,457,,752,,1209,,188087
0106301 AL FSP GREENE CO FS OFF,1565,,1742,,3307,,449,,833,,1282,,212649
0106501 AL FSP HALE CO FS OFF,1456,,2617,,4073,,401,,1068,,1469,,253700
0106701 AL FSP HENRY CO FS OFF,1514,,1067,,2581,,485,,674,,1159,,164488
0106901 AL FSP HOUSTON CO FS OFF,4301,,5295,,9596,,1253,,2524,,3777,,630598
0107101 AL FSP JACKSON CO FS OFF,2132,,2531,,4663,,692,,1315,,2007,,297331
0107301 AL FSP JEFFERSON CO FS OFF,35787,,35642,,71429,,9794,,18824,,28618,,5396308
0107501 AL FSP LAMAR CO FS OFF,827,,907,,1734,,293,,506,,799,,109462
0107701 AL FSP LAUDERDALE CO FS OFF,2575,,3712,,6287,,783,,1789,,2572,,425593
0107901 AL FSP LAWRENCE CO FS OFF,1528,,1734,,3262,,455,,823,,1278,,203429
0108101 AL FSP LEE CO FOOD STAMP OFF,3160,,4855,,8015,,887,,2209,,3096,,565337
0108302 AL FSP LIMESTONE CO. FS OFF,1936,,3054,,4990,,929,,1277,,2206,,334935
0108501 AL FSP LOWNDES CO FS OFF,2187,,1794,,3981,,484,,953,,1437,,256210
0108701 AL FSP MACON CO FS OFF,3194,,3672,,6866,,894,,1972,,2866,,530571
0108902 AL FSP MADISON CO. FS OFF,8785,,13063,,21848,,3482,,6094,,9576,,1684562
0109101 AL FSP MARENGO CO FS OFC,2550,,2313,,4863,,702,,1144,,1846,,312228
0109301 AL FSP MARION CO FS OFF,1443,,1166,,2609,,490,,705,,1195,,164096
0109501 AL FSP MARSHALL CO FS OFF,3122,,3118,,6240,,997,,1628,,2625,,411361
0109701 AL FSP MOBILE CO FS OFF,29666,,39357,,69023,,7423,,19371,,26794,,5328132
0109901 AL FSP MONROE CO FS OFF,1584,,2443,,4027,,407,,1009,,1416,,270820
0110101 AL FSP MONTGOMERY CO FS OFF,16822,,17223,,34045,,3862,,8933,,12795,,2495485
0110301 AL FSP MORGAN CO FS OFF,2750,,3637,,6387,,808,,1650,,2458,,451483
0110501 AL FSP PERRY CO FS OFF,2512,,2307,,4819,,663,,1253,,1916,,315581
0110701 AL FSP PICKENS CO FS OFF,2136,,1892,,4028,,558,,932,,1490,,254237
0110901 AL FSP PIKE CO FOOD STAMP OFC,2577,,2466,,5043,,723,,1334,,2057,,325913
0111101 AL FSP RANDOLPH CO FSO,1166,,1398,,2564,,335,,665,,1000,,164034
0111301 AL FSP RUSSELL CO FS OFF,3008,,4589,,7597,,825,,2083,,2908,,546253
0111501 AL FSP ST CLAIR CO FS OFF,1990,,3335,,5325,,550,,1460,,2010,,365036
0111701 AL FSP SHELBY CO FS OFF,1795,,2851,,4646,,536,,1285,,1821,,321469
0111901 AL FSP SUMTER CO FS OFF,2649,,2090,,4739,,738,,1196,,1934,,321545
0112101 AL FSP TALLADEGA CO FS OFF,5474,,5434,,10908,,1532,,2909,,4441,,746604
0112301 AL FSP TALLAPOOSA CO FS OFF,2226,,2929,,5155,,610,,1452,,2062,,347512
0112501 AL FSP TUSCALOOSA CO FS OFF,8135,,9726,,17861,,2155,,4997,,7152,,1266664
0112701 AL FSP WALKER CO FS OFF,2619,,2751,,5370,,763,,1408,,2171,,368724
0112901 AL FSP WASHINGTON CO F S OFC,1451,,1374,,2825,,405,,700,,1105,,184734
0113101 AL FSP WILCOX CO FS OFF,3467,,1680,,5147,,827,,1145,,1972,,323334
0113301 AL FSP WINSTON CO FS OFF,879,,742,,1621,,296,,413,,709,,96410
0211005 AK FSP ALASKA,24893,,20969,,45862,,8184,,7249,,15433,,4121463
0400101 AZ FSP APACHE,10391,,14846,,25237,,2417,,4213,,6630,,1664240
0400301 AZ FSP COCHISE,6898,,8554,,15452,,2186,,3686,,5872,,1091604
0400501 AZ FSP COCONINO,5788,,9019,,14807,,1506,,3041,,4547,,1018125
0400701 AZ FSP GILA,3526,,4284,,7810,,977,,1768,,2745,,546995
0400901 AZ FSP GRAHAM,2309,,2695,,5004,,653,,1075,,1728,,332794
0401101 AZ FSP GREENLEE,320,,403,,723,,104,,189,,293,,50759
0401301 AZ FSP MARICOPA,104994,,108202,,213196,,33327,,49333,,82660,,15416027
0401501 AZ FSP MOHAVE,6250,,9523,,15773,,1973,,4118,,6091,,1178470
0401701 AZ FSP NAVAJO,9514,,11989,,21503,,2395,,3781,,6176,,1422371
0401901 AZ FSP PIMA,32564,,44087,,76651,,10211,,19840,,30051,,5466705
0402101 AZ FSP PINAL,10528,,10194,,20722,,2957,,4241,,7198,,1438280
0402301 AZ FSP SANTA CRUZ,1652,,3508,,5160,,487,,1206,,1693,,346486
0402501 AZ FSP YAVAPAI,3429,,5867,,9296,,1095,,2822,,3917,,655226
0402701 AZ FSP YUMA,8625,,14167,,22792,,2564,,5071,,7635,,1577720
0402901 AZ FSP LA PAZ CO DES,1095,,1259,,2354,,335,,600,,935,,179008
0500101 AR FSP ARKANSAS COUNTY,480,,2348,,2828,,158,,979,,1137,,182379
0500301 AR FSP ASHLEY COUNTY,751,,3031,,3782,,240,,1224,,1464,,247901
0500501 AR FSP BAXTER COUNTY,364,,1890,,2254,,120,,752,,872,,140310
0500701 AR FSP BENTON COUNTY,744,,3499,,4243,,238,,1384,,1622,,275345
0500901 AR FSP BOONE COUNTY,376,,2120,,2496,,121,,873,,994,,153778
0501101 AR FSP BRADLEY COUNTY,306,,1394,,1700,,107,,636,,743,,113348
0501301 AR FSP CALHOUN COUNTY,97,,497,,594,,31,,214,,245,,35283
0501501 AR FSP CARROLL COUNTY,131,,1047,,1178,,44,,430,,474,,73501
