NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:58 AM,,,,,
Jul 2004,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,993,,2787,,3780,,241,,1199,,1440,,313222
0100301 AL EBT BALDWIN CO FS OFF,1460,,4732,,6192,,427,,1813,,2240,,492397
0100501 AL EBT BARBOUR CO FS OFF,1426,,3640,,5066,,364,,1567,,1931,,420497
0100701 AL EBT BIBB CO FS OFF,573,,1671,,2244,,156,,700,,856,,175147
0100901 AL EBT BLOUNT CO FS OFF,1066,,2505,,3571,,305,,1026,,1331,,285663
0101101 AL EBT BULLOCK CO FS OFF,804,,1376,,2180,,204,,624,,828,,164090
0101301 AL EBT BUTLER CO FSO,973,,2409,,3382,,274,,1081,,1355,,260705
0101501 AL EBT CALHOUN CO FS OFF,3635,,9344,,12979,,1071,,4162,,5233,,1151891
0101701 AL EBT CHAMBERS CO FS OFF,1226,,3390,,4616,,377,,1483,,1860,,386851
0101901 AL EBT CHEROKEE CO FS OFFICE,738,,2138,,2876,,223,,895,,1118,,242636
0102101 AL EBT CHILTON CO FS OFF,1191,,3165,,4356,,349,,1351,,1700,,358738
0102301 AL EBT CHOCTAW CO FS OFF,705,,1864,,2569,,207,,857,,1064,,212644
0102502 AL EBT CLARKE CO FS OFF.,1281,,3881,,5162,,647,,1464,,2111,,399702
0102701 AL EBT CLAY CO FS OFF,303,,561,,864,,97,,255,,352,,59225
0102901 AL EBT CLEBURNE CO FS OFF,351,,973,,1324,,105,,427,,532,,103158
0103101 AL EBT COFFEE CO FS OFF,1133,,2609,,3742,,319,,1117,,1436,,295147
0103301 AL EBT COLBERT CO FS OFF,1410,,4367,,5777,,445,,1923,,2368,,489106
0103501 AL EBT CONECUH CO FS OFF,913,,2059,,2972,,292,,977,,1269,,246541
0103701 AL EBT COOSA CO FSO,344,,743,,1087,,90,,335,,425,,79276
0103901 AL EBT COVINGTON CO FS OFF,1651,,3852,,5503,,531,,1770,,2301,,441754
0104101 AL EBT CRENSHAW CO FSO,584,,1359,,1943,,170,,653,,823,,153564
0104301 AL EBT CULLMAN CO FS OFF,1489,,4028,,5517,,484,,1783,,2267,,453424
0104501 AL EBT DALE CO FS OFF,1644,,5134,,6778,,461,,2189,,2650,,565178
0104701 AL EBT DALLAS CO FS OFF,4401,,8430,,12831,,1071,,3944,,5015,,1073254
0104901 AL EBT DEKALB CO FS OFF,1644,,4378,,6022,,507,,1830,,2337,,490116
0105101 AL EBT ELMORE CO FS OFF,1523,,4064,,5587,,412,,1608,,2020,,453106
0105301 AL EBT ESCAMBIA CO FS OFF,1335,,4290,,5625,,399,,1804,,2203,,479014
0105501 AL EBT ETOWQH CO FS OFF,2801,,6711,,9512,,908,,2991,,3899,,754050
0105701 AL EBT FAYETTE CO FS OFF,1003,,1677,,2680,,338,,856,,1194,,217488
0105901 AL EBT FRANKLIN CO FS OFF,1057,,2772,,3829,,336,,1284,,1620,,305472
0106101 AL EBT GENEVA CO FS OFF,844,,2203,,3047,,270,,946,,1216,,243370
0106301 AL EBT GREENE CO FS OFF,850,,1679,,2529,,231,,753,,984,,198403
0106501 AL EBT HALE CO FS OFF,730,,1923,,2653,,190,,765,,955,,201089
0106701 AL EBT HENRY CO FS OFF,683,,1681,,2364,,217,,797,,1014,,187299
0106901 AL EBT HOUSTON CO FS OFF,3111,,7791,,10902,,939,,3374,,4313,,892930
0107101 AL EBT JACKSON CO FS OFF,1536,,4392,,5928,,496,,1896,,2392,,478629
0107301 AL EBT JEFFERSON CO FS OFF,21420,,43362,,64782,,6150,,20305,,26455,,5576948
0107501 AL EBT LAMAR CO FS OFF,649,,1313,,1962,,233,,643,,876,,153298
0107701 AL EBT LAUDERDALE CO FS OFF,2100,,6413,,8513,,653,,2848,,3501,,712356
0107901 AL EBT LAWRENCE CO FS OFF,1079,,2538,,3617,,318,,1105,,1423,,290978
0108101 AL EBT LEE CO FOOD STAMP OFF,2028,,6428,,8456,,607,,2675,,3282,,714581
0108302 AL EBT LIMESTONE CO. FS OFF,1224,,3918,,5142,,706,,1488,,2194,,407422
0108501 AL EBT LOWNDES CO FS OFF,1163,,2406,,3569,,293,,1122,,1415,,297267
0108701 AL EBT MACON CO FS OFF,1585,,4391,,5976,,466,,2190,,2656,,525456
0108902 AL EBT MADISON CO. FS OFF,4245,,11697,,15942,,2023,,4518,,6541,,1368215
0109101 AL EBT MARENGO CO FS OFC,1377,,2589,,3966,,384,,1235,,1619,,298803
0109301 AL EBT MARION CO FS OFF,1096,,2945,,4041,,373,,1339,,1712,,315853
0109501 AL EBT MARSHALL CO FS OFF,1969,,6366,,8335,,655,,2654,,3309,,685484
0109701 AL EBT MOBILE CO FS OFF,16739,,45558,,62297,,4859,,18973,,23832,,5539135
0109901 AL EBT MONROE CO FS OFF,915,,2383,,3298,,257,,972,,1229,,280581
0110101 AL EBT MONTGOMERY CO FS OFF,11384,,24771,,36155,,2995,,10998,,13993,,3199890
0110301 AL EBT MORGAN CO FS OFF,1928,,5624,,7552,,620,,2312,,2932,,632601
0110501 AL EBT PERRY CO FS OFF,1368,,2887,,4255,,371,,1358,,1729,,352147
0110701 AL EBT PICKENS CO FS OFF,996,,2157,,3153,,267,,941,,1208,,239714
0110901 AL EBT PIKE CO FOOD STAMP OFC,1829,,3604,,5433,,566,,1736,,2302,,446168
0111101 AL EBT RANDOLPH CO FSO,818,,2285,,3103,,222,,963,,1185,,250975
0111301 AL EBT RUSSELL CO FS OFF,1826,,6231,,8057,,548,,2533,,3081,,711760
0111501 AL EBT ST CLAIR CO FS OFF,1497,,4319,,5816,,420,,1837,,2257,,480496
0111701 AL EBT SHELBY CO FS OFF,1256,,3488,,4744,,379,,1480,,1859,,406601
0111901 AL EBT SUMTER CO FS OFF,1450,,2408,,3858,,396,,1204,,1600,,320091
0112101 AL EBT TALLADEGA CO FS OFF,3098,,7153,,10251,,957,,3306,,4263,,847938
0112301 AL EBT TALLAPOOSA CO FS OFF,1281,,4032,,5313,,352,,1722,,2074,,446106
0112501 AL EBT TUSCALOOSA CO FS OFF,4713,,11717,,16430,,1377,,5104,,6481,,1337497
0112701 AL EBT WALKER CO FS OFF,1566,,4681,,6247,,458,,1962,,2420,,532603
0112901 AL EBT WASHINGTON CO F S OFC,770,,2025,,2795,,219,,888,,1107,,226253
0113101 AL EBT WILCOX CO FS OFF,1772,,3096,,4868,,459,,1495,,1954,,402367
0113301 AL EBT WINSTON CO FS OFF,673,,2057,,2730,,217,,855,,1072,,214098
0211005 AK EBT ALASKA,15173,,38566,,53739,,5473,,13541,,19014,,6014725
0400101 AZ EBT APACHE,540,,22748,,23288,,157,,6820,,6977,,1954585
0400301 AZ EBT COCHISE,3282,,12118,,15400,,1080,,5341,,6421,,1322693
0400501 AZ EBT COCONINO,904,,14049,,14953,,296,,4635,,4931,,1277375
0400701 AZ EBT GILA,2575,,5975,,8550,,713,,2714,,3427,,779481
0400901 AZ EBT GRAHAM,1350,,4239,,5589,,407,,1785,,2192,,471528
0401101 AZ EBT GREENLEE,182,,721,,903,,57,,335,,392,,80860
0401301 AZ EBT MARICOPA,75422,,191748,,267170,,24332,,83942,,108274,,25256364
0401501 AZ EBT MOHAVE,4125,,17353,,21478,,1333,,7323,,8656,,1869257
0401701 AZ EBT NAVAJO,4177,,19336,,23513,,1148,,6581,,7729,,2005321
0401901 AZ EBT PIMA,21914,,65448,,87362,,7089,,29217,,36306,,7970861
0402101 AZ EBT PINAL,6512,,18245,,24757,,1878,,7359,,9237,,2219774
0402301 AZ EBT SANTA CRUZ,965,,5517,,6482,,296,,2047,,2343,,532270
0402501 AZ EBT YAVAPAI,1874,,10584,,12458,,626,,5250,,5876,,1184704
0402701 AZ EBT YUMA,4358,,20854,,25212,,1352,,7410,,8762,,2106912
0402901 AZ EBT LA PAZ CO DES,714,,1749,,2463,,205,,855,,1060,,227064
0500101 AR EBT ARKANSAS COUNTY,80,,3220,,3300,,29,,1391,,1420,,279366
0500301 AR EBT ASHLEY COUNTY,160,,4378,,4538,,56,,1935,,1991,,395806
0500501 AR EBT BAXTER COUNTY,69,,3984,,4053,,23,,1594,,1617,,324421
0500701 AR EBT BENTON COUNTY,92,,10000,,10092,,33,,3590,,3623,,847633
0500901 AR EBT BOONE COUNTY,174,,3727,,3901,,53,,1539,,1592,,299443
0501101 AR EBT BRADLEY COUNTY,76,,2021,,2097,,29,,968,,997,,169279
0501301 AR EBT CALHOUN COUNTY,20,,587,,607,,8,,257,,265,,48639
0501501 AR EBT CARROLL COUNTY,21,,2027,,2048,,8,,815,,823,,159969
0501701 AR EBT CHICOT COUNTY,138,,3859,,3997,,49,,1733,,1782,,327714
0501901 AR EBT CLARK COUNTY,73,,2363,,2436,,27,,1079,,1106,,203621
0502101 AR EBT CLAY COUNTY,73,,1784,,1857,,24,,743,,767,,130794
0502301 AR EBT CLEBURNE COUNTY,22,,2453,,2475,,9,,1009,,1018,,191203
0502501 AR EBT CLEVELAND COUNTY,74,,1265,,1339,,26,,528,,554,,113929
0502701 AR EBT COLUMBIA COUNTY,185,,5081,,5266,,70,,2279,,2349,,448607
0502901 AR EBT CONWAY COUNTY,27,,3100,,3127,,10,,1312,,1322,,253114
0503101 AR EBT CRAIGHEAD COUNTY,402,,9842,,10244,,138,,3774,,3912,,882689
0503301 AR EBT CRAWFORD COUNTY,91,,6556,,6647,,31,,2364,,2395,,529784
0503501 AR EBT CRITTENDEN COUNTY,651,,12392,,13043,,200,,4658,,4858,,1127837
0503701 AR EBT CROSS COUNTY,56,,3253,,3309,,16,,1322,,1338,,262233
0503901 AR EBT DALLAS COUNTY,44,,1514,,1558,,15,,666,,681,,122770
0504101 AR EBT DESHA COUNTY,108,,3579,,3687,,36,,1527,,1563,,311272
0504301 AR EBT DREW COUNTY,61,,3476,,3537,,24,,1517,,1541,,310339
0504501 AR EBT FAULKNER COUNTY,108,,7786,,7894,,38,,3106,,3144,,687722
0504701 AR EBT FRANKLIN COUNTY,42,,2362,,2404,,13,,934,,947,,194204
0504901 AR EBT FULTON COUNTY,70,,1739,,1809,,22,,729,,751,,132489
0505101 AR EBT GARLAND COUNTY,210,,9872,,10082,,75,,4070,,4145,,854246
0505301 AR EBT GRANT COUNTY,17,,1426,,1443,,6,,564,,570,,110833
0505501 AR EBT GREENE COUNTY,129,,5046,,5175,,51,,2062,,2113,,424924
0505701 AR EBT HEMPSTEAD COUNTY,84,,3764,,3848,,29,,1566,,1595,,312897
0505901 AR EBT HOT SPRING COUNTY,32,,3838,,3870,,10,,1559,,1569,,321738
0506101 AR EBT HOWARD COUNTY,18,,1570,,1588,,7,,666,,673,,127544
0506301 AR EBT INDEPENDENCE COUNTY,110,,4391,,4501,,38,,1744,,1782,,351819
0506501 AR EBT IZARD COUNTY,47,,1675,,1722,,16,,695,,711,,132780
0506701 AR EBT JACKSON COUNTY,99,,3336,,3435,,35,,1404,,1439,,278998
0506901 AR EBT JEFFERSON COUNTY,932,,16482,,17414,,330,,7363,,7693,,1581775
0507101 AR EBT JOHNSON COUNTY,12,,3225,,3237,,4,,1243,,1247,,252896
0507301 AR EBT LAFAYETTE COUNTY,29,,1676,,1705,,12,,726,,738,,132169
0507501 AR EBT LAWRENCE COUNTY,29,,2810,,2839,,10,,1165,,1175,,209755
0507701 AR EBT LEE COUNTY,182,,3194,,3376,,63,,1463,,1526,,275705
0507901 AR EBT LINCOLN COUNTY,95,,2154,,2249,,35,,870,,905,,185719
0508101 AR EBT LITTLE RIVER COUNTY,38,,1698,,1736,,12,,737,,749,,134523
0508301 AR EBT LOGAN COUNTY,130,,3423,,3553,,48,,1373,,1421,,286123
