NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,04/10/2017,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2015,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1078,,7111,,8189,,495,,3189,,3684,,1013123
0100301 AL EBT BALDWIN CO FS OFF,1996,,21421,,23417,,1051,,9084,,10135,,2886391
0100501 AL EBT BARBOUR CO FS OFF,959,,5917,,6876,,477,,2738,,3215,,862284
0100701 AL EBT BIBB CO FS OFF,557,,3319,,3876,,297,,1433,,1730,,458969
0100901 AL EBT BLOUNT CO FS OFF,1073,,6987,,8060,,558,,2889,,3447,,951850
0100999 AL EBT AESAP - Alabama Dept. of HR,0,,0,,0,,0,,0,,0,,0
0101101 AL EBT BULLOCK CO FS OFF,540,,2599,,3139,,253,,1244,,1497,,383716
0101301 AL EBT BUTLER CO FSO,785,,4711,,5496,,431,,2215,,2646,,653134
0101501 AL EBT CALHOUN CO FS OFF,3114,,21658,,24772,,1716,,10292,,12008,,3162699
0101701 AL EBT CHAMBERS CO FS OFF,1048,,6642,,7690,,612,,3095,,3707,,959709
0101901 AL EBT CHEROKEE CO FS OFFICE,701,,4302,,5003,,396,,1957,,2353,,600398
0102101 AL EBT CHILTON CO FS OFF,1015,,7057,,8072,,533,,3039,,3572,,1011615
0102301 AL EBT CHOCTAW CO FS OFF,634,,3021,,3655,,374,,1467,,1841,,442255
0102502 AL EBT CLARKE CO FS OFF.,1136,,5602,,6738,,605,,2700,,3305,,808801
0102701 AL EBT CLAY CO FS OFF,305,,1845,,2150,,159,,784,,943,,233244
0102901 AL EBT CLEBURNE CO FS OFF,351,,2103,,2454,,202,,966,,1168,,287305
0103101 AL EBT COFFEE CO FS OFF,845,,6759,,7604,,445,,2884,,3329,,922057
0103301 AL EBT COLBERT CO FS OFF,1284,,7759,,9043,,770,,3646,,4416,,1083844
0103501 AL EBT CONECUH CO FS OFF,551,,3270,,3821,,308,,1548,,1856,,469305
0103701 AL EBT COOSA CO FSO,278,,1687,,1965,,159,,802,,961,,238876
0103901 AL EBT COVINGTON CO FS OFF,981,,7235,,8216,,556,,3164,,3720,,996144
0104101 AL EBT CRENSHAW CO FSO,483,,2741,,3224,,270,,1311,,1581,,394073
0104301 AL EBT CULLMAN CO FS OFF,1602,,10281,,11883,,885,,4401,,5286,,1368484
0104501 AL EBT DALE CO FS OFF,1386,,9278,,10664,,735,,4323,,5058,,1360216
0104701 AL EBT DALLAS CO FS OFF,3325,,13595,,16920,,1669,,6746,,8415,,2181962
0104901 AL EBT DEKALB CO FS OFF,1345,,14109,,15454,,721,,5636,,6357,,1876069
0105101 AL EBT ELMORE CO FS OFF,1369,,10660,,12029,,668,,4585,,5253,,1501325
0105301 AL EBT ESCAMBIA CO FS OFF,1104,,8447,,9551,,581,,3710,,4291,,1201615
0105501 AL EBT ETOWQH CO FS OFF,2383,,13772,,16155,,1480,,6221,,7701,,1851475
0105701 AL EBT FAYETTE CO FS OFF,612,,3361,,3973,,374,,1585,,1959,,481666
0105901 AL EBT FRANKLIN CO FS OFF,817,,5841,,6658,,447,,2463,,2910,,813924
0106101 AL EBT GENEVA CO FS OFF,742,,5306,,6048,,410,,2290,,2700,,733571
0106301 AL EBT GREENE CO FS OFF,559,,2672,,3231,,347,,1306,,1653,,401452
0106501 AL EBT HALE CO FS OFF,772,,3485,,4257,,384,,1667,,2051,,482981
0106701 AL EBT HENRY CO FS OFF,434,,2926,,3360,,247,,1395,,1642,,402734
0106901 AL EBT HOUSTON CO FS OFF,2893,,17724,,20617,,1511,,8091,,9602,,2529219
0107101 AL EBT JACKSON CO FS OFF,1046,,7620,,8666,,590,,3291,,3881,,1025785
0107301 AL EBT JEFFERSON CO FS OFF,18438,,103486,,121924,,9753,,50155,,59908,,15791218
0107501 AL EBT LAMAR CO FS OFF,470,,2356,,2826,,264,,1091,,1355,,335017
0107701 AL EBT LAUDERDALE CO FS OFF,1772,,11642,,13414,,1014,,5405,,6419,,1620213
0107901 AL EBT LAWRENCE CO FS OFF,890,,5696,,6586,,515,,2561,,3076,,809511
0108101 AL EBT LEE CO FOOD STAMP OFF,2037,,16649,,18686,,1130,,7447,,8577,,2309709
0108302 AL EBT LIMESTONE CO. FS OFF,1370,,10446,,11816,,803,,4562,,5365,,1463581
0108501 AL EBT LOWNDES CO FS OFF,758,,3481,,4239,,404,,1761,,2165,,539755
0108701 AL EBT MACON CO FS OFF,1048,,6013,,7061,,555,,3430,,3985,,971591
0108902 AL EBT MADISON CO. FS OFF,4497,,38958,,43455,,2493,,18247,,20740,,5640114
0109101 AL EBT MARENGO CO FS OFC,1114,,4482,,5596,,666,,2210,,2876,,651541
0109301 AL EBT MARION CO FS OFF,811,,5693,,6504,,487,,2493,,2980,,775629
0109501 AL EBT MARSHALL CO FS OFF,1914,,16974,,18888,,1049,,7038,,8087,,2320831
0109701 AL EBT MOBILE CO FS OFF,12747,,81961,,94708,,6710,,37665,,44375,,12280469
0109901 AL EBT MONROE CO FS OFF,757,,4270,,5027,,377,,1907,,2284,,612556
0110101 AL EBT MONTGOMERY CO FS OFF,8658,,48098,,56756,,3987,,23192,,27179,,7591327
0110301 AL EBT MORGAN CO FS OFF,1954,,15065,,17019,,1164,,6508,,7672,,2128497
0110501 AL EBT PERRY CO FS OFF,864,,3373,,4237,,480,,1771,,2251,,502228
0110701 AL EBT PICKENS CO FS OFF,748,,3514,,4262,,419,,1623,,2042,,502488
0110901 AL EBT PIKE CO FOOD STAMP OFC,1255,,6534,,7789,,700,,3433,,4133,,991125
0111101 AL EBT RANDOLPH CO FSO,759,,4709,,5468,,359,,2112,,2471,,682045
0111301 AL EBT RUSSELL CO FS OFF,1652,,13369,,15021,,782,,6015,,6797,,1975545
0111501 AL EBT ST CLAIR CO FS OFF,1430,,10301,,11731,,752,,4397,,5149,,1429586
0111701 AL EBT SHELBY CO FS OFF,1381,,12952,,14333,,707,,5646,,6353,,1839532
0111901 AL EBT SUMTER CO FS OFF,946,,3502,,4448,,529,,1873,,2402,,545376
0112101 AL EBT TALLADEGA CO FS OFF,2756,,12980,,15736,,1617,,6203,,7820,,1874379
0112301 AL EBT TALLAPOOSA CO FS OFF,1234,,7437,,8671,,705,,3481,,4186,,1057132
0112501 AL EBT TUSCALOOSA CO FS OFF,4407,,23933,,28340,,2206,,10770,,12976,,3439084
0112701 AL EBT WALKER CO FS OFF,1784,,11801,,13585,,958,,5258,,6216,,1694886
0112901 AL EBT WASHINGTON CO F S OFC,488,,2694,,3182,,306,,1275,,1581,,379667
0113101 AL EBT WILCOX CO FS OFF,1055,,3925,,4980,,555,,1999,,2554,,615562
0113301 AL EBT WINSTON CO FS OFF,605,,3258,,3863,,325,,1409,,1734,,438285
0211005 AK EBT ALASKA,12534,,71945,,84479,,6329,,28999,,35328,,14352240
0400101 AZ EBT APACHE,51,,25433,,25484,,14,,10050,,10064,,3176871
0400301 AZ EBT COCHISE,761,,22825,,23586,,229,,10911,,11140,,2750697
0400501 AZ EBT COCONINO,93,,19629,,19722,,27,,8385,,8412,,2410699
0400701 AZ EBT GILA,823,,11361,,12184,,225,,5293,,5518,,1504380
0400901 AZ EBT GRAHAM,412,,6334,,6746,,114,,2836,,2950,,822324
0401101 AZ EBT GREENLEE,15,,821,,836,,6,,400,,406,,109308
0401301 AZ EBT MARICOPA,19665,,513700,,533365,,5916,,226756,,232672,,65941074
0401501 AZ EBT MOHAVE,849,,38971,,39820,,270,,19284,,19554,,4635646
0401701 AZ EBT NAVAJO,345,,30969,,31314,,97,,12473,,12570,,3853050
0401901 AZ EBT PIMA,5355,,150164,,155519,,1571,,72624,,74195,,19104213
0402101 AZ EBT PINAL,1939,,50247,,52186,,542,,20660,,21202,,6263309
0402301 AZ EBT SANTA CRUZ,291,,12093,,12384,,87,,4766,,4853,,1380167
0402501 AZ EBT YAVAPAI,534,,23479,,24013,,158,,12311,,12469,,2728134
0402701 AZ EBT YUMA,966,,42814,,43780,,271,,16644,,16915,,4977748
0402901 AZ EBT LA PAZ CO DES,128,,3531,,3659,,40,,1805,,1845,,445236
0500101 AR EBT ARKANSAS COUNTY,68,,3163,,3231,,22,,1506,,1528,,390023
0500301 AR EBT ASHLEY COUNTY,98,,3699,,3797,,33,,1722,,1755,,451060
0500501 AR EBT BAXTER COUNTY,92,,5204,,5296,,28,,2370,,2398,,598076
0500701 AR EBT BENTON COUNTY,272,,17785,,18057,,93,,6676,,6769,,2025867
0500901 AR EBT BOONE COUNTY,176,,5258,,5434,,55,,2198,,2253,,596652
0501101 AR EBT BRADLEY COUNTY,90,,2309,,2399,,28,,1084,,1112,,280812
0501301 AR EBT CALHOUN COUNTY,7,,582,,589,,3,,287,,290,,68850
0501501 AR EBT CARROLL COUNTY,38,,3312,,3350,,10,,1310,,1320,,371276
0501701 AR EBT CHICOT COUNTY,107,,3032,,3139,,33,,1466,,1499,,353583
0501901 AR EBT CLARK COUNTY,25,,2741,,2766,,8,,1332,,1340,,329697
0502101 AR EBT CLAY COUNTY,65,,1742,,1807,,19,,786,,805,,190280
0502301 AR EBT CLEBURNE COUNTY,51,,2579,,2630,,17,,1141,,1158,,293767
0502501 AR EBT CLEVELAND COUNTY,82,,1312,,1394,,24,,631,,655,,168000
0502701 AR EBT COLUMBIA COUNTY,133,,4078,,4211,,36,,1929,,1965,,519139
0502901 AR EBT CONWAY COUNTY,89,,3405,,3494,,28,,1561,,1589,,406536
0503101 AR EBT CRAIGHEAD COUNTY,614,,14455,,15069,,196,,5743,,5939,,1779582
0503301 AR EBT CRAWFORD COUNTY,146,,9101,,9247,,40,,3606,,3646,,1062916
0503501 AR EBT CRITTENDEN COUNTY,561,,13373,,13934,,155,,5784,,5939,,1711442
0503701 AR EBT CROSS COUNTY,117,,2913,,3030,,38,,1286,,1324,,349512
0503901 AR EBT DALLAS COUNTY,42,,1255,,1297,,14,,616,,630,,144287
0504101 AR EBT DESHA COUNTY,95,,3312,,3407,,30,,1558,,1588,,404106
0504301 AR EBT DREW COUNTY,58,,3165,,3223,,20,,1544,,1564,,392558
0504501 AR EBT FAULKNER COUNTY,285,,12682,,12967,,90,,5632,,5722,,1563034
0504701 AR EBT FRANKLIN COUNTY,45,,2821,,2866,,13,,1138,,1151,,328217
0504901 AR EBT FULTON COUNTY,48,,1863,,1911,,13,,836,,849,,209835
0505101 AR EBT GARLAND COUNTY,245,,14415,,14660,,78,,6444,,6522,,1732621
0505301 AR EBT GRANT COUNTY,49,,1846,,1895,,15,,796,,811,,224852
0505501 AR EBT GREENE COUNTY,181,,6942,,7123,,54,,2991,,3045,,852397
