NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,02/27/2018,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2016,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1054,,6900,,7954,,538,,2929,,3467,,953368
0100301 AL EBT BALDWIN CO FS OFF,1971,,19735,,21706,,1107,,8167,,9274,,2620080
0100501 AL EBT BARBOUR CO FS OFF,944,,5825,,6769,,489,,2686,,3175,,849721
0100701 AL EBT BIBB CO FS OFF,533,,3260,,3793,,311,,1410,,1721,,437329
0100901 AL EBT BLOUNT CO FS OFF,977,,6159,,7136,,570,,2533,,3103,,802991
0100999 AL EBT AESAP - Alabama Dept. of HR,0,,0,,0,,0,,0,,0,,0
0101101 AL EBT BULLOCK CO FS OFF,473,,2394,,2867,,257,,1085,,1342,,336036
0101301 AL EBT BUTLER CO FSO,756,,4234,,4990,,422,,1917,,2339,,573102
0101501 AL EBT CALHOUN CO FS OFF,2938,,19556,,22494,,1754,,8863,,10617,,2776626
0101701 AL EBT CHAMBERS CO FS OFF,1025,,5815,,6840,,646,,2610,,3256,,831867
0101901 AL EBT CHEROKEE CO FS OFFICE,674,,3643,,4317,,415,,1645,,2060,,488785
0102101 AL EBT CHILTON CO FS OFF,956,,6954,,7910,,536,,2918,,3454,,974767
0102301 AL EBT CHOCTAW CO FS OFF,640,,2976,,3616,,399,,1458,,1857,,436828
0102502 AL EBT CLARKE CO FS OFF.,1043,,5424,,6467,,600,,2652,,3252,,773038
0102701 AL EBT CLAY CO FS OFF,297,,1561,,1858,,162,,674,,836,,198380
0102901 AL EBT CLEBURNE CO FS OFF,357,,1994,,2351,,210,,898,,1108,,271136
0103101 AL EBT COFFEE CO FS OFF,886,,6647,,7533,,494,,2763,,3257,,900558
0103301 AL EBT COLBERT CO FS OFF,1272,,7008,,8280,,822,,3152,,3974,,953610
0103501 AL EBT CONECUH CO FS OFF,555,,3205,,3760,,317,,1536,,1853,,455136
0103701 AL EBT COOSA CO FSO,270,,1576,,1846,,168,,747,,915,,217754
0103901 AL EBT COVINGTON CO FS OFF,955,,6799,,7754,,588,,2938,,3526,,930565
0104101 AL EBT CRENSHAW CO FSO,480,,2555,,3035,,295,,1184,,1479,,358192
0104301 AL EBT CULLMAN CO FS OFF,1562,,9104,,10666,,953,,3836,,4789,,1164750
0104501 AL EBT DALE CO FS OFF,1369,,8641,,10010,,774,,3846,,4620,,1219876
0104701 AL EBT DALLAS CO FS OFF,3128,,13290,,16418,,1691,,6605,,8296,,2099163
0104901 AL EBT DEKALB CO FS OFF,1345,,13345,,14690,,778,,5241,,6019,,1726185
0105101 AL EBT ELMORE CO FS OFF,1277,,9240,,10517,,694,,3847,,4541,,1266515
0105301 AL EBT ESCAMBIA CO FS OFF,1080,,7510,,8590,,615,,3212,,3827,,1043938
0105501 AL EBT ETOWQH CO FS OFF,2439,,12876,,15315,,1583,,5758,,7341,,1707764
0105701 AL EBT FAYETTE CO FS OFF,589,,3114,,3703,,380,,1446,,1826,,434837
0105901 AL EBT FRANKLIN CO FS OFF,741,,5123,,5864,,452,,2140,,2592,,699542
0106101 AL EBT GENEVA CO FS OFF,770,,4671,,5441,,449,,1993,,2442,,630748
0106301 AL EBT GREENE CO FS OFF,530,,2715,,3245,,346,,1314,,1660,,392855
0106501 AL EBT HALE CO FS OFF,765,,3561,,4326,,408,,1727,,2135,,485296
0106701 AL EBT HENRY CO FS OFF,429,,2744,,3173,,246,,1324,,1570,,360806
0106901 AL EBT HOUSTON CO FS OFF,2840,,16973,,19813,,1557,,7607,,9164,,2376862
0107101 AL EBT JACKSON CO FS OFF,966,,6789,,7755,,572,,2892,,3464,,875778
0107301 AL EBT JEFFERSON CO FS OFF,17715,,96513,,114228,,10052,,45261,,55313,,14363392
0107501 AL EBT LAMAR CO FS OFF,489,,2232,,2721,,286,,1024,,1310,,314999
0107701 AL EBT LAUDERDALE CO FS OFF,1676,,10174,,11850,,1048,,4632,,5680,,1376368
0107901 AL EBT LAWRENCE CO FS OFF,893,,5228,,6121,,526,,2241,,2767,,730835
0108101 AL EBT LEE CO FOOD STAMP OFF,1963,,15374,,17337,,1114,,6759,,7873,,2104191
0108302 AL EBT LIMESTONE CO. FS OFF,1350,,9143,,10493,,849,,3886,,4735,,1220705
0108501 AL EBT LOWNDES CO FS OFF,684,,3365,,4049,,389,,1704,,2093,,507092
0108701 AL EBT MACON CO FS OFF,971,,5163,,6134,,564,,2752,,3316,,806056
0108902 AL EBT MADISON CO. FS OFF,4392,,35823,,40215,,2588,,16285,,18873,,5015551
0109101 AL EBT MARENGO CO FS OFC,1058,,4041,,5099,,674,,1920,,2594,,567151
0109301 AL EBT MARION CO FS OFF,797,,4903,,5700,,485,,2181,,2666,,652940
0109501 AL EBT MARSHALL CO FS OFF,1871,,15214,,17085,,1129,,6107,,7236,,2026478
0109701 AL EBT MOBILE CO FS OFF,12058,,77688,,89746,,6772,,34268,,41040,,11306031
0109901 AL EBT MONROE CO FS OFF,726,,4133,,4859,,390,,1876,,2266,,577704
0110101 AL EBT MONTGOMERY CO FS OFF,8130,,44675,,52805,,4078,,20372,,24450,,6900645
0110301 AL EBT MORGAN CO FS OFF,2029,,14624,,16653,,1256,,6251,,7507,,2047623
0110501 AL EBT PERRY CO FS OFF,870,,3380,,4250,,509,,1773,,2282,,505982
0110701 AL EBT PICKENS CO FS OFF,753,,3300,,4053,,462,,1430,,1892,,447020
0110901 AL EBT PIKE CO FOOD STAMP OFC,1184,,5813,,6997,,717,,2893,,3610,,855104
0111101 AL EBT RANDOLPH CO FSO,666,,4414,,5080,,348,,1930,,2278,,607893
0111301 AL EBT RUSSELL CO FS OFF,1615,,12116,,13731,,819,,5134,,5953,,1735521
0111501 AL EBT ST CLAIR CO FS OFF,1401,,9588,,10989,,773,,4030,,4803,,1304426
0111701 AL EBT SHELBY CO FS OFF,1375,,11951,,13326,,748,,5217,,5965,,1679103
0111901 AL EBT SUMTER CO FS OFF,922,,3444,,4366,,539,,1850,,2389,,530134
0112101 AL EBT TALLADEGA CO FS OFF,2620,,11919,,14539,,1655,,5495,,7150,,1694928
0112301 AL EBT TALLAPOOSA CO FS OFF,1191,,6765,,7956,,727,,3073,,3800,,927424
0112501 AL EBT TUSCALOOSA CO FS OFF,4128,,23912,,28040,,2202,,10430,,12632,,3311251
0112701 AL EBT WALKER CO FS OFF,1775,,10451,,12226,,1011,,4526,,5537,,1456628
0112901 AL EBT WASHINGTON CO F S OFC,454,,2710,,3164,,297,,1286,,1583,,387538
0113101 AL EBT WILCOX CO FS OFF,1054,,3858,,4912,,599,,1967,,2566,,603124
0113301 AL EBT WINSTON CO FS OFF,530,,3137,,3667,,307,,1306,,1613,,394091
0211005 AK EBT ALASKA,12485,,72457,,84942,,6229,,29005,,35234,,15139450
0400101 AZ EBT APACHE,47,,25517,,25564,,15,,10275,,10290,,3202368
0400301 AZ EBT COCHISE,528,,23235,,23763,,154,,11218,,11372,,2756518
0400501 AZ EBT COCONINO,117,,19824,,19941,,39,,8731,,8770,,2462568
0400701 AZ EBT GILA,99,,12096,,12195,,32,,5511,,5543,,1528840
0400901 AZ EBT GRAHAM,121,,6775,,6896,,38,,3023,,3061,,840138
0401101 AZ EBT GREENLEE,17,,843,,860,,5,,412,,417,,113737
0401301 AZ EBT MARICOPA,15413,,490635,,506048,,4521,,215501,,220022,,62324924
0401501 AZ EBT MOHAVE,779,,38090,,38869,,246,,19398,,19644,,4512176
0401701 AZ EBT NAVAJO,347,,31201,,31548,,100,,12710,,12810,,3982862
0401901 AZ EBT PIMA,4514,,148870,,153384,,1307,,72681,,73988,,18885155
0402101 AZ EBT PINAL,1837,,50939,,52776,,499,,21220,,21719,,6406216
0402301 AZ EBT SANTA CRUZ,203,,12446,,12649,,59,,4950,,5009,,1409910
0402501 AZ EBT YAVAPAI,453,,22580,,23033,,149,,12104,,12253,,2641123
0402701 AZ EBT YUMA,798,,42902,,43700,,219,,17115,,17334,,5019101
0402901 AZ EBT LA PAZ CO DES,84,,3537,,3621,,22,,1802,,1824,,435789
