NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:14 PM,,,,,
Jul 1996,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1569,,1842,,3411,,433,,922,,1355,,229315
0100301 AL FSP BALDWIN CO FS OFF,1934,,4382,,6316,,534,,1826,,2360,,412864
0100501 AL FSP BARBOUR CO FS OFF,2712,,2674,,5386,,730,,1405,,2135,,365547
0100701 AL FSP BIBB CO FS OFF,751,,1106,,1857,,215,,523,,738,,111445
0100901 AL FSP BLOUNT CO FS OFF,1454,,2056,,3510,,449,,947,,1396,,237007
0101101 AL FSP BULLOCK CO FS OFF,1532,,1055,,2587,,397,,541,,938,,172911
0101301 AL FSP BUTLER CO FSO,1561,,2123,,3684,,400,,1004,,1404,,229246
0101501 AL FSP CALHOUN CO FS OFF,5564,,7326,,12890,,1498,,3697,,5195,,990663
0101701 AL FSP CHAMBERS CO FS OFF,1829,,2643,,4472,,538,,1246,,1784,,319429
0101901 AL FSP CHEROKEE CO FS OFFICE,828,,1243,,2071,,255,,588,,843,,133942
0102101 AL FSP CHILTON CO FS OFF,1581,,2343,,3924,,477,,1140,,1617,,276439
0102301 AL FSP CHOCTAW CO FS OFF,1333,,1404,,2737,,361,,753,,1114,,183887
0102502 AL FSP CLARKE CO FS OFF.,2393,,3116,,5509,,900,,1368,,2268,,389697
0102701 AL FSP CLAY CO FS OFF,545,,480,,1025,,149,,258,,407,,57379
0102901 AL FSP CLEBURNE CO FS OFF,500,,642,,1142,,159,,307,,466,,73510
0103101 AL FSP COFFEE CO FS OFF,1724,,1956,,3680,,519,,916,,1435,,235031
0103301 AL FSP COLBERT CO FS OFF,1575,,2770,,4345,,496,,1272,,1768,,285696
0103501 AL FSP CONECUH CO FS OFF,1807,,2124,,3931,,491,,1162,,1653,,277187
0103701 AL FSP COOSA CO FSO,536,,547,,1083,,136,,279,,415,,64012
0103901 AL FSP COVINGTON CO FS OFF,2059,,2860,,4919,,670,,1449,,2119,,324284
0104101 AL FSP CRENSHAW CO FSO,1016,,899,,1915,,319,,527,,846,,126166
0104301 AL FSP CULLMAN CO FS OFF,1892,,2333,,4225,,646,,1208,,1854,,270965
0104501 AL FSP DALE CO FS OFF,2449,,4355,,6804,,691,,1955,,2646,,490085
0104701 AL FSP DALLAS CO FS OFF,7370,,6330,,13700,,1779,,3602,,5381,,978766
0104901 AL FSP DEKALB CO FS OFF,2120,,2806,,4926,,703,,1337,,2040,,319494
0105101 AL FSP ELMORE CO FS OFF,1806,,2720,,4526,,447,,1134,,1581,,293438
0105301 AL FSP ESCAMBIA CO FS OFF,1815,,3546,,5361,,519,,1615,,2134,,374373
0105501 AL FSP ETOWQH CO FS OFF,4542,,6921,,11463,,1442,,3524,,4966,,807152
0105701 AL FSP FAYETTE CO FS OFF,1185,,1073,,2258,,420,,680,,1100,,150178
0105901 AL FSP FRANKLIN CO FS OFF,1659,,1236,,2895,,533,,785,,1318,,183069
0106101 AL FSP GENEVA CO FS OFF,1309,,1592,,2901,,438,,806,,1244,,191077
0106301 AL FSP GREENE CO FS OFF,1480,,1893,,3373,,407,,886,,1293,,224771
0106501 AL FSP HALE CO FS OFF,1419,,2245,,3664,,390,,966,,1356,,237696
0106701 AL FSP HENRY CO FS OFF,1305,,1110,,2415,,426,,682,,1108,,158817
0106901 AL FSP HOUSTON CO FS OFF,3939,,5884,,9823,,1137,,2763,,3900,,673074
0107101 AL FSP JACKSON CO FS OFF,2009,,2627,,4636,,654,,1334,,1988,,298460
0107301 AL FSP JEFFERSON CO FS OFF,33219,,36494,,69713,,8962,,19232,,28194,,5373493
0107501 AL FSP LAMAR CO FS OFF,804,,1046,,1850,,291,,555,,846,,119835
0107701 AL FSP LAUDERDALE CO FS OFF,2538,,3900,,6438,,759,,1834,,2593,,438306
0107901 AL FSP LAWRENCE CO FS OFF,1336,,1789,,3125,,396,,848,,1244,,196287
0108101 AL FSP LEE CO FOOD STAMP OFF,2740,,4795,,7535,,797,,2122,,2919,,544742
0108302 AL FSP LIMESTONE CO. FS OFF,1812,,3343,,5155,,905,,1375,,2280,,367146
0108501 AL FSP LOWNDES CO FS OFF,2032,,1912,,3944,,479,,987,,1466,,269691
0108701 AL FSP MACON CO FS OFF,2897,,3817,,6714,,838,,1972,,2810,,535197
0108902 AL FSP MADISON CO. FS OFF,8403,,13010,,21413,,3398,,6007,,9405,,1695298
0109101 AL FSP MARENGO CO FS OFC,2444,,2329,,4773,,661,,1145,,1806,,307556
0109301 AL FSP MARION CO FS OFF,1365,,1108,,2473,,466,,672,,1138,,154806
0109501 AL FSP MARSHALL CO FS OFF,2997,,3431,,6428,,961,,1735,,2696,,438364
0109701 AL FSP MOBILE CO FS OFF,27565,,39615,,67180,,6985,,19308,,26293,,5298677
0109901 AL FSP MONROE CO FS OFF,1484,,2869,,4353,,387,,1184,,1571,,305202
0110101 AL FSP MONTGOMERY CO FS OFF,15886,,18508,,34394,,3638,,9428,,13066,,2603861
0110301 AL FSP MORGAN CO FS OFF,2557,,3458,,6015,,745,,1605,,2350,,426962
0110501 AL FSP PERRY CO FS OFF,2405,,2472,,4877,,652,,1290,,1942,,335718
0110701 AL FSP PICKENS CO FS OFF,1987,,2134,,4121,,532,,1021,,1553,,273244
0110901 AL FSP PIKE CO FOOD STAMP OFC,2461,,2769,,5230,,705,,1461,,2166,,351563
0111101 AL FSP RANDOLPH CO FSO,1078,,1307,,2385,,307,,640,,947,,162161
0111301 AL FSP RUSSELL CO FS OFF,2816,,4492,,7308,,754,,2064,,2818,,535800
0111501 AL FSP ST CLAIR CO FS OFF,1853,,3439,,5292,,508,,1488,,1996,,366755
0111701 AL FSP SHELBY CO FS OFF,1584,,2788,,4372,,480,,1257,,1737,,312209
0111901 AL FSP SUMTER CO FS OFF,2632,,2050,,4682,,737,,1187,,1924,,324225
0112101 AL FSP TALLADEGA CO FS OFF,5402,,5676,,11078,,1534,,3036,,4570,,785399
0112301 AL FSP TALLAPOOSA CO FS OFF,1999,,3020,,5019,,549,,1465,,2014,,344578
0112501 AL FSP TUSCALOOSA CO FS OFF,7610,,10143,,17753,,1945,,5183,,7128,,1310745
0112701 AL FSP WALKER CO FS OFF,2491,,2500,,4991,,716,,1311,,2027,,356853
0112901 AL FSP WASHINGTON CO F S OFC,1359,,1304,,2663,,361,,703,,1064,,180995
0113101 AL FSP WILCOX CO FS OFF,3209,,2020,,5229,,789,,1261,,2050,,342081
0113301 AL FSP WINSTON CO FS OFF,836,,845,,1681,,284,,438,,722,,98263
0211005 AK FSP ALASKA,26116,,23177,,49293,,8664,,8024,,16688,,4536577
0400101 AZ FSP APACHE,10856,,14262,,25118,,2518,,4148,,6666,,1165783
0400301 AZ FSP COCHISE,6431,,8570,,15001,,2051,,3642,,5693,,1097100
0400501 AZ FSP COCONINO,5044,,7864,,12908,,1296,,2661,,3957,,924655
0400701 AZ FSP GILA,3553,,3804,,7357,,981,,1654,,2635,,548017
0400901 AZ FSP GRAHAM,1972,,2684,,4656,,567,,1040,,1607,,308325
0401101 AZ FSP GREENLEE,345,,390,,735,,107,,179,,286,,54571
0401301 AZ FSP MARICOPA,94228,,98286,,192514,,29892,,45107,,74999,,14659142
0401501 AZ FSP MOHAVE,5876,,9369,,15245,,1815,,3979,,5794,,1173547
0401701 AZ FSP NAVAJO,9588,,11250,,20838,,2403,,3601,,6004,,1479827
0401901 AZ FSP PIMA,31255,,42228,,73483,,9866,,19368,,29234,,5481571
0402101 AZ FSP PINAL,9356,,9268,,18624,,2687,,3945,,6632,,1349495
0402301 AZ FSP SANTA CRUZ,1745,,3507,,5252,,515,,1184,,1699,,373030
0402501 AZ FSP YAVAPAI,3032,,5659,,8691,,969,,2787,,3756,,654018
0402701 AZ FSP YUMA,7903,,13511,,21414,,2331,,4737,,7068,,1561016
0402901 AZ FSP LA PAZ CO DES,949,,1167,,2116,,277,,553,,830,,160909
0500101 AR FSP ARKANSAS COUNTY,487,,2446,,2933,,162,,1073,,1235,,206194
0500301 AR FSP ASHLEY COUNTY,631,,3058,,3689,,196,,1268,,1464,,246649
0500501 AR FSP BAXTER COUNTY,483,,2003,,2486,,164,,807,,971,,166276
0500701 AR FSP BENTON COUNTY,793,,4262,,5055,,259,,1630,,1889,,344207
0500901 AR FSP BOONE COUNTY,486,,2422,,2908,,156,,993,,1149,,196924
0501101 AR FSP BRADLEY COUNTY,300,,1461,,1761,,107,,685,,792,,125847
0501301 AR FSP CALHOUN COUNTY,90,,463,,553,,31,,201,,232,,35698
0501501 AR FSP CARROLL COUNTY,181,,1272,,1453,,59,,503,,562,,97950
0501701 AR FSP CHICOT COUNTY,920,,3033,,3953,,284,,1287,,1571,,257065
0501901 AR FSP CLARK COUNTY,201,,1821,,2022,,66,,852,,918,,132301
0502101 AR FSP CLAY COUNTY,222,,1456,,1678,,68,,636,,704,,96463
0502301 AR FSP CLEBURNE COUNTY,243,,1628,,1871,,81,,675,,756,,128636
0502501 AR FSP CLEVELAND COUNTY,102,,870,,972,,35,,378,,413,,64850
