NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:47 AM,,,,,
Jan 2009,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1108,,4450,,5558,,282,,1860,,2142,,584055
0100301 AL EBT BALDWIN CO FS OFF,1679,,9949,,11628,,486,,3648,,4134,,1270660
0100501 AL EBT BARBOUR CO FS OFF,1390,,3917,,5307,,384,,1732,,2116,,558661
0100701 AL EBT BIBB CO FS OFF,835,,2255,,3090,,230,,937,,1167,,303638
0100901 AL EBT BLOUNT CO FS OFF,1327,,4618,,5945,,400,,1813,,2213,,641059
0101101 AL EBT BULLOCK CO FS OFF,823,,1677,,2500,,198,,784,,982,,251885
0101301 AL EBT BUTLER CO FSO,1080,,3436,,4516,,288,,1620,,1908,,467221
0101501 AL EBT CALHOUN CO FS OFF,4297,,14163,,18460,,1304,,6337,,7641,,2067314
0101701 AL EBT CHAMBERS CO FS OFF,1581,,4985,,6566,,494,,2213,,2707,,703530
0101901 AL EBT CHEROKEE CO FS OFFICE,900,,3240,,4140,,275,,1367,,1642,,435256
0102101 AL EBT CHILTON CO FS OFF,1410,,5587,,6997,,430,,2289,,2719,,762120
0102301 AL EBT CHOCTAW CO FS OFF,740,,2155,,2895,,225,,1036,,1261,,301813
0102502 AL EBT CLARKE CO FS OFF.,1214,,4220,,5434,,621,,1651,,2272,,539162
0102701 AL EBT CLAY CO FS OFF,353,,1072,,1425,,102,,438,,540,,134249
0102901 AL EBT CLEBURNE CO FS OFF,397,,1572,,1969,,124,,649,,773,,203695
0103101 AL EBT COFFEE CO FS OFF,1025,,3727,,4752,,303,,1502,,1805,,473507
0103301 AL EBT COLBERT CO FS OFF,1499,,5459,,6958,,474,,2322,,2796,,731213
0103501 AL EBT CONECUH CO FS OFF,847,,2901,,3748,,262,,1332,,1594,,405967
0103701 AL EBT COOSA CO FSO,359,,1114,,1473,,103,,534,,637,,150255
0103901 AL EBT COVINGTON CO FS OFF,1378,,5350,,6728,,433,,2294,,2727,,704232
0104101 AL EBT CRENSHAW CO FSO,662,,1824,,2486,,215,,852,,1067,,259503
0104301 AL EBT CULLMAN CO FS OFF,1984,,6941,,8925,,621,,2822,,3443,,905271
0104501 AL EBT DALE CO FS OFF,1852,,6374,,8226,,544,,2878,,3422,,880557
0104701 AL EBT DALLAS CO FS OFF,4575,,10066,,14641,,1183,,4931,,6114,,1597197
0104901 AL EBT DEKALB CO FS OFF,1625,,8513,,10138,,446,,3269,,3715,,1026626
0105101 AL EBT ELMORE CO FS OFF,1680,,6358,,8038,,477,,2601,,3078,,855236
0105301 AL EBT ESCAMBIA CO FS OFF,1465,,6327,,7792,,425,,2645,,3070,,853238
0105501 AL EBT ETOWQH CO FS OFF,2987,,10438,,13425,,963,,4606,,5569,,1383572
0105701 AL EBT FAYETTE CO FS OFF,977,,2118,,3095,,328,,1035,,1363,,302206
0105901 AL EBT FRANKLIN CO FS OFF,1076,,4178,,5254,,332,,1782,,2114,,554023
0106101 AL EBT GENEVA CO FS OFF,890,,3488,,4378,,276,,1405,,1681,,462755
0106301 AL EBT GREENE CO FS OFF,716,,1723,,2439,,231,,749,,980,,255164
0106501 AL EBT HALE CO FS OFF,924,,2244,,3168,,242,,969,,1211,,301204
0106701 AL EBT HENRY CO FS OFF,608,,2326,,2934,,176,,1026,,1202,,293130
0106901 AL EBT HOUSTON CO FS OFF,3689,,10574,,14263,,1135,,4682,,5817,,1511844
0107101 AL EBT JACKSON CO FS OFF,1382,,6128,,7510,,442,,2463,,2905,,766879
0107301 AL EBT JEFFERSON CO FS OFF,22454,,60963,,83417,,6589,,29517,,36106,,9102518
0107501 AL EBT LAMAR CO FS OFF,673,,1615,,2288,,214,,782,,996,,228105
0107701 AL EBT LAUDERDALE CO FS OFF,2236,,7917,,10153,,730,,3412,,4142,,1031367
0107901 AL EBT LAWRENCE CO FS OFF,1138,,3331,,4469,,325,,1469,,1794,,438343
0108101 AL EBT LEE CO FOOD STAMP OFF,2481,,10403,,12884,,727,,4357,,5084,,1398292
0108302 AL EBT LIMESTONE CO. FS OFF,1337,,6660,,7997,,764,,2517,,3281,,858860
0108501 AL EBT LOWNDES CO FS OFF,1095,,2832,,3927,,274,,1372,,1646,,419381
0108701 AL EBT MACON CO FS OFF,1491,,4934,,6425,,461,,2746,,3207,,751697
0108902 AL EBT MADISON CO. FS OFF,3905,,19073,,22978,,2063,,7359,,9422,,2536021
0109101 AL EBT MARENGO CO FS OFC,1460,,2862,,4322,,420,,1412,,1832,,418782
0109301 AL EBT MARION CO FS OFF,1182,,4039,,5221,,385,,1721,,2106,,530155
0109501 AL EBT MARSHALL CO FS OFF,2174,,8783,,10957,,693,,3472,,4165,,1149008
0109701 AL EBT MOBILE CO FS OFF,14959,,57643,,72602,,4560,,24108,,28668,,8079559
0109901 AL EBT MONROE CO FS OFF,853,,3639,,4492,,238,,1426,,1664,,479423
0110101 AL EBT MONTGOMERY CO FS OFF,10502,,30742,,41244,,2920,,13916,,16836,,4707207
0110301 AL EBT MORGAN CO FS OFF,2325,,8520,,10845,,763,,3517,,4280,,1168519
0110501 AL EBT PERRY CO FS OFF,1190,,3070,,4260,,318,,1516,,1834,,455866
0110701 AL EBT PICKENS CO FS OFF,977,,2397,,3374,,277,,1074,,1351,,336126
0110901 AL EBT PIKE CO FOOD STAMP OFC,1883,,4169,,6052,,589,,2125,,2714,,647180
0111101 AL EBT RANDOLPH CO FSO,944,,3656,,4600,,266,,1504,,1770,,489129
0111301 AL EBT RUSSELL CO FS OFF,2226,,9251,,11477,,674,,3782,,4456,,1315183
0111501 AL EBT ST CLAIR CO FS OFF,1738,,6971,,8709,,479,,2810,,3289,,928217
0111701 AL EBT SHELBY CO FS OFF,1619,,6651,,8270,,476,,2717,,3193,,922394
0111901 AL EBT SUMTER CO FS OFF,1303,,2742,,4045,,375,,1431,,1806,,416360
0112101 AL EBT TALLADEGA CO FS OFF,3476,,10072,,13548,,1052,,4616,,5668,,1436583
0112301 AL EBT TALLAPOOSA CO FS OFF,1721,,5296,,7017,,487,,2281,,2768,,743663
0112501 AL EBT TUSCALOOSA CO FS OFF,5713,,14292,,20005,,1596,,6450,,8046,,2081784
0112701 AL EBT WALKER CO FS OFF,1764,,6362,,8126,,521,,2622,,3143,,879789
0112901 AL EBT WASHINGTON CO F S OFC,622,,2296,,2918,,174,,1023,,1197,,301547
0113101 AL EBT WILCOX CO FS OFF,1614,,3030,,4644,,391,,1595,,1986,,489896
0113301 AL EBT WINSTON CO FS OFF,799,,2536,,3335,,243,,1005,,1248,,326533
0211005 AK EBT ALASKA,11819,,49383,,61202,,4803,,18905,,23708,,9478338
0400101 AZ EBT APACHE,340,,22557,,22897,,103,,7666,,7769,,2458385
0400301 AZ EBT COCHISE,2609,,15489,,18098,,859,,7418,,8277,,1979097
0400301 AZ WRI COCHISE,0,,0,,0,,0,,0,,0,,0
0400501 AZ EBT COCONINO,589,,17394,,17983,,205,,6555,,6760,,1955895
0400701 AZ EBT GILA,2282,,7768,,10050,,615,,3844,,4459,,1148968
0400901 AZ EBT GRAHAM,1003,,4987,,5990,,291,,2242,,2533,,668803
0401101 AZ EBT GREENLEE,63,,647,,710,,21,,305,,326,,80887
0401301 AZ EBT MARICOPA,65453,,330724,,396177,,20757,,143167,,163924,,46348683
0401501 AZ EBT MOHAVE,3847,,28956,,32803,,1322,,13750,,15072,,3714998
0401701 AZ EBT NAVAJO,3920,,23684,,27604,,1092,,9018,,10110,,2964550
0401901 AZ EBT PIMA,18135,,104352,,122487,,5944,,48939,,54883,,14049533
0402101 AZ EBT PINAL,5575,,33262,,38837,,1597,,13779,,15376,,4428319
0402301 AZ EBT SANTA CRUZ,868,,8084,,8952,,268,,3024,,3292,,924201
0402501 AZ EBT YAVAPAI,1770,,18122,,19892,,611,,9037,,9648,,2251849
0402701 AZ EBT YUMA,3260,,27974,,31234,,1013,,10745,,11758,,3144386
0402901 AZ EBT LA PAZ CO DES,659,,2587,,3246,,200,,1345,,1545,,377638
0500101 AR EBT ARKANSAS COUNTY,215,,3258,,3473,,64,,1515,,1579,,362557
0500301 AR EBT ASHLEY COUNTY,276,,4326,,4602,,87,,1991,,2078,,488072
0500501 AR EBT BAXTER COUNTY,162,,4456,,4618,,55,,1928,,1983,,446984
0500701 AR EBT BENTON COUNTY,236,,13413,,13649,,82,,4847,,4929,,1468427
0500901 AR EBT BOONE COUNTY,256,,4304,,4560,,76,,1722,,1798,,450569
0501101 AR EBT BRADLEY COUNTY,196,,2257,,2453,,61,,1152,,1213,,246859
0501301 AR EBT CALHOUN COUNTY,69,,539,,608,,21,,267,,288,,59888
0501501 AR EBT CARROLL COUNTY,76,,2748,,2824,,22,,1124,,1146,,279961
0501701 AR EBT CHICOT COUNTY,288,,3096,,3384,,93,,1532,,1625,,345962
0501901 AR EBT CLARK COUNTY,134,,2993,,3127,,43,,1376,,1419,,320344
0502101 AR EBT CLAY COUNTY,149,,1891,,2040,,45,,683,,728,,191597
0502301 AR EBT CLEBURNE COUNTY,102,,2507,,2609,,33,,1047,,1080,,252052
0502501 AR EBT CLEVELAND COUNTY,134,,1277,,1411,,40,,547,,587,,144026
0502701 AR EBT COLUMBIA COUNTY,354,,4842,,5196,,107,,2334,,2441,,548617
0502901 AR EBT CONWAY COUNTY,97,,3450,,3547,,26,,1482,,1508,,359905
0503101 AR EBT CRAIGHEAD COUNTY,961,,11595,,12556,,279,,4288,,4567,,1381884
0503301 AR EBT CRAWFORD COUNTY,252,,7987,,8239,,77,,2940,,3017,,828270
0503501 AR EBT CRITTENDEN COUNTY,1172,,11668,,12840,,330,,4541,,4871,,1387663
0503701 AR EBT CROSS COUNTY,183,,2724,,2907,,54,,1068,,1122,,289857
0503901 AR EBT DALLAS COUNTY,162,,1373,,1535,,46,,679,,725,,151363
0504101 AR EBT DESHA COUNTY,256,,3201,,3457,,77,,1470,,1547,,357579
0504301 AR EBT DREW COUNTY,159,,3526,,3685,,54,,1659,,1713,,400591
0504501 AR EBT FAULKNER COUNTY,429,,9241,,9670,,136,,3757,,3893,,1007960
0504701 AR EBT FRANKLIN COUNTY,89,,2696,,2785,,29,,1091,,1120,,278631
0504901 AR EBT FULTON COUNTY,121,,1739,,1860,,39,,686,,725,,181424
0505101 AR EBT GARLAND COUNTY,636,,11866,,12502,,195,,5184,,5379,,1323857
0505301 AR EBT GRANT COUNTY,42,,1680,,1722,,12,,687,,699,,180499
0505501 AR EBT GREENE COUNTY,342,,5931,,6273,,107,,2257,,2364,,652307
