NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:27 PM,,,,,
Jul 1992,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1975,,2781,,4756,,544,,1215,,1759,,307767
0100301 AL FSP BALDWIN CO FS OFF,2745,,4870,,7615,,708,,1889,,2597,,475728
0100501 AL FSP BARBOUR CO FS OFF,2894,,2570,,5464,,748,,1265,,2013,,334885
0100701 AL FSP BIBB CO FS OFF,890,,1477,,2367,,235,,603,,838,,138056
0100901 AL FSP BLOUNT CO FS OFF,1485,,2144,,3629,,454,,975,,1429,,223647
0101101 AL FSP BULLOCK CO FS OFF,1842,,1009,,2851,,464,,519,,983,,174732
0101301 AL FSP BUTLER CO FSO,2246,,2493,,4739,,543,,1091,,1634,,278624
0101501 AL FSP CALHOUN CO FS OFF,6302,,7680,,13982,,1710,,3711,,5421,,964892
0101701 AL FSP CHAMBERS CO FS OFF,2284,,2766,,5050,,622,,1232,,1854,,327855
0101901 AL FSP CHEROKEE CO FS OFFICE,862,,1155,,2017,,271,,607,,878,,120635
0102101 AL FSP CHILTON CO FS OFF,1659,,2523,,4182,,503,,1115,,1618,,261718
0102301 AL FSP CHOCTAW CO FS OFF,1620,,1422,,3042,,433,,702,,1135,,184964
0102501 AL WRI CLARKE CO FS OFF,2420,,3789,,6209,,800,,1427,,2227,,415320
0102701 AL FSP CLAY CO FS OFF,665,,431,,1096,,186,,257,,443,,55768
0102901 AL FSP CLEBURNE CO FS OFF,664,,621,,1285,,217,,332,,549,,77770
0103101 AL FSP COFFEE CO FS OFF,1907,,1693,,3600,,579,,837,,1416,,215764
0103301 AL FSP COLBERT CO FS OFF,1851,,3103,,4954,,549,,1290,,1839,,303438
