NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:55 AM,,,,,
Jan 2005,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,1022,,3336,,4358,,244,,1397,,1641,,383770
0100301 AL EBT BALDWIN CO FS OFF,1533,,6054,,7587,,458,,2255,,2713,,641974
0100501 AL EBT BARBOUR CO FS OFF,1516,,3666,,5182,,386,,1593,,1979,,448585
0100701 AL EBT BIBB CO FS OFF,639,,1836,,2475,,177,,749,,926,,201576
0100901 AL EBT BLOUNT CO FS OFF,1047,,3102,,4149,,294,,1224,,1518,,362084
0101101 AL EBT BULLOCK CO FS OFF,861,,1417,,2278,,224,,653,,877,,180030
0101301 AL EBT BUTLER CO FSO,1008,,2607,,3615,,264,,1166,,1430,,293253
0101501 AL EBT CALHOUN CO FS OFF,3727,,10053,,13780,,1066,,4513,,5579,,1304947
0101701 AL EBT CHAMBERS CO FS OFF,1358,,3732,,5090,,391,,1648,,2039,,457544
0101901 AL EBT CHEROKEE CO FS OFFICE,854,,2422,,3276,,250,,1004,,1254,,292020
0102101 AL EBT CHILTON CO FS OFF,1217,,3634,,4851,,355,,1499,,1854,,429422
0102301 AL EBT CHOCTAW CO FS OFF,749,,2035,,2784,,215,,920,,1135,,245255
0102502 AL EBT CLARKE CO FS OFF.,1317,,4060,,5377,,685,,1503,,2188,,449026
0102701 AL EBT CLAY CO FS OFF,343,,617,,960,,109,,280,,389,,69902
0102901 AL EBT CLEBURNE CO FS OFF,392,,1072,,1464,,120,,459,,579,,127835
0103101 AL EBT COFFEE CO FS OFF,1141,,3038,,4179,,317,,1267,,1584,,348423
0103301 AL EBT COLBERT CO FS OFF,1486,,4712,,6198,,458,,2067,,2525,,552989
0103501 AL EBT CONECUH CO FS OFF,931,,2176,,3107,,289,,1023,,1312,,269488
0103701 AL EBT COOSA CO FSO,396,,830,,1226,,100,,377,,477,,98258
0103901 AL EBT COVINGTON CO FS OFF,1586,,4261,,5847,,504,,1952,,2456,,501749
0104101 AL EBT CRENSHAW CO FSO,710,,1426,,2136,,196,,717,,913,,176939
0104301 AL EBT CULLMAN CO FS OFF,1559,,4770,,6329,,494,,2018,,2512,,555184
0104501 AL EBT DALE CO FS OFF,1751,,5453,,7204,,511,,2309,,2820,,647211
0104701 AL EBT DALLAS CO FS OFF,4673,,8472,,13145,,1140,,4020,,5160,,1155846
0104901 AL EBT DEKALB CO FS OFF,1744,,5058,,6802,,517,,2081,,2598,,602935
0105101 AL EBT ELMORE CO FS OFF,1699,,4556,,6255,,464,,1802,,2266,,538606
0105301 AL EBT ESCAMBIA CO FS OFF,1321,,4288,,5609,,406,,1809,,2215,,495417
0105501 AL EBT ETOWQH CO FS OFF,2877,,7413,,10290,,926,,3318,,4244,,871754
0105701 AL EBT FAYETTE CO FS OFF,978,,1830,,2808,,334,,927,,1261,,245282
0105901 AL EBT FRANKLIN CO FS OFF,1095,,3021,,4116,,348,,1376,,1724,,354931
0106101 AL EBT GENEVA CO FS OFF,891,,2560,,3451,,272,,1111,,1383,,299949
0106301 AL EBT GREENE CO FS OFF,860,,1715,,2575,,229,,791,,1020,,222342
0106501 AL EBT HALE CO FS OFF,775,,2060,,2835,,199,,850,,1049,,227191
0106701 AL EBT HENRY CO FS OFF,723,,1785,,2508,,225,,858,,1083,,211135
0106901 AL EBT HOUSTON CO FS OFF,3288,,8147,,11435,,990,,3557,,4547,,1003013
0107101 AL EBT JACKSON CO FS OFF,1624,,4750,,6374,,511,,2041,,2552,,540931
0107301 AL EBT JEFFERSON CO FS OFF,22965,,45750,,68715,,6652,,21875,,28527,,6218133
0107501 AL EBT LAMAR CO FS OFF,637,,1349,,1986,,220,,667,,887,,163805
0107701 AL EBT LAUDERDALE CO FS OFF,2122,,7041,,9163,,651,,3127,,3778,,811648
0107901 AL EBT LAWRENCE CO FS OFF,1037,,2775,,3812,,310,,1189,,1499,,320928
0108101 AL EBT LEE CO FOOD STAMP OFF,2181,,7449,,9630,,627,,3096,,3723,,857568
0108302 AL EBT LIMESTONE CO. FS OFF,1296,,4429,,5725,,733,,1669,,2402,,493140
0108501 AL EBT LOWNDES CO FS OFF,1157,,2464,,3621,,299,,1170,,1469,,312352
0108701 AL EBT MACON CO FS OFF,1638,,4716,,6354,,495,,2447,,2942,,601593
0108902 AL EBT MADISON CO. FS OFF,4148,,12718,,16866,,2060,,4847,,6907,,1536225
0109101 AL EBT MARENGO CO FS OFC,1572,,2626,,4198,,446,,1289,,1735,,335700
0109301 AL EBT MARION CO FS OFF,1049,,3109,,4158,,355,,1394,,1749,,357503
0109501 AL EBT MARSHALL CO FS OFF,2111,,6828,,8939,,664,,2811,,3475,,794648
0109701 AL EBT MOBILE CO FS OFF,18267,,47347,,65614,,5300,,19876,,25176,,6187224
0109901 AL EBT MONROE CO FS OFF,869,,2577,,3446,,251,,1038,,1289,,304060
0110101 AL EBT MONTGOMERY CO FS OFF,12181,,26127,,38308,,3239,,11855,,15094,,3595870
0110301 AL EBT MORGAN CO FS OFF,2050,,6373,,8423,,652,,2571,,3223,,751090
0110501 AL EBT PERRY CO FS OFF,1497,,2862,,4359,,400,,1382,,1782,,379545
0110701 AL EBT PICKENS CO FS OFF,1110,,2267,,3377,,284,,1018,,1302,,277349
0110901 AL EBT PIKE CO FOOD STAMP OFC,1781,,3864,,5645,,552,,1878,,2430,,503296
0111101 AL EBT RANDOLPH CO FSO,830,,2566,,3396,,234,,1066,,1300,,296093
0111301 AL EBT RUSSELL CO FS OFF,2071,,6850,,8921,,597,,2810,,3407,,841268
0111501 AL EBT ST CLAIR CO FS OFF,1626,,4670,,6296,,430,,1974,,2404,,539038
0111701 AL EBT SHELBY CO FS OFF,1301,,3923,,5224,,399,,1625,,2024,,472575
0111901 AL EBT SUMTER CO FS OFF,1493,,2411,,3904,,410,,1239,,1649,,332825
0112101 AL EBT TALLADEGA CO FS OFF,3147,,7827,,10974,,955,,3579,,4534,,979216
0112301 AL EBT TALLAPOOSA CO FS OFF,1311,,4074,,5385,,349,,1719,,2068,,476053
0112501 AL EBT TUSCALOOSA CO FS OFF,4990,,12414,,17404,,1437,,5522,,6959,,1490365
0112701 AL EBT WALKER CO FS OFF,1716,,5039,,6755,,491,,2125,,2616,,617875
0112901 AL EBT WASHINGTON CO F S OFC,749,,2137,,2886,,215,,926,,1141,,254828
0113101 AL EBT WILCOX CO FS OFF,1813,,3035,,4848,,456,,1505,,1961,,422712
0113301 AL EBT WINSTON CO FS OFF,727,,2144,,2871,,226,,883,,1109,,240831
0211005 AK EBT ALASKA,0,,0,,0,,0,,0,,0,,0
0292301 AK EBT AK DEPT OF HEALTH & SOCIAL SERVICES,15336,,40575,,55911,,5575,,14705,,20280,,6783679
0400101 AZ EBT APACHE,476,,21981,,22457,,142,,6812,,6954,,2014711
0400301 AZ EBT COCHISE,3198,,12306,,15504,,1041,,5531,,6572,,1438883
0400501 AZ EBT COCONINO,887,,14029,,14916,,278,,4772,,5050,,1366730
0400701 AZ EBT GILA,2546,,5762,,8308,,710,,2668,,3378,,799236
0400901 AZ EBT GRAHAM,1279,,4300,,5579,,393,,1850,,2243,,513043
0401101 AZ EBT GREENLEE,189,,719,,908,,58,,343,,401,,84470
0401301 AZ EBT MARICOPA,70605,,200764,,271369,,22337,,88154,,110491,,26777091
0401501 AZ EBT MOHAVE,3971,,17931,,21902,,1277,,7821,,9098,,2044898
0401701 AZ EBT NAVAJO,4059,,19269,,23328,,1093,,6808,,7901,,2099723
0401901 AZ EBT PIMA,21712,,67109,,88821,,6997,,30372,,37369,,8568353
0402101 AZ EBT PINAL,5829,,18796,,24625,,1678,,7918,,9596,,2343192
0402301 AZ EBT SANTA CRUZ,885,,5820,,6705,,281,,2166,,2447,,570205
0402501 AZ EBT YAVAPAI,1918,,11404,,13322,,625,,5754,,6379,,1261537
0402701 AZ EBT YUMA,3851,,19503,,23354,,1192,,7286,,8478,,2060886
0402901 AZ EBT LA PAZ CO DES,759,,1789,,2548,,218,,905,,1123,,253541
0500101 AR EBT ARKANSAS COUNTY,155,,3341,,3496,,47,,1470,,1517,,320354
0500301 AR EBT ASHLEY COUNTY,264,,4333,,4597,,76,,2008,,2084,,426572
0500501 AR EBT BAXTER COUNTY,117,,4228,,4345,,37,,1727,,1764,,378487
0500701 AR EBT BENTON COUNTY,184,,10745,,10929,,60,,3827,,3887,,986787
0500901 AR EBT BOONE COUNTY,397,,3553,,3950,,122,,1480,,1602,,336784
0501101 AR EBT BRADLEY COUNTY,162,,1998,,2160,,55,,1000,,1055,,188142
0501301 AR EBT CALHOUN COUNTY,68,,566,,634,,19,,262,,281,,54169
0501501 AR EBT CARROLL COUNTY,49,,2222,,2271,,15,,906,,921,,190866
0501701 AR EBT CHICOT COUNTY,371,,3656,,4027,,112,,1697,,1809,,352400
0501901 AR EBT CLARK COUNTY,75,,2509,,2584,,24,,1175,,1199,,234603
0502101 AR EBT CLAY COUNTY,180,,1812,,1992,,52,,770,,822,,152015
0502301 AR EBT CLEBURNE COUNTY,34,,2446,,2480,,12,,1009,,1021,,198816
0502501 AR EBT CLEVELAND COUNTY,106,,1233,,1339,,32,,520,,552,,120232
0502701 AR EBT COLUMBIA COUNTY,360,,5093,,5453,,102,,2390,,2492,,502049
0502901 AR EBT CONWAY COUNTY,60,,3297,,3357,,19,,1415,,1434,,287764
0503101 AR EBT CRAIGHEAD COUNTY,876,,10020,,10896,,253,,3937,,4190,,1013857
0503301 AR EBT CRAWFORD COUNTY,223,,6791,,7014,,69,,2420,,2489,,593498
0503501 AR EBT CRITTENDEN COUNTY,1316,,11938,,13254,,345,,4667,,5012,,1221019
0503701 AR EBT CROSS COUNTY,166,,3315,,3481,,43,,1337,,1380,,288930
0503901 AR EBT DALLAS COUNTY,146,,1377,,1523,,45,,650,,695,,127560
0504101 AR EBT DESHA COUNTY,167,,3403,,3570,,49,,1501,,1550,,322505
0504301 AR EBT DREW COUNTY,96,,3569,,3665,,32,,1590,,1622,,342509
0504501 AR EBT FAULKNER COUNTY,405,,7982,,8387,,123,,3190,,3313,,765841
