NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:31 PM,,,,,
Jan 1991,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1865,,2638,,4503,,489,,1137,,1626,,270145
0100301 AL FSP BALDWIN CO FS OFF,2540,,4384,,6924,,659,,1663,,2322,,417765
0100501 AL FSP BARBOUR CO FS OFF,2604,,2629,,5233,,668,,1236,,1904,,310863
0100701 AL FSP BIBB CO FS OFF,858,,1447,,2305,,231,,558,,789,,122349
0100901 AL FSP BLOUNT CO FS OFF,1374,,1956,,3330,,425,,878,,1303,,194467
0101101 AL FSP BULLOCK CO FS OFF,1725,,792,,2517,,417,,427,,844,,144012
0101301 AL FSP BUTLER CO FSO,2278,,2395,,4673,,537,,993,,1530,,267145
0101501 AL FSP CALHOUN CO FS OFF,5207,,6643,,11850,,1401,,3114,,4515,,774824
0101701 AL FSP CHAMBERS CO FS OFF,2066,,2044,,4110,,563,,899,,1462,,256178
0101901 AL FSP CHEROKEE CO FS OFFICE,785,,1049,,1834,,240,,491,,731,,103500
0102101 AL FSP CHILTON CO FS OFF,1571,,2344,,3915,,463,,1025,,1488,,238837
0102301 AL FSP CHOCTAW CO FS OFF,1688,,1510,,3198,,440,,677,,1117,,190643
0102501 AL WRI CLARKE CO FS OFF,2935,,2793,,5728,,864,,964,,1828,,360099
0102701 AL FSP CLAY CO FS OFF,551,,473,,1024,,170,,247,,417,,49262
0102901 AL FSP CLEBURNE CO FS OFF,688,,490,,1178,,229,,274,,503,,68587
0103101 AL FSP COFFEE CO FS OFF,1797,,1516,,3313,,556,,739,,1295,,181423
0103301 AL FSP COLBERT CO FS OFF,1644,,2649,,4293,,510,,1099,,1609,,249903
0103501 AL FSP CONECUH CO FS OFF,1727,,2025,,3752,,469,,980,,1449,,224849
0103701 AL FSP COOSA CO FSO,500,,550,,1050,,137,,239,,376,,53801
0103901 AL FSP COVINGTON CO FS OFF,2297,,2971,,5268,,696,,1402,,2098,,295241
0104101 AL FSP CRENSHAW CO FSO,1265,,791,,2056,,366,,472,,838,,115832
0104301 AL FSP CULLMAN CO FS OFF,2249,,3871,,6120,,782,,1629,,2411,,345188
0104501 AL FSP DALE CO FS OFF,1865,,3373,,5238,,508,,1307,,1815,,329138
0104701 AL FSP DALLAS CO FS OFF,9065,,5527,,14592,,2142,,2921,,5063,,939427
0104901 AL FSP DEKALB CO FS OFF,2454,,2679,,5133,,759,,1290,,2049,,296133
0105101 AL FSP ELMORE CO FS OFF,1896,,2488,,4384,,455,,948,,1403,,249171
0105301 AL FSP ESCAMBIA CO FS OFF,2379,,3167,,5546,,632,,1363,,1995,,337614
0105501 AL FSP ETOWQH CO FS OFF,4562,,6841,,11403,,1426,,3211,,4637,,714781
0105701 AL FSP FAYETTE CO FS OFF,1376,,1032,,2408,,433,,610,,1043,,141491
0105901 AL FSP FRANKLIN CO FS OFF,1843,,1831,,3674,,624,,1030,,1654,,213421
0106101 AL FSP GENEVA CO FS OFF,1650,,1529,,3179,,481,,781,,1262,,181772
0106301 AL FSP GREENE CO FS OFF,2012,,1539,,3551,,504,,747,,1251,,209860
0106501 AL FSP HALE CO FS OFF,1719,,2493,,4212,,414,,955,,1369,,235476
0106701 AL FSP HENRY CO FS OFF,1345,,1060,,2405,,448,,586,,1034,,129768
0106901 AL FSP HOUSTON CO FS OFF,4314,,5063,,9377,,1200,,2244,,3444,,570505
0107101 AL FSP JACKSON CO FS OFF,2086,,3101,,5187,,656,,1412,,2068,,296283
0107301 AL FSP JEFFERSON CO FS OFF,33711,,33330,,67041,,9409,,15454,,24863,,4623550
0107501 AL FSP LAMAR CO FS OFF,918,,733,,1651,,323,,406,,729,,91318
0107701 AL FSP LAUDERDALE CO FS OFF,2786,,3636,,6422,,847,,1613,,2460,,381025
0107901 AL FSP LAWRENCE CO FS OFF,1789,,2035,,3824,,488,,919,,1407,,224224
0108101 AL FSP LEE CO FOOD STAMP OFF,2897,,4313,,7210,,858,,1845,,2703,,453621
0108301 AL WRI LIMESTONE CO FS OFF,2680,,3022,,5702,,881,,1313,,2194,,362226
0108501 AL FSP LOWNDES CO FS OFF,2286,,1928,,4214,,505,,719,,1224,,249616
0108701 AL FSP MACON CO FS OFF,3340,,3326,,6666,,923,,1714,,2637,,456421
0108901 AL WRI MADISON CO FS OFF,9395,,9814,,19209,,3264,,4440,,7704,,1919226
