NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:36 PM,,,,,
Jul 1989,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1670,,2069,,3739,,458,,851,,1309,,180830
0100301 AL FSP BALDWIN CO FS OFF,2282,,3266,,5548,,595,,1228,,1823,,282876
0100501 AL FSP BARBOUR CO FS OFF,2680,,2376,,5056,,656,,1104,,1760,,243989
0100701 AL FSP BIBB CO FS OFF,842,,1214,,2056,,217,,480,,697,,95961
0100901 AL FSP BLOUNT CO FS OFF,1279,,1113,,2392,,408,,607,,1015,,110781
0101101 AL FSP BULLOCK CO FS OFF,1727,,837,,2564,,426,,435,,861,,123528
0101301 AL FSP BUTLER CO FSO,2204,,2017,,4221,,487,,830,,1317,,197316
0101501 AL FSP CALHOUN CO FS OFF,4935,,5226,,10161,,1327,,2500,,3827,,548530
0101701 AL FSP CHAMBERS CO FS OFF,2000,,1581,,3581,,535,,776,,1311,,179080
0101901 AL FSP CHEROKEE CO FS OFFICE,783,,869,,1652,,234,,441,,675,,72318
0102101 AL FSP CHILTON CO FS OFF,1325,,1771,,3096,,415,,795,,1210,,146565
0102301 AL FSP CHOCTAW CO FS OFF,1820,,1251,,3071,,446,,614,,1060,,150322
0102501 AL FSP CLARKE CO FS OFF,2481,,2517,,4998,,536,,917,,1453,,247433
0102701 AL FSP CLAY CO FS OFF,608,,381,,989,,182,,223,,405,,40875
0102901 AL FSP CLEBURNE CO FS OFF,667,,276,,943,,228,,203,,431,,42066
0103101 AL FSP COFFEE CO FS OFF,1806,,1071,,2877,,550,,599,,1149,,126120
0103301 AL FSP COLBERT CO FS OFF,1675,,2057,,3732,,516,,940,,1456,,180906
0103501 AL FSP CONECUH CO FS OFF,1617,,1913,,3530,,455,,889,,1344,,174438
0103701 AL FSP COOSA CO FSO,517,,450,,967,,136,,219,,355,,40876
0103901 AL FSP COVINGTON CO FS OFF,2235,,2256,,4491,,675,,1148,,1823,,206585
0104101 AL FSP CRENSHAW CO FSO,1257,,643,,1900,,352,,399,,751,,87162
0104301 AL FSP CULLMAN CO FS OFF,2323,,2482,,4805,,799,,1243,,2042,,220701
0104501 AL FSP DALE CO FS OFF,1669,,2683,,4352,,456,,1010,,1466,,222626
0104701 AL FSP DALLAS CO FS OFF,8518,,5157,,13675,,1985,,2585,,4570,,736958
0104901 AL FSP DEKALB CO FS OFF,2338,,1998,,4336,,694,,1064,,1758,,201912
0105101 AL FSP ELMORE CO FS OFF,1716,,1931,,3647,,417,,768,,1185,,163743
0105301 AL FSP ESCAMBIA CO FS OFF,2181,,3382,,5563,,548,,1374,,1922,,280495
0105501 AL FSP ETOWQH CO FS OFF,4150,,5006,,9156,,1317,,2503,,3820,,461967
0105701 AL FSP FAYETTE CO FS OFF,1308,,779,,2087,,399,,518,,917,,103910
0105901 AL FSP FRANKLIN CO FS OFF,1857,,1243,,3100,,623,,809,,1432,,148625
0106101 AL FSP GENEVA CO FS OFF,1545,,1318,,2863,,474,,669,,1143,,135387
0106301 AL FSP GREENE CO FS OFF,2193,,1270,,3463,,524,,615,,1139,,165804
0106501 AL FSP HALE CO FS OFF,1935,,2267,,4202,,453,,843,,1296,,196716
0106701 AL FSP HENRY CO FS OFF,1347,,789,,2136,,423,,492,,915,,98486
0106901 AL FSP HOUSTON CO FS OFF,3789,,4440,,8229,,1038,,1892,,2930,,411568
0107101 AL FSP JACKSON CO FS OFF,2079,,2397,,4476,,633,,1198,,1831,,206717
0107301 AL FSP JEFFERSON CO FS OFF,30354,,28108,,58462,,8262,,12890,,21152,,3338422
0107501 AL FSP LAMAR CO FS OFF,834,,579,,1413,,288,,348,,636,,63844
0107701 AL FSP LAUDERDALE CO FS OFF,2727,,3227,,5954,,812,,1491,,2303,,294949
0107901 AL FSP LAWRENCE CO FS OFF,1769,,1681,,3450,,493,,809,,1302,,163389
0108101 AL FSP LEE CO FOOD STAMP OFF,2835,,2961,,5796,,853,,1363,,2216,,305636
0108301 AL FSP LIMESTONE CO FS OFF,1642,,2225,,3867,,500,,971,,1471,,175991
0108501 AL FSP LOWNDES CO FS OFF,2230,,1620,,3850,,450,,594,,1044,,195810
0108701 AL FSP MACON CO FS OFF,3258,,2575,,5833,,894,,1295,,2189,,333355
0108901 AL FSP MADISON CO FS OFF,6951,,7436,,14387,,2106,,3534,,5640,,806414
0109101 AL FSP MARENGO CO FS OFC,2780,,2315,,5095,,629,,998,,1627,,244276
0109301 AL FSP MARION CO FS OFF,1751,,1038,,2789,,593,,673,,1266,,121796
0109501 AL FSP MARSHALL CO FS OFF,3418,,2196,,5614,,1127,,1268,,2395,,267546
0109701 AL FSP MOBILE CO FS OFF,24685,,31352,,56037,,6315,,12835,,19150,,3327737
0109901 AL FSP MONROE CO FS OFF,1845,,2111,,3956,,409,,793,,1202,,188797
0110101 AL FSP MONTGOMERY CO FS OFF,13714,,13460,,27174,,3391,,5702,,9093,,1532056
0110301 AL FSP MORGAN CO FS OFF,3008,,2781,,5789,,906,,1305,,2211,,296781
0110501 AL FSP PERRY CO FS OFF,2579,,2099,,4678,,575,,923,,1498,,237497
0110701 AL FSP PICKENS CO FS OFF,2006,,1444,,3450,,478,,619,,1097,,162115
0110901 AL FSP PIKE CO FOOD STAMP OFC,2916,,2024,,4940,,865,,1046,,1911,,239425
0111101 AL FSP RANDOLPH CO FSO,1125,,900,,2025,,316,,439,,755,,94044
0111301 AL FSP RUSSELL CO FS OFF,2665,,2922,,5587,,761,,1247,,2008,,291086
0111501 AL FSP ST CLAIR CO FS OFF,1330,,2190,,3520,,324,,866,,1190,,175981
0111701 AL FSP SHELBY CO FS OFF,1617,,1950,,3567,,497,,866,,1363,,180438
0111901 AL FSP SUMTER CO FS OFF,2958,,1886,,4844,,702,,954,,1656,,245425
0112101 AL FSP TALLADEGA CO FS OFF,5208,,4630,,9838,,1372,,2119,,3491,,509598
0112301 AL FSP TALLAPOOSA CO FS OFF,1999,,2141,,4140,,574,,1023,,1597,,202669
0112501 AL FSP TUSCALOOSA CO FS OFF,8181,,7955,,16136,,2210,,3689,,5899,,884841
0112701 AL FSP WALKER CO FS OFF,2883,,2612,,5495,,780,,1243,,2023,,285881
0112901 AL FSP WASHINGTON CO F S OFC,1566,,1304,,2870,,418,,616,,1034,,149493
0113101 AL FSP WILCOX CO FS OFF,3296,,2162,,5458,,690,,1040,,1730,,272539
0113301 AL FSP WINSTON CO FS OFF,762,,866,,1628,,262,,442,,704,,71562
0211005 AK FSP ALASKA,10892,,13854,,24746,,3965,,4327,,8292,,1808937
0400101 AZ FSP APACHE,6546,,12161,,18707,,1480,,3024,,4504,,972450
0400301 AZ FSP COCHISE,3954,,5944,,9898,,1187,,2228,,3415,,524804
0400501 AZ FSP COCONINO,3398,,5934,,9332,,902,,1739,,2641,,484761
0400701 AZ FSP GILA,2291,,3664,,5955,,609,,1347,,1956,,307019
0400901 AZ FSP GRAHAM,1621,,2570,,4191,,440,,885,,1325,,204520
0401101 AZ FSP GREENLEE,344,,476,,820,,105,,199,,304,,43789
0401301 AZ FSP MARICOPA,59808,,59267,,119075,,17985,,25282,,43267,,6771768
0401501 AZ FSP MOHAVE,1720,,3666,,5386,,538,,1495,,2033,,293657
0401701 AZ FSP NAVAJO,5011,,8185,,13196,,1206,,2196,,3402,,713661
0401901 AZ FSP PIMA,20766,,28732,,49498,,6216,,11984,,18200,,2753902
0402101 AZ FSP PINAL,7721,,8201,,15922,,2054,,2962,,5016,,836963
0402301 AZ FSP SANTA CRUZ,874,,2492,,3366,,218,,802,,1020,,164880
0402501 AZ FSP YAVAPAI,1912,,3207,,5119,,606,,1397,,2003,,273054
0402701 AZ FSP YUMA,3402,,7564,,10966,,998,,2491,,3489,,583986
0402901 AZ FSP LA PAZ CO DES,450,,626,,1076,,125,,248,,373,,56375
0500101 AR FSP ARKANSAS COUNTY,584,,1596,,2180,,179,,662,,841,,99730
0500301 AR FSP ASHLEY COUNTY,652,,2273,,2925,,198,,802,,1000,,139217
0500501 AR FSP BAXTER COUNTY,64,,1357,,1421,,20,,507,,527,,65185
0500701 AR FSP BENTON COUNTY,409,,2439,,2848,,120,,933,,1053,,127339
0500901 AR FSP BOONE COUNTY,161,,1621,,1782,,55,,662,,717,,74936
0501101 AR FSP BRADLEY COUNTY,413,,1099,,1512,,139,,450,,589,,72607
0501301 AR FSP CALHOUN COUNTY,108,,547,,655,,33,,209,,242,,28188
0501501 AR FSP CARROLL COUNTY,112,,717,,829,,36,,304,,340,,37938
0501701 AR FSP CHICOT COUNTY,1062,,2990,,4052,,281,,1006,,1287,,180401
0501901 AR FSP CLARK COUNTY,376,,1485,,1861,,121,,647,,768,,85989
0502101 AR FSP CLAY COUNTY,241,,1382,,1623,,79,,646,,725,,63376
0502301 AR FSP CLEBURNE COUNTY,113,,889,,1002,,37,,364,,401,,43216
0502501 AR FSP CLEVELAND COUNTY,100,,660,,760,,31,,273,,304,,31878
0502701 AR FSP COLUMBIA COUNTY,943,,3125,,4068,,267,,1237,,1504,,195978
0502901 AR FSP CONWAY COUNTY,473,,1829,,2302,,143,,874,,1017,,105366
0503101 AR FSP CRAIGHEAD COUNTY,1137,,3862,,4999,,354,,1576,,1930,,232478
0503301 AR FSP CRAWFORD COUNTY,577,,2469,,3046,,185,,845,,1030,,140041
0503501 AR FSP CRITTENDEN COUNTY,1660,,6317,,7977,,430,,1949,,2379,,363461
0503701 AR FSP CROSS COUNTY,746,,1847,,2593,,339,,488,,827,,105122
0503901 AR FSP DALLAS COUNTY,177,,944,,1121,,48,,356,,404,,51225
0504101 AR FSP DESHA COUNTY,1008,,2372,,3380,,272,,812,,1084,,148125
0504301 AR FSP DREW COUNTY,508,,1396,,1904,,162,,601,,763,,89039
0504501 AR FSP FAULKNER COUNTY,542,,1836,,2378,,169,,786,,955,,120422
0504701 AR FSP FRANKLIN COUNTY,147,,940,,1087,,53,,382,,435,,48155
0504901 AR FSP FULTON COUNTY,96,,1171,,1267,,30,,472,,502,,53575
0505101 AR FSP GARLAND COUNTY,1028,,3841,,4869,,326,,1596,,1922,,256969
0505301 AR FSP GRANT COUNTY,48,,603,,651,,14,,261,,275,,26567
0505501 AR FSP GREENE COUNTY,320,,2065,,2385,,107,,913,,1020,,102039
0505701 AR FSP HEMPSTEAD COUNTY,596,,2036,,2632,,171,,840,,1011,,129019
0505901 AR FSP HOT SPRING COUNTY,489,,1950,,2439,,163,,801,,964,,122436
