NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,09/06/2019,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2018,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,978,,6971,,7949,,524,,2915,,3439,,924199
0100301 AL EBT BALDWIN CO FS OFF,1910,,18848,,20758,,1110,,7977,,9087,,2461668
0100501 AL EBT BARBOUR CO FS OFF,870,,5193,,6063,,487,,2286,,2773,,705910
0100701 AL EBT BIBB CO FS OFF,529,,2987,,3516,,319,,1308,,1627,,390637
0100901 AL EBT BLOUNT CO FS OFF,940,,5352,,6292,,579,,2244,,2823,,685919
0100999 AL EBT AESAP - Alabama Dept. of HR,0,,0,,0,,0,,0,,0,,0
0101101 AL EBT BULLOCK CO FS OFF,469,,2351,,2820,,257,,1041,,1298,,320603
0101301 AL EBT BUTLER CO FSO,773,,4284,,5057,,442,,1952,,2394,,565700
0101501 AL EBT CALHOUN CO FS OFF,2785,,17729,,20514,,1715,,8106,,9821,,2470673
0101701 AL EBT CHAMBERS CO FS OFF,1002,,5718,,6720,,663,,2588,,3251,,781444
0101901 AL EBT CHEROKEE CO FS OFFICE,645,,3212,,3857,,418,,1486,,1904,,414093
0102101 AL EBT CHILTON CO FS OFF,951,,6409,,7360,,538,,2727,,3265,,874073
0102301 AL EBT CHOCTAW CO FS OFF,590,,2507,,3097,,381,,1210,,1591,,345719
0102502 AL EBT CLARKE CO FS OFF.,977,,4705,,5682,,584,,2189,,2773,,626138
0102701 AL EBT CLAY CO FS OFF,258,,1383,,1641,,140,,611,,751,,161236
0102901 AL EBT CLEBURNE CO FS OFF,321,,2016,,2337,,197,,923,,1120,,260437
0103101 AL EBT COFFEE CO FS OFF,815,,6655,,7470,,469,,2740,,3209,,872166
0103301 AL EBT COLBERT CO FS OFF,1182,,6588,,7770,,788,,3029,,3817,,872916
0103501 AL EBT CONECUH CO FS OFF,536,,2614,,3150,,347,,1224,,1571,,356284
0103701 AL EBT COOSA CO FSO,241,,1509,,1750,,152,,707,,859,,198961
0103901 AL EBT COVINGTON CO FS OFF,952,,6308,,7260,,596,,2758,,3354,,838290
0104101 AL EBT CRENSHAW CO FSO,475,,2557,,3032,,292,,1224,,1516,,349640
0104301 AL EBT CULLMAN CO FS OFF,1465,,8003,,9468,,920,,3447,,4367,,1011596
0104501 AL EBT DALE CO FS OFF,1341,,8378,,9719,,796,,3781,,4577,,1147807
0104701 AL EBT DALLAS CO FS OFF,3012,,11166,,14178,,1691,,5225,,6916,,1698984
0104901 AL EBT DEKALB CO FS OFF,1301,,12198,,13499,,774,,4820,,5594,,1545061
0105101 AL EBT ELMORE CO FS OFF,1177,,8614,,9791,,702,,3633,,4335,,1123253
0105301 AL EBT ESCAMBIA CO FS OFF,1119,,7090,,8209,,653,,3039,,3692,,960321
0105501 AL EBT ETOWQH CO FS OFF,2271,,11278,,13549,,1527,,5146,,6673,,1413868
0105701 AL EBT FAYETTE CO FS OFF,606,,3036,,3642,,371,,1462,,1833,,414643
0105901 AL EBT FRANKLIN CO FS OFF,676,,4557,,5233,,433,,1910,,2343,,611944
0106101 AL EBT GENEVA CO FS OFF,690,,4383,,5073,,407,,1872,,2279,,561123
0106301 AL EBT GREENE CO FS OFF,523,,2293,,2816,,330,,1059,,1389,,318362
0106501 AL EBT HALE CO FS OFF,718,,3193,,3911,,405,,1533,,1938,,427460
0106701 AL EBT HENRY CO FS OFF,392,,2592,,2984,,236,,1255,,1491,,333166
0106901 AL EBT HOUSTON CO FS OFF,2860,,15959,,18819,,1585,,7190,,8775,,2182686
0107101 AL EBT JACKSON CO FS OFF,902,,6402,,7304,,555,,2766,,3321,,820255
0107301 AL EBT JEFFERSON CO FS OFF,16380,,90017,,106397,,9930,,42146,,52076,,12904508
0107501 AL EBT LAMAR CO FS OFF,434,,2141,,2575,,279,,984,,1263,,286242
0107701 AL EBT LAUDERDALE CO FS OFF,1617,,9476,,11093,,1051,,4308,,5359,,1237494
0107901 AL EBT LAWRENCE CO FS OFF,855,,4940,,5795,,523,,2128,,2651,,654299
0108101 AL EBT LEE CO FOOD STAMP OFF,1909,,14665,,16574,,1136,,6329,,7465,,1925810
0108302 AL EBT LIMESTONE CO. FS OFF,1260,,8102,,9362,,806,,3458,,4264,,1058028
0108501 AL EBT LOWNDES CO FS OFF,670,,3027,,3697,,403,,1467,,1870,,437145
0108701 AL EBT MACON CO FS OFF,891,,4435,,5326,,544,,2418,,2962,,665716
0108902 AL EBT MADISON CO. FS OFF,4259,,34266,,38525,,2645,,15596,,18241,,4685860
0109101 AL EBT MARENGO CO FS OFC,1032,,3853,,4885,,690,,1851,,2541,,526361
0109301 AL EBT MARION CO FS OFF,740,,4551,,5291,,465,,2062,,2527,,591003
0109501 AL EBT MARSHALL CO FS OFF,1668,,13315,,14983,,1054,,5454,,6508,,1725683
0109701 AL EBT MOBILE CO FS OFF,10987,,74202,,85189,,6611,,32776,,39387,,10408729
0109901 AL EBT MONROE CO FS OFF,631,,3509,,4140,,393,,1531,,1924,,454736
0110101 AL EBT MONTGOMERY CO FS OFF,8011,,44087,,52098,,4157,,20190,,24347,,6641797
0110301 AL EBT MORGAN CO FS OFF,1989,,14152,,16141,,1282,,6080,,7362,,1887518
0110501 AL EBT PERRY CO FS OFF,806,,2786,,3592,,483,,1338,,1821,,386625
0110701 AL EBT PICKENS CO FS OFF,677,,3037,,3714,,414,,1332,,1746,,392254
0110901 AL EBT PIKE CO FOOD STAMP OFC,1148,,5818,,6966,,749,,2820,,3569,,827738
0111101 AL EBT RANDOLPH CO FSO,692,,4208,,4900,,369,,1807,,2176,,571827
0111301 AL EBT RUSSELL CO FS OFF,1530,,11459,,12989,,810,,4798,,5608,,1580750
0111501 AL EBT ST CLAIR CO FS OFF,1429,,9204,,10633,,801,,3911,,4712,,1231740
0111701 AL EBT SHELBY CO FS OFF,1290,,11007,,12297,,734,,4819,,5553,,1476595
0111901 AL EBT SUMTER CO FS OFF,837,,2833,,3670,,521,,1433,,1954,,414863
0112101 AL EBT TALLADEGA CO FS OFF,2388,,11157,,13545,,1546,,5164,,6710,,1529950
0112301 AL EBT TALLAPOOSA CO FS OFF,1159,,6458,,7617,,749,,2896,,3645,,871897
0112501 AL EBT TUSCALOOSA CO FS OFF,4018,,21955,,25973,,2214,,9637,,11851,,2981901
0112701 AL EBT WALKER CO FS OFF,1677,,9073,,10750,,979,,4016,,4995,,1232915
0112901 AL EBT WASHINGTON CO F S OFC,447,,2484,,2931,,311,,1172,,1483,,332843
0113101 AL EBT WILCOX CO FS OFF,968,,3326,,4294,,586,,1541,,2127,,480868
0113301 AL EBT WINSTON CO FS OFF,506,,2729,,3235,,313,,1150,,1463,,347342
0211005 AK EBT ALASKA,12738,,82319,,95057,,6558,,35583,,42141,,15807579
0400101 AZ EBT APACHE,29,,23766,,23795,,11,,9911,,9922,,2937015
0400301 AZ EBT COCHISE,527,,21885,,22412,,167,,10980,,11147,,2487269
0400501 AZ EBT COCONINO,100,,17925,,18025,,34,,8030,,8064,,2179180
0400701 AZ EBT GILA,92,,11076,,11168,,28,,5284,,5312,,1386611
0400901 AZ EBT GRAHAM,115,,5948,,6063,,34,,2778,,2812,,719856
0401101 AZ EBT GREENLEE,8,,793,,801,,4,,378,,382,,101013
0401301 AZ EBT MARICOPA,12174,,435717,,447891,,3603,,196648,,200251,,54216958
0401501 AZ EBT MOHAVE,937,,34257,,35194,,295,,18550,,18845,,4035062
0401701 AZ EBT NAVAJO,359,,28522,,28881,,98,,11895,,11993,,3526690
0401901 AZ EBT PIMA,4118,,133618,,137736,,1181,,66314,,67495,,16463436
0402101 AZ EBT PINAL,1471,,47612,,49083,,414,,20739,,21153,,5878296
0402301 AZ EBT SANTA CRUZ,238,,11497,,11735,,63,,4726,,4789,,1247677
0402501 AZ EBT YAVAPAI,319,,19011,,19330,,95,,10305,,10400,,2130582
0402701 AZ EBT YUMA,691,,38721,,39412,,191,,16249,,16440,,4261362
0402901 AZ EBT LA PAZ CO DES,67,,3457,,3524,,13,,1776,,1789,,432368
0500101 AR EBT ARKANSAS COUNTY,33,,2742,,2775,,12,,1313,,1325,,297535
0500301 AR EBT ASHLEY COUNTY,86,,3277,,3363,,28,,1543,,1571,,371376
0500501 AR EBT BAXTER COUNTY,41,,4612,,4653,,16,,2230,,2246,,464851
0500701 AR EBT BENTON COUNTY,176,,13727,,13903,,52,,5387,,5439,,1446101
0500901 AR EBT BOONE COUNTY,172,,4807,,4979,,52,,2098,,2150,,493719
0501101 AR EBT BRADLEY COUNTY,60,,2124,,2184,,19,,1003,,1022,,231484
0501301 AR EBT CALHOUN COUNTY,0,,513,,513,,0,,255,,255,,54300
0501501 AR EBT CARROLL COUNTY,29,,2658,,2687,,8,,1128,,1136,,273463
0501701 AR EBT CHICOT COUNTY,96,,2617,,2713,,27,,1217,,1244,,276684
0501901 AR EBT CLARK COUNTY,26,,2327,,2353,,10,,1155,,1165,,244323
0502101 AR EBT CLAY COUNTY,32,,1886,,1918,,9,,859,,868,,180647
0502301 AR EBT CLEBURNE COUNTY,39,,2610,,2649,,13,,1193,,1206,,274741
0502501 AR EBT CLEVELAND COUNTY,28,,1199,,1227,,8,,549,,557,,131529
0502701 AR EBT COLUMBIA COUNTY,111,,3734,,3845,,32,,1808,,1840,,402167
0502901 AR EBT CONWAY COUNTY,98,,2957,,3055,,31,,1361,,1392,,314565
0503101 AR EBT CRAIGHEAD COUNTY,407,,12882,,13289,,120,,5116,,5236,,1445693
0503301 AR EBT CRAWFORD COUNTY,122,,7677,,7799,,32,,3134,,3166,,819724
0503501 AR EBT CRITTENDEN COUNTY,373,,11781,,12154,,114,,5086,,5200,,1382725
0503701 AR EBT CROSS COUNTY,47,,2578,,2625,,14,,1127,,1141,,272492
0503901 AR EBT DALLAS COUNTY,36,,1046,,1082,,8,,507,,515,,114986
0504101 AR EBT DESHA COUNTY,72,,2633,,2705,,23,,1235,,1258,,288667
0504301 AR EBT DREW COUNTY,61,,2832,,2893,,19,,1377,,1396,,321154
0504501 AR EBT FAULKNER COUNTY,154,,10886,,11040,,53,,4743,,4796,,1261030
0504701 AR EBT FRANKLIN COUNTY,20,,2070,,2090,,6,,917,,923,,208482
0504901 AR EBT FULTON COUNTY,26,,1867,,1893,,9,,892,,901,,185673
0505101 AR EBT GARLAND COUNTY,212,,13520,,13732,,70,,6151,,6221,,1519138
0505301 AR EBT GRANT COUNTY,29,,1819,,1848,,9,,755,,764,,203096
0505501 AR EBT GREENE COUNTY,113,,6093,,6206,,34,,2663,,2697,,657935
0505701 AR EBT HEMPSTEAD COUNTY,53,,3206,,3259,,17,,1472,,1489,,333456
0505901 AR EBT HOT SPRING COUNTY,17,,4325,,4342,,7,,1949,,1956,,465383
0506101 AR EBT HOWARD COUNTY,41,,2010,,2051,,12,,834,,846,,217959
0506301 AR EBT INDEPENDENCE COUNTY,100,,4432,,4532,,35,,1900,,1935,,467167
0506501 AR EBT IZARD COUNTY,26,,1587,,1613,,9,,753,,762,,156777
0506701 AR EBT JACKSON COUNTY,103,,2730,,2833,,27,,1345,,1372,,312023
0506901 AR EBT JEFFERSON COUNTY,464,,13590,,14054,,148,,6479,,6627,,1640817
0507101 AR EBT JOHNSON COUNTY,98,,4201,,4299,,29,,1743,,1772,,441920
0507301 AR EBT LAFAYETTE COUNTY,28,,1178,,1206,,8,,588,,596,,118106
0507501 AR EBT LAWRENCE COUNTY,41,,2549,,2590,,13,,1145,,1158,,256580
0507701 AR EBT LEE COUNTY,142,,2054,,2196,,47,,1108,,1155,,250273
0507901 AR EBT LINCOLN COUNTY,46,,1672,,1718,,11,,813,,824,,178199
0508101 AR EBT LITTLE RIVER COUNTY,47,,1747,,1794,,14,,778,,792,,182342
0508301 AR EBT LOGAN COUNTY,48,,3087,,3135,,14,,1344,,1358,,312695
0508501 AR EBT LONOKE COUNTY,106,,6508,,6614,,34,,2795,,2829,,722119
0508701 AR EBT MADISON COUNTY,24,,2001,,2025,,7,,814,,821,,210584
0508901 AR EBT MARION COUNTY,34,,2240,,2274,,11,,1008,,1019,,233663
0509101 AR EBT MILLER COUNTY,294,,6571,,6865,,90,,2874,,2964,,759437
0509301 AR EBT MISSISSIPPI COUNTY,267,,8640,,8907,,85,,3721,,3806,,949567
0509501 AR EBT MONROE COUNTY,21,,1489,,1510,,9,,746,,755,,152205
0509701 AR EBT MONTGOMERY COUNTY,18,,1143,,1161,,5,,528,,533,,115022
0509901 AR EBT NEVADA COUNTY,38,,1361,,1399,,9,,609,,618,,144949
0510101 AR EBT NEWTON COUNTY,13,,961,,974,,4,,453,,457,,87012
0510301 AR EBT OUACHITA COUNTY,110,,4049,,4159,,34,,1909,,1943,,445782
0510501 AR EBT PERRY COUNTY,25,,1249,,1274,,7,,552,,559,,135012
0510701 AR EBT PHILLIPS COUNTY,398,,5620,,6018,,121,,2619,,2740,,663297
