NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,02/27/2018,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2017,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL EBT AUTAUGA CO FS OFF,981,,6849,,7830,,528,,2893,,3421,,934605
0100301 AL EBT BALDWIN CO FS OFF,1853,,18740,,20593,,1089,,7847,,8936,,2461616
0100501 AL EBT BARBOUR CO FS OFF,875,,5356,,6231,,490,,2357,,2847,,749255
0100701 AL EBT BIBB CO FS OFF,536,,3029,,3565,,318,,1318,,1636,,402476
0100901 AL EBT BLOUNT CO FS OFF,939,,5574,,6513,,581,,2356,,2937,,728432
0100999 AL EBT AESAP - Alabama Dept. of HR,0,,0,,0,,0,,0,,0,,0
0101101 AL EBT BULLOCK CO FS OFF,490,,2379,,2869,,261,,1063,,1324,,333909
0101301 AL EBT BUTLER CO FSO,772,,4243,,5015,,441,,1909,,2350,,576425
0101501 AL EBT CALHOUN CO FS OFF,2839,,18304,,21143,,1734,,8282,,10016,,2566048
0101701 AL EBT CHAMBERS CO FS OFF,1022,,5860,,6882,,650,,2620,,3270,,815092
0101901 AL EBT CHEROKEE CO FS OFFICE,632,,3472,,4104,,402,,1561,,1963,,451760
0102101 AL EBT CHILTON CO FS OFF,967,,6518,,7485,,544,,2723,,3267,,906960
0102301 AL EBT CHOCTAW CO FS OFF,602,,2669,,3271,,379,,1263,,1642,,377340
0102502 AL EBT CLARKE CO FS OFF.,974,,4815,,5789,,585,,2228,,2813,,655250
0102701 AL EBT CLAY CO FS OFF,266,,1371,,1637,,147,,618,,765,,170205
0102901 AL EBT CLEBURNE CO FS OFF,333,,2024,,2357,,209,,920,,1129,,274688
0103101 AL EBT COFFEE CO FS OFF,819,,6646,,7465,,475,,2723,,3198,,902484
0103301 AL EBT COLBERT CO FS OFF,1225,,6507,,7732,,794,,2990,,3784,,878018
0103501 AL EBT CONECUH CO FS OFF,526,,2794,,3320,,329,,1303,,1632,,384835
0103701 AL EBT COOSA CO FSO,251,,1516,,1767,,154,,721,,875,,210004
0103901 AL EBT COVINGTON CO FS OFF,946,,6453,,7399,,604,,2819,,3423,,873577
0104101 AL EBT CRENSHAW CO FSO,462,,2542,,3004,,287,,1196,,1483,,351613
0104301 AL EBT CULLMAN CO FS OFF,1498,,8562,,10060,,929,,3689,,4618,,1097071
0104501 AL EBT DALE CO FS OFF,1364,,8468,,9832,,801,,3810,,4611,,1178604
0104701 AL EBT DALLAS CO FS OFF,3057,,11732,,14789,,1701,,5438,,7139,,1804611
0104901 AL EBT DEKALB CO FS OFF,1286,,12473,,13759,,777,,4916,,5693,,1624772
0105101 AL EBT ELMORE CO FS OFF,1227,,8819,,10046,,702,,3665,,4367,,1172564
0105301 AL EBT ESCAMBIA CO FS OFF,1071,,7322,,8393,,639,,3122,,3761,,1018742
0105501 AL EBT ETOWQH CO FS OFF,2342,,12170,,14512,,1577,,5465,,7042,,1584046
