NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:23 PM,,,,,
Jan 1994,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0100101 AL FSP AUTAUGA CO FS OFF,1940,,2533,,4473,,518,,1191,,1709,,283880
0100301 AL FSP BALDWIN CO FS OFF,2701,,5462,,8163,,671,,2191,,2862,,521584
0100501 AL FSP BARBOUR CO FS OFF,2899,,2444,,5343,,748,,1278,,2026,,330458
0100701 AL FSP BIBB CO FS OFF,876,,1660,,2536,,239,,679,,918,,151689
0100901 AL FSP BLOUNT CO FS OFF,1710,,2164,,3874,,516,,1035,,1551,,247121
0101101 AL FSP BULLOCK CO FS OFF,1822,,1118,,2940,,451,,580,,1031,,184113
0101301 AL FSP BUTLER CO FSO,2151,,2372,,4523,,548,,1115,,1663,,274370
0101501 AL FSP CALHOUN CO FS OFF,6499,,8075,,14574,,1753,,4024,,5777,,1025749
0101701 AL FSP CHAMBERS CO FS OFF,2321,,2692,,5013,,646,,1279,,1925,,338696
0101901 AL FSP CHEROKEE CO FS OFFICE,880,,1100,,1980,,262,,550,,812,,124725
0102101 AL FSP CHILTON CO FS OFF,1908,,2651,,4559,,563,,1263,,1826,,304794
0102301 AL FSP CHOCTAW CO FS OFF,1588,,1306,,2894,,423,,686,,1109,,183221
0102501 AL WRI CLARKE CO FS OFF,2658,,3313,,5971,,929,,1402,,2331,,402163
0102701 AL FSP CLAY CO FS OFF,597,,569,,1166,,168,,286,,454,,60495
0102901 AL FSP CLEBURNE CO FS OFF,597,,774,,1371,,183,,393,,576,,82264
0103101 AL FSP COFFEE CO FS OFF,2062,,1709,,3771,,614,,883,,1497,,229379
0103301 AL FSP COLBERT CO FS OFF,1778,,3515,,5293,,534,,1479,,2013,,338540
0103501 AL FSP CONECUH CO FS OFF,1844,,2003,,3847,,517,,1091,,1608,,253990
0103701 AL FSP COOSA CO FSO,614,,635,,1249,,150,,301,,451,,74244
